text,correct,sequence,native
"Ah,,I very enjoyed it'","Ah, I enjoyed it very much'","('INTJ', 'PUNCT', 'PRON')",Spanish
"well,I would like to buy new dictionary,because my degital dictionary is old.","I would like to buy new dictionary,because my digital dictionary is old.","('INTJ', 'PUNCT', 'PRON')",Spanish
That's a first and all for today.,"Well, that's it for today.","('INTJ', 'PUNCT', 'PRON')",Spanish
"""No, I think you are anger when we talked about the wretched farmers, due to you are kindhearted.""","""No, I think you were angry when we talked about the poor farmers, due to the fact that you are kindhearted.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yeah, it was a little bit cold to play basketball and it was late.","Yeah, it was a little bit cold to play basketball and it was late. This sentence is correct, but it sounds more natural as: ""Yeah, it was late and a little to cold to playing basketball, but I did anyway.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yeah, it was a little bit cold to play basketball and it was late.","Yeah, it was a little bit cold to play basketball and it was late. This sentence is correct, but it sounds more natural as: ""Yeah, it was late and a little to cold to playing basketball, but I did anyway.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yeah, it was a little bit cold to play basketball and it was late.","Yeah, it was a little bit cold to play basketball and it was late. This sentence is correct, but it sounds more natural as: ""Yeah, it was late and a little to cold to playing basketball, but I did anyway.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, it takes only 15 minutes to go to the terminal station.",It takes only fifteen minutes to get to the terminal station.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Yes, probably it is for us, at least for me certainly.","Yes, it probably is. Or, at least for me, it certainly is.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, we Japanese enjoy year-end party.","Well, we Japanese enjoy the year-end party. OR ""Well, we Japanese enjoy enjoy year-end parties""","('INTJ', 'PUNCT', 'PRON')",Spanish
Well I will charge myself up to get them done well.,"Well, I will charge myself up to get them done well.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, It's time to get down to work.","Well, It's time to get to work. You can either say ""get down to business"", or ""get to work"".","('INTJ', 'PUNCT', 'PRON')",Spanish
How do you take care to spend your time fruitfully?,"How do you take care to spend your time carefully? (Sorry, I keep changing the ""fruitfully"" to ""carefully"" because ""fruitfully"" tends to imply that there is going to be some reward at the end for being so meticulous in your time spending). You can also say something like ""How do you manage your time carefully?""","('INTJ', 'PUNCT', 'PRON')",Spanish
"And then, the ink stopped leaking from my favorite pen!","And the ink stopped leaking from my favorite pen! You can also combine this sentence with the previous sentence like so: ""Well, I did it and the ink stopped leaking from my favorite pen!"".","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, It is too late to cansel, all things up to me.","Well, It is too late to cancel, all things are up to me.","('INTJ', 'PUNCT', 'PRON')",Spanish
"PS: ""Someone is always better to believe""","PS: ""Someone is always better to believe"" <<Sorry, I don't know what this means...>>","('INTJ', 'PUNCT', 'PRON')",Spanish
"yes,my English is not very good.",My English is not very good.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, it's really short for biking but when it becomes to daily routine work, it will not be that easy.","Well, it's really short for biking, but when it becomes a daily routine, it will not be that easy.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I'm just starting to learn this language, to tell you the true I'd like to learn japanese, but I tough better to ""start from the beggining"".","Well, I'm just starting to learn this language. To tell you the truth I'd like to learn japanese, but I thought it would be better to ""start from the beginning"".","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, my name is Lucia, i from Italy, nice to meet you =)","Hello, my name is Lucia. I am from Italy. Nice to meet you. =)","('INTJ', 'PUNCT', 'PRON')",Spanish
"well , I will introduce myself , my name is Eric i am from Colombia :D latin america, hallo !","Well , I will introduce myself. My name is Eric. I am from Colombia :D Latin America! Hallo !","('INTJ', 'PUNCT', 'PRON')",Spanish
"well , I will introduce myself , my name is Eric i am from Colombia :D latin america, hallo !","Well , I will introduce myself. My name is Eric. I am from Colombia :D Latin America! Hallo !","('INTJ', 'PUNCT', 'PRON')",Spanish
"It seems that when you're enjoying the most you're able to, the time pass too quick, well, that's how I felt it.","It seems that when you're enjoying yourself as much as possible the time passes too quickly; well, that's how I felt , anyway.","('INTJ', 'PUNCT', 'PRON')",Spanish
"wow!, it is so interesting.",Wow! It is so interesting.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Yes, I should listen and speak and write and read over and over again.","Yes, I should listen and speak and read and write over and over again. (I'm not sure why, but you almost never hear them except in that order)","('INTJ', 'PUNCT', 'PRON')",Spanish
"hello, I want to communication with foreign friends who speak English.","Hello, I want to communicate with foreign friends who speak English.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Umm, i have a question.","Um, I have a question.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yes, I'm fall in love with a girl who I've always imanged but it going to be a really hard time for me.","Yes, I'm falling in love with a girl who I've always imagined, but it is going to be a really difficult time for me.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I'm a big fan of James Bond movies and I heard that the latest movie was just cancelled because of a lack of money.","Well, I'm a big fan of James Bond movies and I heard that the latest movie had been cancelled because of a lack of budget(you could say money, but budget is more often used).","('INTJ', 'PUNCT', 'PRON')",Spanish
"One morning and the teacher wanted to know why.""Well,I was going to go fishing,but my dad wouldn't let me,""said Johnny.","one morning and the teacher wanted to know why.""Well, I was going to go fishing but my dad wouldn't let me,""said Johnny.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yes, I like travel and take picture, and I like culture.","I like to travel and to take pictures, and I like cultures.","('INTJ', 'PUNCT', 'PRON')",Spanish
At the party I talked with a friend who is charged in ecology.,"At the party I talked with a friend who is charged in ecology. <<Sorry, I don't know what this means...>>","('INTJ', 'PUNCT', 'PRON')",Spanish
The question about acting is getting bigger and bigger.,"The question about acting is getting bigger and bigger. <<Sorry, I don't know what this means...>>","('INTJ', 'PUNCT', 'PRON')",Spanish
"Yes I'm Italian, hahaha!","Yes, I'm Italian, hahaha!","('INTJ', 'PUNCT', 'PRON')",Spanish
"anyway come back to home, my uncle's daughter and son was here.","Anyways , I returned home where my uncle's daughter and son live.","('INTJ', 'PUNCT', 'PRON')",Spanish
Someday I want to live in America but if fthere are a lot of foreigners lives around my home.,"Someday I want to live in America but if fthere are a lot of foreigners lives around my home.Sorry, i'm not really sure what you mean","('INTJ', 'PUNCT', 'PRON')",Spanish
The movie in this time gave me an aspact of seeing the new Dicaplio.,"Sorry, I don't know what you mean by this sentence.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, this would be really a tough time for Ryotei.",Such a case would be the start of really a tough time for [the] Ryotei.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Harmonizing body with inclination,enjoy skiing full at fresh snow,have a good soak in beauty in wood.","Harmonizing my body with speed, enjoying skiing on white snow, having a good soak in the bath. (?) sorry.. I hope I got your meaning right..","('INTJ', 'PUNCT', 'PRON')",Spanish
"Harmonizing body with inclination,enjoy skiing full at fresh snow,have a good soak in beauty in wood.","Harmonizing my body with speed, enjoying skiing on white snow, having a good soak in the bath. (?) sorry.. I hope I got your meaning right..","('INTJ', 'PUNCT', 'PRON')",Spanish
"When layer of Scenery beauty and comfortable lesponce from ground overlaped,you'd surely feel pleasant.",You will feel good when the scenery connects with the ground. sorry.. I dont really understand..,"('INTJ', 'PUNCT', 'PRON')",Spanish
"When layer of Scenery beauty and comfortable lesponce from ground overlaped,you'd surely feel pleasant.",You will feel good when the scenery connects with the ground. sorry.. I dont really understand..,"('INTJ', 'PUNCT', 'PRON')",Spanish
Hello!Everyone!My english name is Richard.,"Hello, everyone! My English name is Richard.","('INTJ', 'PUNCT', 'PRON')",Spanish
"hehe,I wish i can make more and more friends around the world.","Hehe, I wish I could make more friends around the world.","('INTJ', 'PUNCT', 'PRON')",Spanish
it seems i return it back to my teacher.,"(Sorry, I didn't understand what you were trying to say here)","('INTJ', 'PUNCT', 'PRON')",Spanish
Homework or exams are desided a scope.,"Homework or exams are decided a scope. (Sorry, I don't understand this sentence)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hi, I tripped to Tokyo last weekend!",Hi! I took a trip&nbsp;to Tokyo last weekend!,"('INTJ', 'PUNCT', 'PRON')",Spanish
Hello It's first time to use Lnag-8,Hello. It's my first time using Lang-8,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Ah, it's so nice that the title made you interested and you're here to read this.","Ah, it's so nice that the title made you interested and you're here to read this. Comment: Incorrect assumption, I came because I saw it didn't have corrections yet.","('INTJ', 'PUNCT', 'PRON')",Spanish
"And,you will notice that you are keep reading the words you don't know but you can understand exact meaning of them.'","And you will notice that you are reading words you don't know but you can make a rough guess of the meaning of them.' Hmm, I think it would be difficult to understand the exact meaning by just reading the sentences! So I changed it to ""make a rough guess"".","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, I'm a Korean architect in France and recently I lost my job!!!!!!(so terrible)","Hello, I'm a Korean architect in France and I recently lost my job!!!!!!(so terrible) (both make sense, but this is clearer)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh,I have been working for five days this week.","Oh, I have been working for five days this week. (Most people would probably write; 'Oh, I have worked for five days this week.')","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh geez, he doesnt belong to xiao ai, how xiao ai can be so jealous and selfish.","Oh geez, he doesn't belong to Xiao Ai, how can she be so jealous and selfish? I don't think using ""Xiao Ai"" twice in this sentence is wrong, but using ""she"" sounds more natural.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh geez, he doesnt belong to xiao ai, how xiao ai can be so jealous and selfish.","Oh geez, he doesn't belong to Xiao Ai, how can she be so jealous and selfish? I don't think using ""Xiao Ai"" twice in this sentence is wrong, but using ""she"" sounds more natural.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, it's just an excuse for I am so lazy that I haven't written here for such a long time.","Well, it's just an excuse, because I am so lazy that I haven't written here in such a long time.","('INTJ', 'PUNCT', 'PRON')",Spanish
"(Oh, I'd like to recommend NPR (National Public Radio) to advanced English learners (especially who aren't immersed in English).","Oh, I'd like to recommend NPR (National Public Radio) to advanced English learners, especially those who aren't immersed in English.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, his purpose was to meet with my daughter, so it was no problem.","Well, his purpose was to meet with my daughter, after all, so it was no problem.","('INTJ', 'PUNCT', 'PRON')",Spanish
oh i was very busy at office,"Oh, I was very busy at the office.","('INTJ', 'PUNCT', 'PRON')",Spanish
wow I'm Very happy ~,Wow! I'm very happy ~,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, everyone, nice to meet you.",Hello everyone. nice to meet you.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh, I am sorry my doy.","Oh, I am sorry, my dog.","('INTJ', 'PUNCT', 'PRON')",Spanish
Oh I changed my painting nails for christmas <33,Oh! I changed my nail colour for Christmas <33 +Nail ? I know Japanese girls are into that.+,"('INTJ', 'PUNCT', 'PRON')",Spanish
"But, I realize my inside is even not a beauty.","I realize that my inner self is not even beautiful. <--technically, It's not grammatical to start off a sentence with ""and"" or ""but."" You'll often hear English speakers doing this, but it's not proper in writing (but forgive me when I do that too!)","('INTJ', 'PUNCT', 'PRON')",Spanish
"But, I realize my inside is even not a beauty.","I realize that my inner self is not even beautiful. <--technically, It's not grammatical to start off a sentence with ""and"" or ""but."" You'll often hear English speakers doing this, but it's not proper in writing (but forgive me when I do that too!)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I think many people does like this and we may see around the friend and neighbor.","Well, I think many people do this, such as friends and neighbors.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Wow,that time is wonderful and excitting!",Wow! That will be wonderful and exciting!,"('INTJ', 'PUNCT', 'PRON')",Spanish
I hope I haven't committed to many mistakes!!,"I hope I haven't committed too many mistakes!! [Yes, you can say committed, but most English speakers would probably say ""I hope I haven't too many mistakes"". :-) ]","('INTJ', 'PUNCT', 'PRON')",Spanish
I hope I haven't committed to many mistakes!!,"I hope I haven't committed too many mistakes!! [Yes, you can say committed, but most English speakers would probably say ""I hope I haven't too many mistakes"". :-) ]","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well,I'm a'freshman'here,and in September I'm going to university.","Well, I'm a freshman here, and in September i'm going to university.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh, I emailed the international chorus group association and they found the group for me.","Oh, I emailed the international choir group association, and they found the group for me.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I am learning English; mostly writing every week, however my writing has not improved, so I suggested a way of writing that is use new words and new expression from books, magazines, newspapers and anywhere.","Well, I am learning English; mostly writing every week, however my writing has not improved, so I decided to try a way of writing that uses new words and new expression from books, magazines, newspapers and anywhere. ( You can't suggest things to yourself, you suggest things to other people.)","('INTJ', 'PUNCT', 'PRON')",Spanish
Hi my name is Roman,"Hi, my name is Roman.","('INTJ', 'PUNCT', 'PRON')",Spanish
please tell me someone..,"Please, someone tell me","('INTJ', 'PUNCT', 'PRON')",Spanish
"well, it could be enough because there is a coincidence.","Well, it could be just because there is a coincidence.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, I'm Baptiste, I'm 15 (16 on the 29th of May) and I live in Perpignan, a city of the South of France, near of Spain.","Hello, I'm Baptiste, I'm 15 (16 on the 29th of May), and I live in Perpignan, a city in the South of France, near Spain.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Of course ""Yes, it is OK."" I said.","Of course ""Yes, it is OK."" I said.Of course, I said "", Yes,it is OK.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Of course ""Yes, it is OK."" I said.","Of course ""Yes, it is OK."" I said.Of course, I said "", Yes,it is OK.""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Of course ""Yes, it is OK."" I said.","Of course ""Yes, it is OK."" I said.Of course, I said "", Yes,it is OK.""","('INTJ', 'PUNCT', 'PRON')",Spanish
My husband drove alone during the party.,"My husband stayed alone during the party. Sorry, I am not sure if this is what you meant.","('INTJ', 'PUNCT', 'PRON')",Spanish
3:You looks like that a bear MEETS a dog.,3:You looks like that a bear MEETS a dog. Oh! This is a bit complicated but I'll try to explain below in the comment box.,"('INTJ', 'PUNCT', 'PRON')",Spanish
I watched High School Musical with my friends at my house yesterday.,"I watched High School Musical with my friends at my house yesterday. Good! You could also say... ""My friends and I watched High School Musical at my house yesterday."" it sounds more fluid.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh, I really love them though they brought me such a pain.",I really love them even though they cause me so many pain.,"('INTJ', 'PUNCT', 'PRON')",Spanish
I've just joined this wonderful community!,"It would sound better if you put the sentences in this order: Hi, everyone. My name is Ken. I've just joined this wonderful community!!","('INTJ', 'PUNCT', 'PRON')",Spanish
"99 We'd better not stay up too late tonight, (didn't we /have we/had we)?","99 We'd better not stay up too late tonight, (/had we)? Haha. I don't think I have ever heard anyone say 'had we?' So old fashioned.","('INTJ', 'PUNCT', 'PRON')",Spanish
"99 We'd better not stay up too late tonight, (didn't we /have we/had we)?","99 We'd better not stay up too late tonight, (/had we)? Haha. I don't think I have ever heard anyone say 'had we?' So old fashioned.","('INTJ', 'PUNCT', 'PRON')",Spanish
"no, we never matter about it at all.","no, we never matter about it at all. (I know, it doesn't matter.)","('INTJ', 'PUNCT', 'PRON')",Spanish
at september 3rd week.,"Sorry, I can't understand this. Did you mean ""On September 3rd, for a week"" or did you mean ""In the week of September 3rd""?","('INTJ', 'PUNCT', 'PRON')",Spanish
Yeah it must be interesting for foreigners.,"Yeah, it must be interesting to foreigners.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, my name is Alex, i have been in usa about 1 year, everything is good for me.","Hello, my name is Alex. I have been in the USA about 1 year, and everything is good for me.","('INTJ', 'PUNCT', 'PRON')",Spanish
This is driving me crazy.,"This is driving me crazy. (Yeah, I imagine that it would)","('INTJ', 'PUNCT', 'PRON')",Spanish
"wew i'm really knew it, my teacher is really care about we.","Whew! I knew it, our teacher really does care about us.","('INTJ', 'PUNCT', 'PRON')",Spanish
She is pretty clumsy and it's so nice :) We like exchanging glances and laughing soundlessly at Maths.,"She is pretty clumsy and it's so nice :) We like exchanging glances and laughing soundlessly at Math. * Sorry, I am not sure what you are trying to say here.","('INTJ', 'PUNCT', 'PRON')",Spanish
It may be necessary for me to go to the day's hot spring of the hotel till they come.,"It may be necessary for me to go to the day's hot spring of the hotel till they come. (Sorry, I don't think I understand the meaning of this sentence.)","('INTJ', 'PUNCT', 'PRON')",Spanish
It was completely summer.,"Sorry, I don't know what this is supposed to mean.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hi,everybody,this is my first diary.","Hi everybody, this is my first diary.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hmm, I'm wondering that counterclockwise is better.",Hmm. I was wondering if going the other way around would be better.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, nothing in this world is eternal.",Nothing in this world is eternal. Makes a stronger impact. =3,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I don't mean to complain, and I know only steady efforts will enable you to make progress.","Well, I don't mean to complain and I know only steady efforts will enable you to make progress. Im not sure you need a comma because you have one at the start.","('INTJ', 'PUNCT', 'PRON')",Spanish
"I watched the ""Sport Continent"" on the NHK TV last night.","I watched the ""Sport Continent"" on NHK TV last night. (Don't ask me why: It's just the way we phrase that in English. Here's another example: ""I watched the tennis game on RV5 TV yesterday."" It also works for radio stations: ""Hey, I heard that commercial on Hot95Live two days ago!"" All without the ""the."" :)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Even if I should say good bye, I will get along with them and other teachers and I may come here again in next summer vacation.","Even if I should say good-bye, I will get along with them and the other teachers because I may come here again next summer. (I would change this bit entirely, but as it stands it is technically grammatically correct to me.)","('INTJ', 'PUNCT', 'PRON')",Spanish
Thank you for coming :),"Thank you for reading :)Hello, I'd like to know, what your username means? ""oo broono""","('INTJ', 'PUNCT', 'PRON')",Spanish
Thank you for coming :),"Thank you for reading :)Hello, I'd like to know, what your username means? ""oo broono""","('INTJ', 'PUNCT', 'PRON')",Spanish
There is nothing bargain goods in Ueno-zoo.,"There are no bargain goods in Ueno-zoo. [Sorry, I might not understand what you mean here.]","('INTJ', 'PUNCT', 'PRON')",Spanish
ya i mean cute,"Yeah, I mean cute","('INTJ', 'PUNCT', 'PRON')",Spanish
well im still thinking of how to learn spanish,"Well, I'm still thinking about how to learn Spanish.","('INTJ', 'PUNCT', 'PRON')",Spanish
"well, I have a present for you.","Well, I have a present for you.","('INTJ', 'PUNCT', 'PRON')",Spanish
(ok I know I am a bit exaggerating.,"(ok, I know I am exaggerating a bit .","('INTJ', 'PUNCT', 'PRON')",Spanish
Hey the man is seeing!,Hey! What are you doing!?,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Nowadays, many South Korean students are studying in Philippines.","Nowadays, many South Korean students are studying in the Philippines. (*comment only* yes! I think so too~! LOL)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Nowadays, many South Korean students are studying in Philippines.","Nowadays, many South Korean students are studying in the Philippines. (*comment only* yes! I think so too~! LOL)","('INTJ', 'PUNCT', 'PRON')",Spanish
Or something dropped(or drop)?,"Or has something been dropped (/left out/omitted)? <~~~ No, nothing has been dropped.","('INTJ', 'PUNCT', 'PRON')",Spanish
could you help me in my english practice???,"Could you help me practice English ??? (Sure, I will help you. Remember that pronouns like English have a capital)","('INTJ', 'PUNCT', 'PRON')",Spanish
"""No, I'm not late"" Concluded for himself when, thrusting (pushing) the cell in his right black pants pocket, he closed the zipper of the bag and placed it back on his backs.","""No, I'm not late"" he concluded, as he placed the cell in his right black pants pocket, he closed the zipper of his bag and placed it back on his backs.","('INTJ', 'PUNCT', 'PRON')",Spanish
"""No, I'm not late"" Concluded for himself when, thrusting (pushing) the cell in his right black pants pocket, he closed the zipper of the bag and placed it back on his backs.","""No, I'm not late"" he concluded, as he placed the cell in his right black pants pocket, he closed the zipper of his bag and placed it back on his backs.","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
Today was very hot so I used air conditioner first time in this season.,"Today was very hot so I used my/an air conditioner for the first time in this season. You always need an article (a/an/the) or a possesive pronoun (my, your, his, her, its, our, your, their) in front of a noun!","('INTJ', 'PUNCT', 'PRON')",Spanish
"Wooh, he used my gift for looong time!",Wooh! He used my gift for a looong time!,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Yeah, we can go but even if we go there, we can't see very beautilf view...","Yeah, we could go, but even if we did, we would not be able to see very a beautiful view...","('INTJ', 'PUNCT', 'PRON')",Spanish
"That is the person I want to look after.""""Oh,you want to take care a girl!""The boy who had the broom grinned.",The boy with the broom grinned.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Lon: Yeah, you are the only one as old as me, I guess.","Lon: You're like the only one as old as me, I guess.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, my favorite songs is ""YELL"".","Oh well, my favorite songs is ""YELL"".","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I think I should ponder more somehow.","Well, I think I should think about it some more. Although ponder can be used here, that word is not used very often. It is easier to say ""think"" instead of ""ponder""","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, my name is sercret.","Hello, my name is Secret.or:Hello, my name is a secret.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I have lots I mean tones of friends who goes to these greatest unis.","Well, I have lots, I mean, TONS of friends who go to these famous universities.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I have lots I mean tones of friends who goes to these greatest unis.","Well, I have lots, I mean, TONS of friends who go to these famous universities.","('INTJ', 'PUNCT', 'PRON')",Spanish
yeah i barely understand OTL,"Yeah, I barely understand OTL","('INTJ', 'PUNCT', 'PRON')",Spanish
"Right, she is my ideal woman.",This is my ideal woman.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh yes, some people is saying.","Oh yes, some of you are saying,","('INTJ', 'PUNCT', 'PRON')",Spanish
Well really not earn I want say steal money.,"Well really not earn I want say steal money. [Well, what I really want to say is that the government really steals rather than earns money. This is a different way of presenting your idea.]","('INTJ', 'PUNCT', 'PRON')",Spanish
(how about this??- connect [link] people all over the world to one another),"(how about this??- connect [link] people all over the world to one another) (Yes, that's fine.)","('INTJ', 'PUNCT', 'PRON')",Spanish
He poured every hour.,"Sorry, I do not understand what this means","('INTJ', 'PUNCT', 'PRON')",Spanish
"If I remenmber correctly right,she approved of good singer were handful of people.","If I remember correctly ,she only approved of a handful/few good singers.","('INTJ', 'PUNCT', 'PRON')",Spanish
I had spend time proceeded IT my life style these days.,"(Ok, I'm not sure I understand your Japanese sentence fully, but I think you're trying to say)Lately I've been busy getting up-to-date with various IT technologies.","('INTJ', 'PUNCT', 'PRON')",Spanish
I had spend time proceeded IT my life style these days.,"(Ok, I'm not sure I understand your Japanese sentence fully, but I think you're trying to say)Lately I've been busy getting up-to-date with various IT technologies.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello,everyone!this is glory,nice to meet you.","Hello, everyone! This is Glory, nice to meet you.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Oh,my parents are ture ,if i don't study hard now ,i will regret all my life .","Oh,my parents are sure ,if i don't study hard now ,i will regret it all my life .","('INTJ', 'PUNCT', 'PRON')",Spanish
"yes,i have been here for 10 years...",i have been here for 10 years...,"('INTJ', 'PUNCT', 'PRON')",Spanish
"hi everyone ,, how are you all??","Hi, everyone. How are you all?","('INTJ', 'PUNCT', 'PRON')",Spanish
And yes my english is really weird.,"Yes, my English is really weird.","('INTJ', 'PUNCT', 'PRON')",Spanish
"Well, I don't have much time to read books to learn Korean language and read hangul.",I don't have enough time to learn Korean language and read hangul.,"('INTJ', 'PUNCT', 'PRON')",Spanish
Hello!my name is Liu.,Hello! My name is Liu.,"('INTJ', 'PUNCT', 'PRON')",Spanish
"Wow, that was a dream I've always thought about it.","Wow, that was a dream I've always thought about it. (Wow,that was a dream I always have.)","('INTJ', 'PUNCT', 'PRON')",Spanish
"Hello, It's a cloudy and humid day here, how about your city?",Hello. It's a cloudy and humid day here. How about your city?,"('INTJ', 'PUNCT', 'PRON')",Spanish
