text,correct,predicted_native_language
I don't have any skills for taking pictures but I like to take pictures.,"I like to take pictures, but I'm not very good at it yet./I don't have much skill at taking pictures, but I still enjoy/like it.",Spanish
Traditional Chinese is very well.,"Traditional Chinese is a very good language to know. (In English, we usually use ""good"" to describe nouns and ""well"" when describing verbs. e.g. ""His English is good"" vs. ""He speaks English well"". There are exceptions though. For example, someone might say ""He is well"" to refer to someone's health, or ""Are you well?"" to ask about yours.)",Spanish
But I restart to write English dairies to brush up my English skills.,But I restart to write English dairies to brush up my English skills. Correction: Now I'm writing English dairies to brush up my English skills.,Spanish
Then chrildren can get some candy from them.,I feel like it makes more sense to add this to the previous sentence.,Spanish
Kodama argued such war responsibility.,Kodama argued such war responsibility. (Question are you stating that Kodama argued that it is someone else responsibility for the war?),Spanish
"I'm interested in foreign business schools for MBA program or accumulating international working experiences all over the world, so I'd be much obliged if you would inform me.","I'm interested in foreign business schools offering MBA programs or accumulating international working experiences , so I'd be much obliged if you would inform me. (since you said, ""international"" your global interests are clear and you do not need to add, ""all over the world."")",Spanish
"Just on my half way to work , a shower suddenly poured down from the murky sky.","Halfway to work , a shower suddenly poured down from the murky sky. (Here are some different ways to say this, just in cas you are interested. ""Cloudburst"" is when it starts raining heavily very suddenly. ""It started raining cats and dogs"" is another way to say ""it started to rain very heavily""---also ""it really started to come down out there"" means the same thing.)",Spanish
Because I want to talk with the power of people.,"I want to study English, because I want to talk with the people who have power. (I'm not sure the meaning of ""power of people"" though.)",Spanish
"Finally, you need to get a native English speaker to check what you wrote and practice speaking with your written work that is checked by him or her.","Finally, you need to get a native English speaker to check what you wrote and practice speaking with them using your checked written work . [""Them"" is okay to use for a person if you don't know if they are a man or woman. In formal writing, though, ""him or her"" is better.]",Spanish
I like movies that I can't understand an ending until last scene.,"I like movies that I can't anticipate an ending until last scene. //hmm, an easier way to say this is, ""I like movies that ""keeps me guessing"" until the end.",Spanish
"I guess that was not mine,examiner had an wrong revise,,,,,more importantly ,I have not ever talked to my parents,when I write this entry ,my tears had on my my face,who can help me?","I guess that was not mine. The examiner had a wrong revise.....more importantly, I have not yet talked to my parents. When I write this entry, my tears were on my my face. Can anyone help me? +The advice I wrote in the biggest paragraph applies to this whole journal entry itself. +Practice knowing when to end the sentence and start a new one. Know when it is appropriate to use commas. +When you DO use commas, there is NO SPACE between the word that comes right BEFORE the comma, and a SPACE right AFTER. Don't worry though. If I helped you, you can ask me to help you later on too. ^o^ Let's ""wark"" hard, okay?(i always say ""wark"" instead of work, just for fun! But don't do that) Aja Aja! Fighting!",Spanish
"According to tempo , we had from fast tune to slow tune.","We had songs that ranged from fast to slow tempos. The way you phrased this wasn't natural, and the meaning is difficult to understand.",Spanish
I asked my mom if we are going to go to the bath house or not.,Perfect!,Spanish
#NAME?,"-How do you say to mean like you and your friend said the same word at once or often have the same idea and understand each other very well. When 2 people say the same word at once in English somebody often yells ""jinx!"" It's a children's game or something and there's supposed to be some sort of rule that that the person that didn't say jinx has to follow but I don't remember. Nobody really follows the rule.",Spanish
I was very excited to go snorkeling at Catarina Island for the first time for my 5th grade field trip at my school.,"I was very excited to go snorkeling at Catalina Island for the first time during my 5th grade field trip . [Since she mentioned 5th grade, the ""school"" part is implied so she would not have to say it again]",Spanish
I'm recalling Valentine's Day.,I'm recalling Valentine's Day. It seems like Valentine's Day was only yesterday. [I'm combining it with the following sentence because it sounds better this way in English. It's how people would say it--more colloquial],Spanish
I like my teacher that he is very friendly and funny!,"I like my teacher; he is very friendly and funny! In English, you can use the semicolon (;) where you would ordinarily use a period to join two related sentences.",Spanish
And I will take an entrance examination for,"Next year, I will be taking an entrance exam for college so I want to learn English. I think these three sentences should be together. It makes more sense, for me at least.",Spanish
"I was really happy since today was REALLY snowy, I mean like a blizzard XD so I finished at the metro station, arrive at home at about 4:45 to see that i forgot my keys at job!","I was really happy since today was REALLY snowy, I mean like a blizzard XD. (not sure what XD means, sorry) I [finished] at the metro station, arrived at home at about 4:45 to see that i [had forgotten] my keys at work!The words in brackets [ ] can definitely be understood by a reader, however the word choices could be better. A better word than ""finished"" is ""arrived"", but since you use that word in the next clause I can see why you chose a different word. Here's a way to rewrite the sentence:""I arrived at the metro station, then got home at 4:45 only to see that I had forgotten my keys at work!Another way:I made it to the metro station and then finally home at 4:45 only to see that I left my keys at work!",Spanish
"I must change myself!!""","I must change myself!!"" (here, this makes perfect sense, BUT, if you say ""I must reform"" It would capture the mood of your writing just right. To reform usually means to change from being lazy or badly off, to a better state of affairs.",Spanish
We played many Japanese pop songs.,"We played many Japanese pop songs. <-- If these were other bands' songs that you played, you can say ""covered"" instead of ""played"". A ""cover band"" plays other bands' songs, or ""covers"" them. Example: This band plays a great cover of Neo Universe.",Spanish
"But, two 6km long slops after the 30km point were hard, and so I got a cramp in my leg.","But, the two 6km long slopes after the 30km point were (quite) hard, and so I ended up straining my leg. (I use ""to strain"" ones leg, but I guess ""cramp"" can be used).",Spanish
"To try to understand them, I look up the meaning in an English dictionary like a Longman, not only a translational dictionary, and I also check the collocations.","""connotation"" is the word you want.",Spanish
I listened weather forecast which is said Tomorrow will be Yellow sand.,"I listened weather forecast which is said Tomorrow will be Yellow sand. I listened to the weather forcast which said, tommorow willhave yellow sun...I do not know yellow sand, maybe you mean sun?",Spanish
could you help me in my english practice???,"Could you help me practice English ??? (Sure, I will help you. Remember that pronouns like English have a capital)",Spanish
"Forthermore,when the children living in his or her community has made some mistake such as playing joke on a lonely elder,he or she would like to speak up and tell them it is wrong to laugh at a poor old man.","Furthermore, when the children living in their community have made some mistake such as playing jokes on a lonely elder, they wouldspeak up and tell them it is wrong to laugh",Spanish
"Actually I wrote my major is English but more specifically I can say English Education, so mt graduation theme was ""Development of Communicative Skills in English of Senior High School Students""","Actually my thesis was about English, but more specifically English Education. So my graduation theme was ""Development of Communicative Skills in English of Senior High School Students"".I'm not sure if you mean ""thesis"" or ""major"".Thesis: The paper you write to graduate.Major: the entire focus of your studies. (Usually at the college level, at least in America).",Spanish
Call me the interview people are more than pursuing my people.,Call me the interview people are more than pursuing my people. (I don't understand. Possibly Rewrite: The interview people are too busy with others than to pursue me.),Spanish
I finally realize I need to tell him that the coffe shop is down stairs.,"I finally realize (you can use ""that"" here for the sake of using correct grammar, in casual spoken or written English you don't need to.) I need to tell him that the coffe shop downstairs. (You have to stay in the past tense because you are recounting an experience or an event that already happened, you also started in the past tense so you must keep your story in the past tense)",Spanish
"I'm a university student and now study abroad in Toronto, Canada.","I'm a university student and now study abroad in Toronto, Canada. (This is good, but slightly more natural to say ""I'm a university student (now) studying abroad in Toronto, Canada."")",Spanish
"however, regrettably, I am not familiar with grammar or slangs, so If I intended to compare, those who live in the country with which I compare Japanese would make a face.","However, regrettably, I am not familiar with grammar or slang, so If I intended to compare Japanese with a foreign language, those who live in that country would probably make a face.",Spanish
"I will make an effort to write in English from now,but except for someone who correct my poor English I can't realize my error in grammar.","I will make an effort to write in English from now, but without someone to correct my poor English - I won't recognize my grammar errors. *** [If you had not connected the two sentences/clauses, you could have used 'can't' (Without someone to correct my poor English, I can't recognize my grammar errors). By connecting the two, you placed the emphasis on future tense ('will make'), which means that you needed to use the future tense (will not or won't) in the second clause.]",Spanish
"I recomennded this site, Lang-8, to learn and output English.","I recomended this site, Lang-8, to the other students so they could improve their English.",Spanish
"But I don't like sports using a ball, such as baseball, football.","I don't like sports using a ball, such as baseball, football.In English, for proper grammar we try not to start sentences using the word but.I was not thrilled by this invitation, because I do not enjoy sports that use balls, such as baseball, and football.(I agree:)",Spanish
I watch NBA games on TV very often.,"This is not really necessary it can be added if you want it to be in this post, but when writing in English, the professors dislike off topic writing.",Spanish
I phone is liked by many people in Japan.,"iphone is liked by many people in Japan. (Many (or ""Lots of"") people in Japan like the iphone, too ---> Again, try to avoid the passive voice when you can. It's not grammatically incorrect, but stylistically it sounds unnatural).",Spanish
It is fine today in saitama.,"It is a fine day today in saitama. (But I think it's better to say: ""The weather is nice today in Saitama."")",Spanish
"Keiichi HARA"" who came this event, he doesn't want audience to feel only beauty and warmth in this movie.","Keiichi *Hara, who came this event, he doesn't want the audience to feel only beauty and warmth in this movie. (*I understand you capitalised to show the family name, but since you used Western convention, I think you don't need to. And in English we hardly ever capitalise a whole word, we do that for emphasis, or on the internet, it's akin to shouting.)",Spanish
"In my observation, there are two kinds of people around the web: Internet darlings who can keep converting the communication on the web into new values and then sometimes money by constantly updating themselves; and internet slaves who are just purposelessly strolling around the web and waste their time and even money sometimes.","In my observation, there are two kinds of people on the web: Internet darlings who convert their communications over the web into new moral values and sometimes even money by keeping themselves constantly updated. Then there are Internet slaves who are purposelessly trolling around the web and waste their time and even money . (""Just"" implies that one is on the edge of doing something or not doing something. It's difficult to ""just"" do something ""on purpose"". The author may have been watching CNN or Fox news because he or she likes to use these 'I'm-almost-sure' kind of qualifiers that make his or her words seem 'almost' untrue, or at the very least unsure. Rather than use 'sometimes', the author should see if he or she might be able to find a valid way of identifying the people whom he or she is addressing. He or she might consider that the latter group could be operationally defined as ""obsessive"" internet users, as an obsession can be defined as a behavior or habit that interferes with other parts of a person's life in undesirable ways. Finally, it confuses the reader to not know whether the author has or has not chosen to capitalize the word ""Internet"". He or she did so in the first case when inappropriate as by punctuation. He or she may want to use the lower-case for both; however, some people always capitalize the word Internet, due to an outdated manual's standard. About CNN and Fox: many critics of these stations cite their propensity for releasing stories in which they pack multiple qualifiers into the same sentence. For example, a recent report from CNN had a teleprompted reporter saying, ""Who might these alleged victims possibly be?"" Understanding the corporate structure of the news stations you watch might help the author to identify the people who are doing excellent reporting and the people who intentionally choose shoddy journalistic methods.)",Spanish
And you can work as a judgment to score on my composition.,And you can act as a judge to score my composition. ['Act' because you are refering to someone 'playing a role'],Spanish
i want to speak english fluently.,"I want to speak English fluently, so I have started to read a children's English book and am now talking to people on Skype.",Spanish
Sales are scheduled to be increased in addition in the future though present sales are about 60 billion yen.,"Presently, we have annual sales of 60 billion yen and this year we are on pace to increase that figure.--I believe that is what you mean to say. I hope this helps.",Spanish
Many people from many country pray and act for Japan.,"Many people from different countries are praying and acting for Japan. We use the Present Continuous with Normal Verbs to express the idea that something is happening now, at this very moment. It can also be used to show that something is not happening now. Examples, She watching the TV"" or He's eating dinner."" Simple Present: We use the Simple Present to express the idea that an action is repeated or usual. The action can be a habit, a hobby, a daily event, a scheduled event or something that often happens. Examples, ""I pray to god"" or ""I play football."")",Spanish
"I have taken carbohydrate foods less than usual, especially at dinner.","I have taken carbohydrate foods less than usual, especially at dinner, and I haven't taken any sweet bread, chocolate or any other sweets , however, I have taken low calorie stuff like(?) nuts.(I dont know what you are trying to say here)",Spanish
Don't you love ramune?,"Don't you love ramune? Do you like/love ramune? (Negative questions are more common in Japanese than English. So if you were just trying to find out if they liked ramune or not it's more common to use a positive question. That is, unless you're trying to emphasize that you think they do like ramune.)",Spanish
"By the way, it is my first day settling in Lang-8, a nice day!","By the way, it is my first day on Lang-8--a nice day! ""settling in"" may be used but it's a bit awkward. Also, having ""a nice day"" at the end of your sentence doesn't make sense. Using ""--"" (hyphen) maysuit you better if you still want to have that phrase there.",Spanish
"From my room, only I can see are buildings.","From my room, I can only see buildings.//If you want to use ""are"" : ""From my room, the only things I can see are buildings.""",Spanish
Thousands of congratulations on making up your mind to move to Fukuoka and start a new life there!,"congratulations on making up your mind to move to Fukuoka and start a new life there! Normally, we just say congratulations. But if you want to keep ""thousands of,"" the grammar was fine and it doesn't actually sound bad.",Spanish
"German is not easy to learn, but learning German makes my thoughts clear and systematic.","German is not an easy language to learn, but I feel it makes ones thoughts clear and systematic. (By specifically showing that you mean the German language earlier in the sentence, you can us a more concise pronoun later, rather than saying German twice which is bit wordy. PM me if you wish to know why I used 'feel' and 'ones' as bit long winded to explain.)",Spanish
I am interested in computer.,"As well I enjoy learning about computer program's such as Photoshop and illustrator. (I used 'as well', because we need to link this to the previous sentence and we already used 'also'. I removed a lot so we could conjoin the next two sentences more easily, because previously they basically repeated one another, only the second sentence provided more information. Finally try not to use ...etc in writing, the 'such as' already implies its meaning anyway.)",Spanish
I want to use other words.),"I want to use other words.) (Using ""but"" that many times is okay, but it can become repetitive. Aside from a dictionary, in English, there is a tool for finding synonyms called a ""thesaurus"", you can find one online here, however it's all in English: http://thesaurus.reference.com/ -- however, keep in mind that synonyms don't necessarily mean the *exact* same thing. You need to study the nuance of a word and it would help to see examples of it before trying to use it. But some words that have an approximate meaning to ""but"" that are pretty interchangeable are ""however"" and ""although"".",Spanish
"""LEVEL E"" is Anime program in Japan.",(you don't need this sentenced since I combined it with the one above.),Spanish
Haver a nice day:),"Have a nice day (It would be unusual to use a in an email addresses to ""Ms. XXX"" and signed ""Sincerely yours,"" as this is a formal email.)",Spanish
I ate the raw bonito yesterday.,"I ate raw bonito yesterday. | Bonito is uncountable so no . I don't think you need to say 'raw' - it is usually only used for uncooked fish, meat, and eggs. In this case bonito is dried fish flakes so it doesn't sound right.",Spanish
Today's my lunch and dinner,"My Lunch and Dinner Today The way you have it written isn't exactly wrong, but most people wouldn't say it that way. The words are capitalized because this is the title of your journal entry and titles are capitalized.",Spanish
"So, I blighted several plans by my mistake before.","Because I blighted (killed) several plants by mistake before, I realized I can't raise plants. (It would be a better sentence if you combine the sentence after with this one)",Spanish
"After all, I couldn't make as good progress as I had expected in this mornig.","After all, I couldn't make as good progress as I had expected this morning. *Although it makes perfect sense to say ""In this morning"" we do not say it^^*",Spanish
"The main guy, Sena acted by Takuya Kimura plays the song in special scenes.","The main guy, Sena is acted by Takuya Kimura and plays the song in special scenes. (try rewording, it makes sense but the first part i'm not sure you may need to take out the ""Takuya Kimura"" part, hehe)",Spanish
Please teach me & tell me idioms!,"Some commonly used idioms are as follows: Lose your marbles. (Go crazy) Bite the dust. (To be destroyed or die) Kick the bucket. (To die.) I'm in a pickle. (I have a difficult problem) There are many others. I once read that to say ""hana no shita ga nagai"" means to be lewd to women. That would be an example of an idiom.",Spanish
"I thought it has a lot of clearence sale and I can shopped what ever I want, but I realized I had no money to spend for my personal stuffs.","I thought there would be a clearance sale because it was President's Day, but I realized that I didn't have any money to spend for myself.",Spanish
"Today morning around 10 am, I went to market to purchase books with one of my intimate pal.","Today morning around 10 am, I went to market to purchase books with one of my intimate pal. Intimate pal? This is a word that suggests you are having sexual relations with your friend. If you did not mean this, please be careful with the use of this word. haha. :) If you want to describe a very close friend, you can use ""Best friend"",""Close friend"" or ""girl/boyfriend""",Spanish
Usually we japanese think american people would do everything about them by themselves.,"Usually we Japanese think American people would do everything about them by themselves, and they would maintain personal independence. I made these two into one sentence because it's better if you don't start a sentence with ""and"".",Spanish
I was planning to find English learning courses from University but,"I was planning to find English learning courses at a university but -----> You can also say ""I was planning to take English courses (classes) at a university""",Spanish
"She is beautiful; big wide eyes, sharp nose, triangle shape mouth.(I don't know how to explain the feature of when people have a smile and laugh)","She is beautiful; big wide eyes, sharp nose, triangular mouth. (I don't know how to explain someone's features when they smile and laugh) (Maybe ""jolly"", although we describe Santa Claus as ""jolly"" also. Or perhaps, ""she has a heartwarming smile/laugh"". Can anyone else make other suggestions?)",Spanish
"Recently, I began to facebook.","Recently, I began to use facebook. (I think it's still not accepted as a verb. Twitter is a bit different because it originates from the verb ""to tweet"" and on Twitter the only thing you can do is actually ""tweet"" your latest news.)",Spanish
He drifted away from his guards trying to follow his prey.,"He drifted away from his guards, trying to find a good fishing spot. ""prey"" isn't used by fishermen generally. They don't see it like hunting deer or bears or something like that (hunters might use ""prey"", but I'm not sure). I can't think of any better word to use here. Generally ""follow"" isn't used either, unless they have good technology; most fishermen don't. They will call it a fishing spot and roam around looking at different spots.",Spanish
"Please, come in."" Love stood up and so the other two men, Wealth and Success, then they followed him.","Would you please come in?"" Love stood up and then the other two men, Wealth and Success, followed him. I like a second question here, because you put ""asked"" and so it is better to to make questions instead of requests.",Spanish
I just hope that I don't loose my mind by the end of the semester.,"I just hope that I don't lose my mind by the end of the semester. Remember that loose and lose are different. Loose is the opposite of tight (like a knot, tie, or muscle tension). Lose is the opposite of winning or gaining (but can be used like in losing one's mind or becoming crazy or something). Many people use them incorrectly even as English native-speakers, but it does not take long to know the difference after writing them a few times.",Spanish
"There is always a ""TRUTH"" behind ""I'AM JUST KIDDING"", a little ""EMOTION"" behind ""I DUN CARE"", a little ""PAIN"" behind ""IT'S OKAY"", a little ""I NEED YOU"" behind ""LEAVE ME ALONE"" and a lot of ""WORDS"" behind ""THE SILENCE""...!!!!","There is always a ""TRUTH"" behind ""I'M JUST KIDDING"", a little ""EMOTION"" behind ""I DON'T CARE"", a little ""PAIN"" behind ""IT'S OKAY"", a little ""I NEED YOU"" behind ""LEAVE ME ALONE"" and a lot of ""WORDS"" behind ""SILENCE""...!!!! (I would never write ""I dun care""-- it is common to write ""I dunno"" as a way to represent the way that this phrase is often pronounced, but I have never seen any other phrase purposely misspelled this way.)",Spanish
"Blown tom 18 inches long, the cut head was put on the state of the body.",I am not sure what you are trying to say here sorry!!,Spanish
I connected up the headset microphone to my personal computer that I want to do Skype today.,"I connected up the headset microphone to my personal computer that I want to do Skype today. ** you can say that part in different ways. one way is just plain : ""i connected the headset."" then you have : ""i hooked up the headset.""** **because i wanted to do skype today.**",Spanish
"That's because, when writing in English, at first I think how to represent my idea in Japanese , and then decide how to write it in English.","That's because, when writing in English, at first I think how to represent my idea in Japanese, and then decide how to write it in English. (I do this too, only the other way around. I think of a sentence in English and try to think how to write it in Japanese. XD I've heard it's not a good way to do things.)",Spanish
I would say over 100 people there.,"I would say that there were over 100 people &nbsp;in attendance. (I don't really think what you wrote at the end of the sentence was wrong, but I believe changing ""there"" to ""in attendance"" makes the sentence clearer)",Spanish
"Becuase I assume I don't use a lot of toilet paper, the price difference between roll paper and Kleenex should be imaterial.","Because I assume I don't use a lot of toilet paper, the price difference between roll paper and Kleenex should be immaterial, so why not save the trouble of using roll paper when it is much easier to use Kleenex?",Spanish
"therefore,they decided to took some ways to evaluate whether the students have the special quality which the college students should have.","Therefore, they decided to make some ways to evaluate whether the students have the special quality which the college students should have. (Therefor, they decided to create a system in which students could be judges if they had the special quality needed to be students.) I couldn't think of a way to change this without making major changes so I created a new sentence.",Spanish
We who are living except the disaster area need to recover the economy for Tohoku area and our country.,"For the survivors of the Tohoku area and for Japan, me, as well as other Japanese people, will do whatever we can to revitalize Japan's economy and to restore Japan to her former brillance.",Spanish
"He receive a big order, and he write program all day and night, finding inspiration continually.","He received a big order, so he is writing programs all day and all night, continuously looking for inspiration. In English, it's unusual to say that you received an order for professional services. It might make more sense to say ""He landed a big contract.""",Spanish
"there is a research from Japan,about 'Japanese people have how many friend'","there is a research from Japan,about 'Japanese people have how many friend'....There is a research in Japan about how many friends do japanese people have.......Is that what wanted to say?",Spanish
I want to write the diary of the tea ceremony today.,I want to write the diary of the tea ceremony today. Today I would like to write a journal entry about Tea Cremony. <--- I think this would make a better first sentence.,Spanish
So our purpose of today is difficult that we want to talk with some foriners in English to study for English.,So our goal of the day was difficult. We wanted to talk with some foreigners to study English.,Spanish
"If I wrote one Chinese diary at Lang-8, the next day I came to check my diary here, lots of Chinese friends gave me many correct answers !","If I wrote Chinese diary(I understand this but you could also write ""a diary in Chinese"" )at Lang-8, the next day I (difficult tense to express a repeated action in the past ""came"" expresses one time only) to check my diary here, lots of Chinese friends me many correct answers (""many correct answers"" I understand but there are better ways to express this ""would give me the correct answers"" ""would give me lots of corrections"" ""would give me lots of answers"")",Spanish
This was the genesis of wasting time...(I added this sentence after I wrote all of this entry.,This was the genesisof wasting time...(I added this sentence after I wrote all of this entry. 'this was the starting point of my procrastination...' = once you looked at 'copper smith' you looked up other random words just so you didn't have to do your report right?,Spanish
"Nevertheless, I haver many stuff about improvement my","Nevertheless, I have made many improvements: my language skills (Korean, English), a certificate of qualification, and economy. (I'm not sure if this is what you were trying to say...?)",Spanish
And they never go anywhere.,"and they never went anywhere. info: ""and"" is always a cue to a longer sentence. You're not suppose to start a sentence with it. However, don't think this is just your problem trying to learn English. I could see native English speakers possibly doing it as well.",Spanish
"My new year horiday,It was eat eat and eat.","On my new year holiday, all I did was eat, eat, and eat! OR During my new year holiday, all I did was eat, eat, and eat. (in this case, ""new year"" doesn't need to be capitalized because it's being used as a general adjective and not of the event itself)",Spanish
"there was a lot of places to play, tennis table tennis Athletic","(When you use there was, you suggest that there was places to play in the past, but there aren't any now. So for example I can say ""Before the Matsuya lodge was torn down, there were a lot of places to play games"". NOTE: This is an example. Matsuya lodge still exists and I have never been there) There are a lot of places to play, tennis, table tennis, and athletic games.",Spanish
"The name of my favorite movie in is ""The Darjeeling Limited""over the past few years.","The name of my favorite movie is ""The Darjeeling Limited"". (Doesn't make sense to put that there... maybe try -->) My favourite movie of late is ""The Darjeeling limited""",Spanish
"Im begin learned english , are not sure that spoke in a month but I try because some friends visit me to finally of month, they from Holanda but they are speak english and spanish, but better is your english, so my intention is learned more and more Can you unstertand what a saying?","I'm beginning to learn english. I have not spoken in about a month, but I now am motivated because at month's end, some friends are coming to vist. They are from Holanda and they speak English and Spanish. Their English is better than mine so I plan to learn as much as possible in the time I have. Can you unstertand what a saying?",Spanish
"To correct my strange English, I need your help.","To correct my strange English, I need your help. This sentence also makes sense, but is more natural this way: "" I need your help to correct my strange English."" or "" I need your help in correcting my strange English.""",Spanish
I've wanted more going there.,.I wanted to go even more. But you could just include this sentence in the previous sentence.,Spanish
"I've never been to England or USA, but I believe that dreams come true.","I've never been to England or USA, but I believe that my dreams to go there will come true. // Emm. don't forget, there are some other English speaking countries too, like ... Australia :))",Spanish
"""SHREK forever after"" reminded me of that we have to hold a respect in nothing special things.","""SHREK forever after"" reminded me of that we have to hold a respect in nothing special things.""SHREK forever after"" reminded me that we have to appreciate the small things in life""""we have to appreciate the small things in life"" is a saying in English. It would make sense to use it here!",Spanish
"I had my presentations at Annual Meeting of the Genetics Society of Japan and intermediate of master thesis, and the ceremony for potential recruits of my company.","I had to give a(some) presentation(s) at the Annual Meeting of the Genetics Society of Japan and the (There is a specific word for what you must write during the middle of your masters but I cannot remember it right now. A similar phrase is ""progress report"". Sorry) of my masters thesis, and the ceremony for potential recruits of my company. (""ceremony"" sounds strange here, but I don't know more about this particular ""ceremony"" that you are talking about. So I'm not sure which word to suggest.)",Spanish
"No, it is not.","but it isn't. ""If Mama & Papa was the store name, I think it would sound right, but it's not"" I think that sounds more natural =]",Spanish
She never cares about them at all.,"She never cares about them at all. You may want to connect the previous line with this one by saying ""I bought an utterly(/a ridiculously) expensive water bowl and fur comb for her, but she doesn't seem to care about them at all.""",Spanish
I would like the opportunity to learn more about skiing and this job would offer me more experience in this professional field.,"This sounds strange to me -- you're not going to get experience in the professional field of """" by working in a ski shop. Even if you use the mentioned ""ski pass"" to go skiing on your free time, that would not be the same as training with a coach to become a and compete in the Olympics! I would just say something completely different... maybe ""I would appreciate the opportunity to further improve my communication skills..."" or something.... :\",Spanish
#NAME?,"- He had four sons. If he only had son, you could say ""one son"" or ""a son"". It means the same thing. But for more than one son, you wouldn't put an """".",Spanish
I want to be a friend of you : ) and look forward to your reply~.,"I would like to be friends with you and look forward to your reply~. :) (Note: English learners tend to overuse the verb ""to want"" to express desires. 8 times out of 10, it can seem a little pushy or demanding. Compare: A little rude sounding, especially when read:""I want you to correct my entry.""""I want you to be my friend.""""I want us to talk in English now."" More native-sounding:""I would like you to correct my entry (if you have the time).""""I would like for us to be friends. I would like to be friends with you.""""May/Can we talk in English now? I would like to practice my English now (if you don't mind).""",Spanish
"When I find them, I think ""Please tell me the making of this picture!!"" Someone meet the demand by picture!!","When I find them, I think ""Please tell me the making of this picture!!"" Someone meet the demand by picture!! The first part sounds very odd to me. I think what you want to say is ""Please tell me how you draw this kind of picture!"" or ""Please show me how you made a picture like this!"". We cannot simply use ""making"" as a noun in that way in English. The second part, however, I'm not really sure what you want to say. To ""meet demand"" means, ordinarily, to produce enough products to fill everyone's needs, or in some cases to satisfy everyone's expectations. e.g., ""Sony failed to meet demands at PS3 releases across the country."" Did you perhaps mean to say something like ""I hope they'll tell me how they drew that sort of thing!""?",Spanish
"The historical fact and this disaster are totally different, we never have to consider those to be the same things.",The historical fact and this disaster are two totally different things and we can't put them side-by-side to compare and discuss about it.,Spanish
"He like the kaiten-zushi, and I like the Hyakuen shop.","He likes the kaiten-zushi, and I like the Hyakuen shop. (Likes has to be plural for Kimura-san, I am not sure of the exact reason. But we we refer to others we have to use ""likes"" and for ourselves we can ""like"". ""He likes the coffee"", ""John likes the sushi."", ""I like the bread."", ""I like the arts and crafts store"". But strangely when we refer to a group of people such as ""we"" we use only use ""like"" it it not plural. ""We like the office"", ""We like the fresh smell of bread"". English is strange. :D",Spanish
"Sometimes I concentrate on watching TV, writing down something that I've never heard or I've thought of much more useful expessins than I've known.","Sometimes I concentrate on watching TV, writing down something that I've never heard or some useful expressions that can potentially make me more sophisticated at speaking, reading, listening, and writin, even typing :)",Spanish
