text,correct,predicted_native_language
"I worried about Ichiro,the Major Learge Baseball player,is very bad conditions.","I worried about Ichiro, the Major Leauge Baseball player--he is in very bad conditions. (do you mean his health or his baseball skills?)",Chinese (Mandarin)
"Today my English teacher said ""I'll quastion you a lot of Accents."".","Today my English teacher said, ""I'll test you on a lot of accents."" or ""I'll ask you questions in many accents.""",Chinese (Mandarin)
Now i felt so full and I am very sleepy now.,"Now I feel so full and I am very sleepy now. (""Felt"" is only used for past tense. For the actions in present, you should use ""feel"")",Chinese (Mandarin)
"Before I started Lang-8 community,","Before I joined the Lang-8 community, I was just interested in English and Japanese. (or Before I started using Lang-8, ~)",Chinese (Mandarin)
Now I'm listening Utada's song.,"Now I'm listening Utada's song.Alternatively: Now I'm listening song Utada. You could also say ""a Utada song,"" but that would make ""Utada"" a describing word and would only sound natural if the listener knew of Utada.always specify whether a noun is plural or singular where ambiguous, and use ""a"" or ""the"" in the singular case. The way you wrote it suggests not only that your listening to one song, but that Utada has only one song.",Chinese (Mandarin)
"I'm watching the kannagi which is found on the web, and that, it with English-tickers is useful for studying English.","I found it and am watching it on the web, and because it has subtitles in English, I can study.Immediately repeating a word can sound unnatural in English, so I cut out the second ""English,"" since it can be inferred. The next sentence would sound a bit more natural with two ""English""s since they're farther apart.",Chinese (Mandarin)
"hooked on , addicted to , caught up in, Which is more common to use?","""hooked on"" and ""addicted to"" mean pretty much the same thing. Something you really like and crave for, and can't stop doing. (Just about the same meaning as when it is used to talk about drug or alcohol addictions. , caught up in, Which is more common to use?""caught up in"" I see this as more of a temporal phrase. To be delayed, or hindered; ""I got caught up in a heavy storm on the way here."" In comparison with the previous two, it can carry a little bit of both meanings; ""I got so caught up in his web of lies to the point where I would do anything for him"" (a little bit of dramatic sentence ^^;) In this case, the person was ""hooked"" on the lies that where being told, mainly because they didn't know they were being lied to. Also, this sentence the connotation of wasted time and/or effort. She wasted time doing ""anything for him.""sorry, I didn't mean to make the explanation so long and confusing.",Chinese (Mandarin)
they are living big house with fancy interiors.,that Americans lived in big houses with fancy interiors.,Chinese (Mandarin)
"As above, I already knew AAA is looking for someone for the branch office in the US, so when the purchasing manager answered me that he did not any of them, I asked him that ""is there any chance AAA is seeking someone for that?"", Just as my expectation, he asked his friend about the job for me and the end of the day, the representative of USA branch office e-mailed me.","As I said, I already knew AAA is looking for someone for the US branch, so when the sales manager answered me that he did not ((didn't what?)) any of them, I asked him that ""is there any chance AAA is seeking someone for that?"" Just as I expected, he asked his friend about the job for me and by/at the end of the day, a representative of the US branch e-mailed me.",Chinese (Mandarin)
I opened an English reference book.,"I opened (this is correct grammar, but I think ""looked through"" sounds more natural in this context ^^) an English reference book.",Chinese (Mandarin)
Now the practice of badminton is once a week for two hours.,Now I have badminton practice once a week for two hours.,Chinese (Mandarin)
I write English speedy.,I write English speedy.you write speedy English? what do you mean about this?^^,Chinese (Mandarin)
Umm its a buddhist school by the way....,"It`s a buddhist school by the way....(Umm is never used in formal writing.) neither are ellipses. -> ... are ellipses. so just delete them and replace with a ""."" period.",Chinese (Mandarin)
"The 29th Olympic Games were held in Beijing,China.","The 29th Olympic Games were held in Beijing,China. [Maybe add ""because"" in front of this sentence and attached it to the previous...so it would read, ""I still remember this particular day, August 8th, 2008, because the 29th Olympic Games were held in Beijing, China.]",Chinese (Mandarin)
It schedule to start the class at 13 o'clock every Wednesday.,"I am scheduled to start class at 1 o'clock every Wednesday. (More natural: Every Wednesday, I have class at 1:00.)",Chinese (Mandarin)
I continuosly think I don't give up about speaking English anymore.,"(I don't understand the meaning of this sentence, so I'll leave it.)",Chinese (Mandarin)
Because we can't pronounce English what we read.,"Because we can't pronounce what we read in English.This sentence is a fragment. It can be from a mix of the sentence before: ""The difference in pronunciation makes English very difficult for us because we can't pronounce what we read in English well.""",Chinese (Mandarin)
My 3 year old son had his hair cut at a barber this morning.,"My 3 year old son had his hair cut at a barber shop this morning. 'Barber' is a person, 'Barber Shop' is the place; if you want to use 'barber', you would say '...had his hair cut by a barber...'",Chinese (Mandarin)
It is very covenience.,"It is very convenient, because if you use MSN chat, we can talk",Chinese (Mandarin)
I think I should have been abroad when I was younger because I could have got wider view.,"I think I should have gone abroad when I was younger because I could have gotten wider view. (gotten is a weird word to use in some countries, but here in NZ we use it lots in this situation. Pretty much means ""received"")",Chinese (Mandarin)
"today ,i worked about PET four Exmaintion paper, it very terrble , altogether one hundred but i answered correct ten question ,i have fiveteen cent !oh,my lady gaga!","today ,i took the PET four Exam , it was terrible , from a total of one hundred i answered ten questions correctly ,i have fifteen percent !oh,my lady gaga!",Chinese (Mandarin)
"Yesterday, I went to Harajuku to shop with my friend.","Yesterday, I went to Harajuku to shop with my friends. If there was only one friend you should say, ""Yesterday, my friend and I went shopping in Harajuku.",Chinese (Mandarin)
"IMHO, although many diaries are manufactured by native Japanese speaker in SNS and blog every day, almost of those are useless except for oneself.","In my opinion, although many diaries are written by native Japanese speakers on SNS and blog sites every day, almost all of them are meaningless/inconsequential except for the person writing them.",Chinese (Mandarin)
I think having a practice in writing in English must be helpful to improve written skill.,"I think having a practice at writing in English must be helpful to improve writing skills. (""I think practicing my written English must be helpful in improving my writing skills."")",Chinese (Mandarin)
"Let's posit the premise that a country ""The ABC KINGDOM"" would exist in this world.","Let's posit the premise that a country ""The ABC KINGDOM"" exists in this world. (omg sohei... posit... premise... lol so technical (but your usage is correct, I think!!))",Chinese (Mandarin)
"Is it ""broken?"" I thought it to be ""and borrowed DSLite from a friend in phlegm!","Is it ""broken?"" I thought. So I borrowed DSLite from a friend in phlegm! Phlegm means spit in English. Phlem is mucus produced by lungs.",Chinese (Mandarin)
"For exemple, Our coustamer paid to you amont of maney,","If we can make sales for you, we would like a 20% commission.",Chinese (Mandarin)
"First year i often went several schooling and try some home works, but last year i can nothing because after i changed the division i can't spend the time to studying.","During my first year, I often went to several schools and tried out some homework, but last year I haven't done anything because I changed divisions and don't have time to studying.",Chinese (Mandarin)
I might as well go to what kind of restaurant next time.,What kind of restaurant should I go to next time?,Chinese (Mandarin)
I don't have any money,"I don't have any money. Most natural, I think. Strengthens that you have absolutely NO money AT ALL.",Chinese (Mandarin)
"Everyday,I feeling to Baby's Sign.","Everyday,I get signals which indicate how my baby is feeling .",Chinese (Mandarin)
I think I live in various idea from various people.,"I think I live in various idea from various people. (Do you mean you live in different ways matching others, or differently from others?)",Chinese (Mandarin)
"I was wondering while studying it that why do you add ""K"" ahead word such as ""knee""""knuckle""""knit""""know""""knight""""knife"" and extra though you don't pronounce ""K"" sound?","While studying them, I was wondering why you add ""K"" to the beginning of words such as ""knee""""knuckle"" ""knit""""know""""knight""""knife"" although you don't pronounce the ""K"" sound?",Chinese (Mandarin)
"I Took a lunch, and reading a book there.","I took lunch and read a book there. [In English, ""read"" is spelled the same for present tense and past tense. In this sentence, it is pronounced as past tense. It sounds the same as the color ""red"" when you say it.",Chinese (Mandarin)
"Old Japanese, the animals are setted in the times.","In old Japanese, this is called ""Eto."" So, ""Ushimitu doki"" means ""when the animals are setted in their time.""",Chinese (Mandarin)
I can may be good speaker for English.,"I would like to speak English well, so that I can understand the lyrics of my favorite singer, Bowie.",Chinese (Mandarin)
I have been to Australia about three years ago to experience homestay.,"I have been to Australia about three years ago to experience homestay. I would rather say something like: ""About three years ago, I visited Australia with a home-stay program.""",Chinese (Mandarin)
I was thinking that foreigners can't speak Japanese a long time ago but lately I heard that they're learning Japanese everyday.,"Long ago, I too thought that foreigners didn't learn Japanese, but recently I was suprised to hear that there are many foreginers who learn Japanese each day",Chinese (Mandarin)
"The most important political problem Hatoyama Cabinet holds is ""Futenma base problem"" which means that to which place American forces stationed in Futenma street in okinawa in Japan should be relocated.","The most important political problem forthe Hatoyama Administation is the problem of the Futenma Base, by this I mean, where should the American forces stationed on Futenma Street on Okinawa in Japan be relocated.",Chinese (Mandarin)
"Yesterday, I bought an I-Phone, which I had wanted for so long!","Yesterday, I bought an iPhone, which I had wanted for so long! (It is normal for Japanese people to start with ""Time, noun verb..etc."" To show difference in your sentences, try starting your entries with Nouns first. ""Ex: I bought an iPhone yesterday, one which I had wanted for so long!"")",Chinese (Mandarin)
I went to night club with my 5 friends and it can let me relax and have fun.,I went to nightclubs with 5 of my friends and I had a lot of fun.,Chinese (Mandarin)
"3b)After months of steady increase, gasoline prices are finally falling all over the world while peace continues in the Middle East.","3b)After months of steady increase, gasoline prices are finally falling all over the world there is peace in the Middle East (at the moment). I know that you want you want to say, but you can't say it in only one sentence. Example: ""After months of steady increase, gasoline prices are finally falling all over the world. This will last for as long as peace continues in the Middle East.""",Chinese (Mandarin)
"It's may last about 1 complete 1 days,which properly caused by using my mind to offen those days for learning Japanese and French.",It may last about 1 day. I think it is probably because I have been using my mind a lot to learn Japanese and French these days.,Chinese (Mandarin)
"I hiked the mountain today, ' Kuramayama' is not high so it took only 3 hours to walk the hiking cores.","I hiked the mountain Kuramayama today. It is not high so it took only 3 hours to walk in the hiking cores. (Hiking cores are the books, did i get it right? :))",Chinese (Mandarin)
"Therefore, I am hoping that I could join Japan Foundation which is japanese independence organization.","Therefore, I am hoping that I could join the Japan Foundation which is a Japanese independence organization. (Proper nouns and adjectives - such as 'Japanese' - are always capitalized. Also, 'Japan Foundation' is 'the' because there is only one, but 'Japanese independence organization' is 'a' because there are many.)",Chinese (Mandarin)
celebrating the birth of Jesus Christ through those carols and the play.,"celebrating the birth of Jesus Christ. (the way you wrote it, it sounds as though Jesus' birth was done by the carols and the play)",Chinese (Mandarin)
It's a little fun for me to choose one Bath Solt from among many things by feelings of the day.,It'skind of fun for me to choose one bath salt by how I feel that day.It's kind of fun for me to choose one bath salt by how I feel that day.orIt's kind of fun for me to choose one bath salt from among all of them based on my feelings.[/sline],Chinese (Mandarin)
Many Japanese people talk about their blood types a lot.,"Many Japanese talk about their blood types a lot. Japanese already means people from Japan, so you don't need to use the phrase ""Japanese people"".",Chinese (Mandarin)
One of my favorite points of Shinjuku is the night view.,"One of my favorite points about Shinjuku is the night view. (""points of Shinjuku"" works. But I think it may be a little more natural to say ""points about Shinjuku.)",Chinese (Mandarin)
one of my friend have cousin in Philadelphia and because she quit her job so she plan to visit her cousin and before visit her cousin she plan to visit new york first because that two place is near,"One of my friends has a cousin in Philadelphia and because she quit her job she planned to visit her cousin. Before visiting her cousin, she planned to visit new york first because that place was closer.",Chinese (Mandarin)
"In the best part of this song, ""Bad, Bad..."", if you compare with the original, his copying phrases sound a little similar with original.","If you compare Imoaraizaka Kakaricho's version of the song with the original, you can hear that the comedian's imitation of the refrain, ""Bad, Bad...,"" is very similar to the original.",Chinese (Mandarin)
You can donate rice at the same time you can memorize English words.,"You can improve your vocabulary and donate rice at the same time. (Check the position of ""at the same time"".)",Chinese (Mandarin)
"Actually, I had a project for myself.","Actually, I (set some goals/made a plan) for myself. (""Project"" is typically something bigger)",Chinese (Mandarin)
"Since our birth we are told to use proper grammar, to learn proper spelling by rote, not to play with syntax...","Since our birth we are told to use proper grammar, to learn proper spelling by repetition, not to play with syntax... Comment: I've never heard of the word 'rote' I had to look it up, maybe it is used in the UK? Also I'd change 'since our birth' to 'from our childhood.' Perhaps things are different in Russia, but I haven't seen much mentioning of grammar to a baby before they begin speaking.",Chinese (Mandarin)
"Don't write ""definately"", don't put ""tho"" in a business letter.","Don't write ""definately,"" don't put ""tho"" in a business letter. Comment: In English it is correct to put the punctuation inside the quotes. This gets ignored on the internet because then you'd have things like: then press ""esc.""",Chinese (Mandarin)
it has resistance very much to show a photograph of the face and open to the real name for a Japanese.,Japanese people have a lot of resistance to showing their face and giving their real name on the internet.,Chinese (Mandarin)
"Without making friends, I went to and came back between home and a craming school only.","Without making friends, I went to and came back between home and a cram school only. (*You could also say ""I spent all my time either at home or at cram school."")",Chinese (Mandarin)
"His name is cruz,who is living in France.","His name is cruz, and he is living in France. / ""His name is cruz, from France."" *This way sounds more natural",Chinese (Mandarin)
"However, too bad that it is.","However, it is too bad that so many Japanese spend their New Year's outside of Japan. If you don't specify what is too bad here it sounds like it's too bad that Japan is, in England, thought of as the most excellent place for sightseeing.",Chinese (Mandarin)
or a vacation that you can't wait for.,or for a quick getaway vacation. (US: vacation; UK: holiday),Chinese (Mandarin)
But it is lucky power of this influenza is small.,"But it is lucky that the power of this influenza is small. We are lucky that this virus is weak. From your entry, we already know you are talking about H1N1 influenza, so you can say virus instead of repeating influenza or H1N1 in every sentence.",Chinese (Mandarin)
I returned to my house from Guam.,I returned to my house from Guam. I returned to my home from Guam. I think it sounds better this way.,Chinese (Mandarin)
"He is indepent,confident,persistent,intelligent,kind-hearted,aggressive and strong-minded.","He is indepent, confident, persistent, intelligent, kind-hearted, aggressive and strong-minded. Make sure you put spaces after commas.",Chinese (Mandarin)
"I think nickname from the first call to the over-familiar feeling,",I think using a nickname the first time commenting to her is overly-friendly. (This is a difficult thing to translate into English with simple words),Chinese (Mandarin)
"I use dutch oven, so I bake 15 minutes with the lid, and baking more 20 minute after opening the lid.","I use a dutch oven, so I bake mine for&nbsp;15 minutes with the lid, and I&nbsp; bake it for 20 more&nbsp;minutes after opening the lid.",Chinese (Mandarin)
"Though some of my friends in Tokyo make fun of Shiga, but I love Shiga because it is confortable to live in.","Though some of my friends in Tokyo make fun of Shiga, I love Shiga because it is comfortable to live in. (or ""Some of my friends in Tokyo make fun of Shiga, but I love Shiga because it is comfortable to live in."" Either ""though"" or ""but"" works, but not at the same time.)",Chinese (Mandarin)
"I think I am good at reading English, and I can understand what they speak without Japanese subscript but with English one.","I think I am good at reading English, and I can understand what they speak without Japanese subscript but with English ones. Again, this phrasing is a little unnatural. Basically, it is too long. In English, we call sentences like these ""run on"" sentences: sentences with more than one ""and"" or ""but."" I would write this sentence as ""I can read English well, so I can understand what they say using English subscripts instead of Japanese ones.",Chinese (Mandarin)
I like speak freely more than read textbook.,"I prefer to talking to reading textbooks.If we say, ""speak freely"" it has a meaning of speaking one's true thoughts or feelings. For example, you might say to your boss: ""May I speak freely about the new company policy?""",Chinese (Mandarin)
"But, I need a skill to speak English daily life in a foreign country using it.","However, in order for me to speak English more precise and more accurate, I need to speak in English about my daily life. Thus, it will greatly improve my English for the future.",Chinese (Mandarin)
When I woke up in the morning I feel better because I was in LA.,When I woke up in the morning I felt good because I had a dream in LA.,Chinese (Mandarin)
"I'd like to improve my English skill, and communicate in English.","I want to improve my English, and I'd like to communicate with my friends in English.",Chinese (Mandarin)
The person who was able to make it to the name of the airport was almost a politician of towering stature though there was De Gaulle or Kennedy's example.,"Usually the people airports are named after are important political figures, like DeGaulle or Kennedy.",Chinese (Mandarin)
Vories from teaching job of prefectural Commercial High School in only two years---It has been saying that the mastermind behind crime was one buddist monk of locak Pure Land Buddhism.,Vories from his teaching job at the prefectural Commercial High School in only two years was said to be a Buddhist monk of the local Pure Land Buddhism.,Chinese (Mandarin)
I can't stop sending a longing look at my graceful aging Empress and feel happy,"I can't feel happy for my empress,",Chinese (Mandarin)
"It was a simple question only that you need to classify thouse Samurais by the rank of the family of quality, and apply the linearly-ordered position.","It was a simple question in which you were only needed to classify those Samurais by their family ranking, and arrange them in a line orderly.",Chinese (Mandarin)
"The one thing that I could comprehend was the poor results by the Study of Modern History, Hirohito our Emperor of Sowa was not user of supreme command right although he was only one Mighty owener in the entitlement.","The one thing that I could comprehend was the poor results by the Study of Modern History, Hirohito our Showa Emperor did not have the right of supreme command although he was the only one entitled to exercise it.",Chinese (Mandarin)
"The maintenance of the bad law,right to cut someone down was the domain duties of Tosa clanakuho.",The Tosa clan could maintain the unjust laws and possessed the right to kill whomever they pleased.,Chinese (Mandarin)
It is likely to compare unfavorably from Ryoma even if marginate with what kind of man.,It is likely to compare unfavorably from Ryoma even if marginate with what kind of man. [ Makes no Sense] Suggestion: There was no man who would equal Ryoma or Againts Ryoma other men of vigor looked pale.,Chinese (Mandarin)
"My office building have more than 20th floor, so I worried that the building would collapse.","My office building has more than 20th floors, so I worried that it would collapse. In English, a word changes when you mean more than one - one floor, two floors. (My friend studies Japanese and she told me that in Japanese, the word doesn't change; but it does in English.)",Chinese (Mandarin)
"Around me, the train stopped working, we couldn't buy any lunchboxes and instant noodles at convenience-stores, and express road stopped working and it caused heavy traffic jam which interrupted moving ahead.","Around me, the train stopped working, we couldn't buy any bento/ready-made lunches (I know what you mean, but in English, 'lunchbox' means the thing you use to carry your food to school; we do use 'bento') or instant noodles at convenience-stores, and the highway shut down and it caused a heavy traffic jam which stopped people moving ahead.",Chinese (Mandarin)
"I approached them considering what happen, then some members of Yokohama Marinos(Japanese Pro Soccer League Team) were doing a charity drive for the victims of the earthquake.","I approached them wondering what was happening, and it turns out some members of Yokohama Marinos (a Japanese Pro League Soccer Team) were doing a charity drive for the victims of the earthquake. ""Considering"" means ""thinking about"" in the context of a choice. For example: 1. He was considering going to either Japan or Taiwan. 2. I'm considering applying for a job, but I'm still not sure.",Chinese (Mandarin)
"My wife caught a cold, following my daughter.","My wife caught a cold from my daughter. (""following"" sounds unnatural here. ""from"" makes sense if you believe that your wife got the cold directly from your daughter (as opposed to getting it from work or somewhere else). If you don't think your wife got the cold from your daughter, I would write it like this: ""My daughter had a cold the other day and now my wife has one too"")",Chinese (Mandarin)
"I tried to down grade the OS version of iPhone3G, because its process has been very slow and some favorite applications had not worked well since I upgraded iPhone OS.","I tried to downgrade the OS version of iPhone3G, because some of its processes had been very slow and some of my favorite applications had not worked well since upgrading.",Chinese (Mandarin)
"Im going to a company's Opening Ceremony in Aoyama, which Im joining its internship program.",Im going to the Opening Ceremony of a company I'm joining through a internship program in Aoyama.,Chinese (Mandarin)
"Does somebody know there is a sentence or (""slang""?) called ""mini mani mani mo, catch up a tiger glow, my mom picks the best, and you are it"" I think I made some mistakes on it, does anyone know the whole sentence.","Does anyone know the rhyme called ""Eeny-Meeny-Miney-Mo?"" I think I made some mistakes on it. Does anyone know the whole phrase?",Chinese (Mandarin)
"I had an ordinary day, studying and taking a nap as normal :P","I had an ordinary day, studying and taking a nap as normal :P - You can also say, ""I had an ordinary day studying, and taking a nap as usual. ""Usual"" is just like normal.",Chinese (Mandarin)
"Eskimos have more kind than Japanese,I heard.","I heard Eskimos have even more ways to say it than the Japanese.The language the Eskimos use has even more ways than Japanese, I heard.",Chinese (Mandarin)
I live in south China where we call water towns There are so many beautiful lakes that it be called the hometown of the fish and rice.,I live in south China where we call water towns There are so many beautiful lakes that it be called the hometown of the fish and rice. (Wrong order of sentences.)I live in South China where there are so many beautiful lakes that we call them water towns.My hometown is known as the town of fish and rice.,Chinese (Mandarin)
We can exchange languages from each other by talking about any interesting things.,"We can exchange languages from each other by talking about any interesting things. (better sentence choice)I would love to exchange cultures with each other, and talk about our interests.",Chinese (Mandarin)
And I think it is important to teach our children manners.,"I think it is important to teach our children manners. (In English, we avoid starting a sentence with ""and"" as it is a joining word)",Chinese (Mandarin)
"Before it, we went to Dairy Queen which is Sofia's favorite fast food shop and we ate an ice cream in spite of fucking cold<33 We had no time till hockey game so we went to hockey game studium in a hurry so we were seriously freezing and we couldn't even talk that much lol <33 lol","Before we went to the rink, we went to Dairy Queen which is Sofia's favorite fast food shop and we ate an ice cream in spite of it being so fucking cold<33. We had no time left till the game, so we hurried to the stadium. We were seriously freezing and we couldn't even talk that much. lol <33 lol +Are there no Robins' or Coffee Time's in Kamloops?+",Chinese (Mandarin)
At least kamloops is really tiny city so there is no wonder that you happnen to see ur friends lol),"At least in Kamloops. It's a really tiny city, so there is no wonder why you happen to see ur friends everywhere. lol)",Chinese (Mandarin)
They participate as a cover model and alos many well-known person and a talent donor offer article for free,"They participate as a cover model and alos many well-known person and a talent donor offer article for free Celebrities appear on the cover, and many of them also contribute articles.",Chinese (Mandarin)
She has to get 100 yen 100 times at least.,"She has to get 100 yen 100 times at least. (She needs to get one hundred yen a hundred times at least in order to buy a Nintendo DS, ten thousand yen in total. That also means she needs to get one hundred ""Marute"" on her tests in school.)",Chinese (Mandarin)
I acquire drawing with a new CG software now.,I acquire drawing with a new CG software now.I have acquired some new CG drawing software for my PC,Chinese (Mandarin)
especially I love a hotdog by costco!,I especially love hot dogs made at Costco!,Chinese (Mandarin)
"In the world,All of products made in china only,but its also use English introduced.","In the world,_all of the products are made in China ,_but it's manufacturing process is introduced in English.",Chinese (Mandarin)
"I remember I have studied this words in school,but I forgot its.","I remembered studying these words in school but I forgot them. (*""Its"" means ""of it""... Kind of like ""Mary's"", etc)",Chinese (Mandarin)
I have recieved a lagguage from Japan today,"I have received a package from Japan today. If she actually sent a suitcase to you then maybe you would say ""I received a suitcase in the post from Japan today"".",Chinese (Mandarin)
This account is for using only English.,"This account is only for using English. (Or ""On this account I'll only use English."")",Chinese (Mandarin)
"However, my wife and daughters belong to chorus clubs, and I have been obliged to spend my free time for them.","However, my wife and daughters belong to chorus clubs, and I have been obliged to spend my free time them. [If you mean ""driving them to and from chorus concerts and practices"" say it that way -- instead of just ""for."" OR, you could mean, "" ... and I spend my free time them"". i.e., not only transporting them but staying and listening (and sleeping!) during the rehearsals and concerts.] ;-)",Chinese (Mandarin)
"I know the people in the Philippines speak English, but I'm wondering if there are any differences among Filipino English and English in other countries.",I am sure there is a lot of difference. I watched a British show and even though I could understand it they had a lot of slang words I didn't know.,Chinese (Mandarin)
"When I studyed English grammar, I use to learn something in diary.","When I study English grammar, I will use them in my diary so I can learn them.",Chinese (Mandarin)
"Friday was his class,and I was happy on the way to school , I imagined that how I happy(i want ues the similar word as happy ) to see him again, when I arrived in class, I said HI to him,but he just replied me Hello as he treated strangers .",", and I was happy on the way to school, I imagined that how I to see him again, when I arrived in class, I said H"" to him, but he just replied Hello as he stranger.",Chinese (Mandarin)
"The countries of participate are North and South Korea, Japan, Australia(Joined in Asian Football Confederation) This season near east and central asian teams were fall into slump.","The countries that participate are North and South Korea, Japan, and Australia. (They joined the Asian Football Confederation) This season, eastern and central Asian teams fell into a slump.",Chinese (Mandarin)
My occupation Graphic designer was choose by my self like to do.,"My occupation is a graphic designer, which I choose for myself",Chinese (Mandarin)
