text,correct,predicted_native_language
"Though Tainan is a place full of delicious food and nightmarket, too much choice makes me persecuted.","Though Tainan is a place full of delicious food and night market, there are too much choices which confuses me. (Persecute is a wrong choice of word)",Chinese (Mandarin)
"I am twenty five years old and I am electronic engineer, I am writing because I need improve my English and I think that this web can be useful for me because let me practice my written English and correct some mistakes and also get some expressions.","I am twenty five years old and I am an Electronics Engineer. I am writing because I need to improve my English and I think that this website can be useful for me. It lets me practice my written English, correct some mistakes, and also get some expressions.",Chinese (Mandarin)
There remains lots of beautiful nature.,"There remains lots of beautiful nature. (If you're talking about the Cotswolds, ""There was lots of beautiful nature."" If you're talking about Hokkaido, ""There is lots of beautiful nature."")",Chinese (Mandarin)
TOEIC test was over at 30 Jan.,"TOEIC test was over at 30 Jan. (I think it's better rephrase as: On January 30, I took the TOEIC test.)",Chinese (Mandarin)
"Thirdly, a few taxi drivers may cheat.","Thirdly (/Lastly/And lastly), a few taxi drivers might cheat you (Or ""rip you off""). (Using ""Thirdly"" is not incorrect, but when talking about the final thing of a list we usually use ""Lastly"" or ""And lastly"")",Chinese (Mandarin)
The priest of my acquaintance's Buddhism passes the present to the child at Christmas.,"For example, the buddhist priest of my acquaintance still gave a present to child on Christmas./still give presents to children (Usually in this case, if you are referring the the child of your acquaintance, you would address the child as ""his"" or ""her"" child.) Or you might have to rephrase the sentence if you intend to keep your acquaintance's gender anonymous. ^w^",Chinese (Mandarin)
"I am living in NY, so I noticed it when seeing the Japanese calendar.","I am living in NY. I noticed it when I saw a Japanese calendar. (Note: A better use of ""so"" might be, ""I am living in New York, so I forgot all about it until I saw a Japanese calendar.)",Chinese (Mandarin)
"Yesterday, I went to some bookstores to buy a book which is ""A Song of Ice and Fire"".","Yesterday I went to some bookstores to buy a book called ""A Song of Ice and Fire"". Could also be Yesterday I went to a bunch of different book stores where I searched for a book called ""A Song of Ice and Fire"". Either one is fine to use.",Chinese (Mandarin)
I didn't think I need to speak English in my life but I realized that English is the common language in the world and I have to use English in some situations.,I didn't think I needed English. But later I realized that English is so common in the world and I may need to use it sometimes.,Chinese (Mandarin)
My mom and dad take turn to drive.,"My mom and dad take turns to drive. // dependant on which English speaking country you're visiting, then it can be ""mum"" in England we use ""mum"" but i know in America they use ""mom""",Chinese (Mandarin)
They fear that they will not be able to get good jobs if they go foreign countries to study because a new term starts in April in Japan.,"They fear that they will not be able to get good jobs if they go foreign countries to study because, in Japan, a the new term starts in April. (Your word order was right, but writing it this way makes it less cluttered.)",Chinese (Mandarin)
The old woman who lives in our neighborhood let me know about that.,"An old woman who lives in our neighborhood told me about that. [You would say ""the old woman"" only if there is only one old woman who lives in your neighborhood. If there are two or more old women living in your neighborhood, then you are not specifying which one you are talking about, so you use the indefinite article ""a(n)"" instead of the definite article ""the.""",Chinese (Mandarin)
"In japan, we can get a cheap humberger.","In japan, we can get a cheap humberger.[use a comma......and remember Japan has a capital J because it is a proper noun.....In Japan, we can get a cheap hanberger, but it was not cheap when I went to Canada......remeber you shouldn'y start a sentence with but some English speakers do but it is not very proper language.]",Chinese (Mandarin)
Agriculture of many countrys,"(Not sure what this means either; do you mean ""many countries in South-East Asia""?)",Chinese (Mandarin)
I am currently a senior student at Soochow University and major in German.,"I am currently a senior student at Soochow University; majoring in German. (If anyone from the US wishes to correct my correction, feel free as I am from the UK and going on what US TV taught me to say here lol.)",Chinese (Mandarin)
"Especially, EV has a big business chance is not selling the EV, but selling the CAR OS made of Android on the EV.","Especially that there is a big business opportunity, not selling the EV itself but selling the CAR OS which is based on Android.",Chinese (Mandarin)
"One day I was in a cold sweat about my exams, the other day I was just looking out of the window like a clean drug addict what to do with these oceans of free time.","One day I was in a cold sweat about my exams, and the other day I was just looking out of the window like a clean drug addict wondering what to do with these oceans of free time. (commas are used to sepearte phrases, you you need a connective after and ;] )",Chinese (Mandarin)
I write the blog what I translate English musics into Japanese for learning English.,I write blog I translate English music into Japanese for learning English.I write a blog where I translate English music into Japanese to learn English.,Chinese (Mandarin)
"Signal changed red,but she did not stop this talking.",She did not stop talking even when the signal had changed to red.,Chinese (Mandarin)
English's Word Of Wisdom,"English Words Of Wisdom I think. ""English"" is the name of an ethnic group, as well as a language. Usually, saying ""English's"" would mean you are talking of the ethnic group. Since Einstein was not English, I'm guessing you mean the language.",Chinese (Mandarin)
The Kung Fu master sat by me who was writing journal and thinking about next days plan.,"The Kung Fu master sat by me as I was was writing in my journal and thinking about the next day's plan. I'm not sure if you mean that the Kung Fu master was writing in his journal or if you were. If you mean the Kung Fu master, you could say, ""The Kung Fu master sat by me as he wrote in his journal and thought about the next day's plan""",Chinese (Mandarin)
It is a fried noodle in English.,"I had yakisoba (, a Japanese fried noodle dish).(Here is a really interesting difference between Japanese and English. In English there are usually no narrative question clauses ""Do you know ~?"" in written text. Usually it is only found in actual narratives, like talking to someone, or narrating a movie. Also, in English, we are usually less helpful to the listener, making them do the extra work. We will usually try just ""I had yakisoba"", then wait to see if the other person already knows what it is. If we are writing, we might explain after a comma because there's no chance for the reader to ask us for details.",Chinese (Mandarin)
"When I joined to this site, I write that I will write a contents at my blog in Japanese and write the same contents in English at the Lang-8.","When I joined this site, Iwrote that I would write a contentson my blog in Japanese and write the same contents in English on the Lang-8.*the words wrote and would are past tense.",Chinese (Mandarin)
"because i'm returning at this semester after rescription, I need friend to talk about or hang out","because i'm returning at this semester after rescription, I need friend to talk about or hang out(As I'm returning from conscription(? army?) this semester, I need friends to talk and hang out with.)",Chinese (Mandarin)
"After the shopping, my daughter came back from kindergarten, and that, we went to a Asamizo park in Sagamihara.","After shopping, my daughter came back from kindergarten, and we went to Asamizo park in Sagamihara. (Asamizo park is a pronoun. You don't need to have an article infront of pronouns unless there is more than one Asamizo park. For example you can say ""We went to an Orange Harvest supermarket"". Even though Orange Harvest is a pronoun, there is more than one Orange Harvest supermarket. I hope you understand my explanation)",Chinese (Mandarin)
Because he find quarrel in a straw.,"Because he starts quarrels over the slightest thing. [Alternatives: Because he starts quarrels over nothing. Because he starts quarrels at the drop of a hat. Note: It's OK in spoken English, but in written English, you should avoid starting a sentence with ""because."" You can combine the two sentences as follows: ""I really, really hate my brother, because he starts quarrels over the slightest thing.""]",Chinese (Mandarin)
"I'm a girl,come form China,My age is 22 and my job is teacher,When i was a little girl i always wish a handsome boy will be love with me,But i don't think i'm a beautiful girl,So i have no pride to thought the story of Cinderella will happened in my life.","I'm a girl,come form China,I am 22 years old and I work as a teacher,When i was a little girl i always wished to find a handsome boy that will love me. Howevere, i don't think i'm a beautiful girl, so I do not expect a Vinderella sort of life.",Chinese (Mandarin)
"My friend Simon tutor's English in his spare time and tutors a number of Korean people in Brisbane, some of which he has become friends with.","My friend Simon tutors English in his spare time and he tutors a number of Korean people in Brisbane, some of whom he has befriended . (Grammatically, prepositions shouldn't be at the end of a sentence, but colloquially we say it. I know I do. :P)",Chinese (Mandarin)
im missing my Aussie life and it really got me..,"I miss my life in Australia and then I realized... [you could say ""Aussie life"" here, but ""life in Australia"" makes a bit more sense. This one's up to you :)]",Chinese (Mandarin)
The thing I was very surprised when I came to America is that there isn't CD rental shop in America!,The thing that really surprised me when I came to America is that there aren't any CD rental shops! I was very surprised when I came to America because there aren't any CD rental shops here!,Chinese (Mandarin)
"i'm a boy in China,though i have learned english for 10 years ,but my leavl is very low i think and,learning english is difficult to me to some digree.","I'm a boy in China. Even though I have been learning English for 10 years, my level is still very low. Learning English is difficult for me to some degree.",Chinese (Mandarin)
"For example, movies where there are lawyers involved, like: A Few Good Men starring Tom Cruise; or other movies which are about a reporter who is trying to reveal the truth , like: State Of Play by Russell Crowe or maybe some action movies, like: Live Free Or Die Hard by Bruce Willis, and many other movies.","For example, I like movies that involve lawyers like A Few Good Men starring Tom Cruise, movies with reporters uncovering the truth like in State Of Play starring Russell Crowe, actions movies like Live Free Or Die Hard with Bruce Willis, and many others.",Chinese (Mandarin)
"I call him professor Okay, because he seems not capable of completing one sentence without using the word okay 2 or 3 times.","I call him Professor Okay, because he seems incapable of completing a sentence without saying the word ""okay"" at least two or three times. For proper names like Doctor Jones or Professor Smith or whatever, you capitalize their full assumed title. Usually they have earned the title... like with a PhD or by working at a university, but it also works in jokes, as well, by analogy. Especially if he prefers his real title like Professor Smith or whatever his real name is. Just because it is like a nickname... and nicknames would be capitalized, because it is technically something you might address them as (even if not to their face).",Chinese (Mandarin)
And I could see the scenery in cambodia.,And I could see the scenery in Cambodia. [More natural: And I had a chance to see what the scenery in Cambodia is like.],Chinese (Mandarin)
It look likes about one month after.,"It look likes about one month after. (I can't make this sound right in English, hopefully the following make sense to you.) The temperatures were typical of May, not April! /The temperatures felt like it was May already.",Chinese (Mandarin)
Haneta still need more capital investment and other sofe improment to catch up.,"Haneta still needs more capital investment and other improvements to catch up. [Did you mean improvements in safety? ""Sofe"" is not a word in English; perhaps you meant ""safe.""]",Chinese (Mandarin)
Before he goes out or to bed he has to dismantle all the leads and move the computer into the kitchen and close the door so he can't get to it.,"Before he goes out or to bed he has to dismantle all the leads and move the computer into the kitchen and close the door so he can't get to it.. -- In this sentence you use ""he"" twice buteach time refers to a different subject. ""Before he goes out"" refers to Merv, while ""Sohe can't get to it"" refers to Bill. It's not wrong but it may be confusing tosome readers.",Chinese (Mandarin)
How could Chin immergy other 6 countries and unite the whole China?,"How could Chin imerge with 6 other countries and unite all of China? (By ""immergy"", I guessed that you mean ""imerge with"", but I'm not sure)",Chinese (Mandarin)
"Because I learnd that 'a couple of' is several things in Korea, but my homestay mom told me that it was not correct when I was in NZ.","Because I learned in Korea that 'a couple of' means several things, but my homestay mom in NZ told me that it was not correct. [The phrases ""in Korea"" and ""in NZ"" are confusing where you had them-- it sounded like you were saying that the phrase 'a couple of' has different meanings depending on where you are.]",Chinese (Mandarin)
"Today, I went to electric appliance shop and memory chenged 512MB to 2GB power up.","Today, I went to electric appliance shop and got my computer's (this makes the sentence more clear) memory changed from 512MB to a 2GB power up.",Chinese (Mandarin)
"WOW Good luck my friend,live near my house he just chuck out.",Thankfully I had a friend who lived near my house who was just on his way to school.,Chinese (Mandarin)
"I went the Lodge with my family today, Then We were playing Athletic and playing tennis.","I went to a lodge with my family today. While we were there, we played athletic games and tennis. (The is only used in specific cases. So for example, you can say ""I like Matsuya Lodge in Nagano. I went to the lodge with my family today"". In this case I can use the because we know the specific lodge I am talking about, Matsuya Lodge. However, in your case, you have not mentioned the specific name of the lodge you went to. Therefore you have to use the general article a instead)",Chinese (Mandarin)
'pull the knob' means 'push(or turn) the on button'?,'pull the knob' means 'push(or turn) the on button'?he is referring to old TV before they had remotes were you could turn them on just with the pull/push of a button(which you can still do so this does not make much sense),Chinese (Mandarin)
"Evening , go to Maesai for shopping (friends request)","In the evening, my friends have asked me to go to shopping in Maesai. I used friends (plural) because you say ""they"" later.",Chinese (Mandarin)
"The company sent many gifts for staffs, in order to make everyone better spend the","that my company had given out many gifts to the staffs , so that we can have an enjoyable Mid-Autumn festival. (What kind of gifts did they give?)",Chinese (Mandarin)
I read the book in Japanese.,"I read this book in Japanese. ---> ""I read a book in Japanese"" means that you are not specifying the book you read. ""I read the book in Japanese"" means that you are specifying the fact that it is a ""book in Japanese."" In this case, the context would be, ""-Did you see the movie, 'In The Country of Last Things'? -No, but I read the book in Japanese."" Lastly, ""I read this book in Japanese"" shows that you have or are going to point out *which* book you have read. The a/the/this/that grammar in English is very difficult for foreign speakers. Let me know if you have any questions.",Chinese (Mandarin)
Many people say that a best age we can play basketball is schooltime in Japan.,Many people say that a best age one can play basketball in Japan is schooltime OrIn Japan they say the best time for playing basketball is schooltime,Chinese (Mandarin)
My city was covered with snow at the last day in 2010.,"My city was covered with snow on the last day in 2010.(This sentence is good, but I think this sounds a bit more natural, 'My city was covered with snow on New Year's Eve')",Chinese (Mandarin)
I just have a chance to write a new journal today as my mid-term exams are just over.,"I just now have had the chance to write a new journal entry today, as my mid-term exams are just over. (""Entry"" is need to specify this specific post. ""Journal"" refers to ALL of your posts.)",Chinese (Mandarin)
I thought I could do the same thing also in English.,I thought I could also do the same thing in English. / I thought I could do the same thing too in English.,Chinese (Mandarin)
"Anyway, I should do what I need to do everyday, working ,studying, laughing, I think the last one is most important, especially when I image what look like when RAVI acted harpy.","Anyway, I should do what I need to do everyday, working ,studying, laughing, I think the last one is most important, especially when I imagine what it looks like when RAVI acts like a harpy. Anyways, I should do what I know I'm supposed to do everyday, work, study and laugh. Laughter is the most important, especially when I imagine what it looked like when Ravi was playing a harpy. (hahaha very funny!)",Chinese (Mandarin)
"(RAVI, you should tell me, but no present, hahahaha)","hahahahaha...Mine is posted on my profile page, look it up!!! LOL, Just kidding. It's September 16th.",Chinese (Mandarin)
In the movie Alice is 19 years old.,"In the movie ""Alice in Wonderland"", she is a 19-year-old who feels constrained by her life but cannot escape from it.",Chinese (Mandarin)
Ich saw such a word on internet today.,"Ich saw such a word on internet today. I saw the following phrase on the Internet today: (I think you mean ""I"" instead of ""Ich""... it's a bit of a mix between English and German... how much beer did you drink before you wrote this entry??!",Chinese (Mandarin)
I want to drink more beer during my left few stay in Germany.,I want to drink more beer during my left few stay in Germany. I want to drink more beer during the short time I have left in Germany.,Chinese (Mandarin)
Look up unknown words immediately on both an EE dictionary and a EJ dictionary.,"Look up unknown words immediately in both an EE dictionary and a EJ dictionary. [I've noticed that when Japanese people speak English, they use a lot of abbreviations that we don't use in the UK, US etc, like 'CM' (in the US you'd say commercial) and 'SNS' (we'd say social networking site). People on here will understand these ones as it's a language-learning community, with a lot of Japanese people, but we would usually say 'English-Japanese dictionary'. It's just something to bear in mind if you're talking to a native speaker and they look puzzled for some reason :P]",Chinese (Mandarin)
"So it seems to me that in order to achieve the capacity to speak English so well that you can fully express yourself in English without feeling frustrated by your inability to speak clearly, without a compromise, it is important to find a person who is of a similar nature to yours and whose language you want to imitate.","""So it seems to me that in order to achieve the ability to speak English so well that you can fully express yourself without feeling frustrated by your inability to speak clearly, it is important to find a person who is of a similar nature to yours and whose language you want to imitate."" Here I changed ""capacity"" to ""ability"" because it is more natural in this context (we say ""ability to speak English"" more than ""capacity to speak English""). ""in English"" here is a bit redundant, so I removed it. Also, because your sentence is so long, I removed ""without a compromise"". Remember that if your sentences have too many commas and side-comments, they quickly become confusing.",Chinese (Mandarin)
because I am learning English by myself.,"because I am learning English by myself. I need help from native English speaking friends, because I'm trying to learn English by myself.",Chinese (Mandarin)
"And I found the display of ""GT5"" in the station.","And I found the display of ""GT5"" in the station. You may want to connect the previous line with one ""Today, I went to Shinigawa station, a big station in Tokyo, and I found(/saw) the GT5 display there.""",Chinese (Mandarin)
"I have just started ""StarCraft II"" yesterday.","I have just started ""StarCraft II"" yesterday.****Please note the construction, ""have started"" is present continuous (it starts now, in the present, and goes forward in time, continuously) therefore you can't say ""have ... started.... yesterday"". If you want to say something began in the past you use the simple past tense. So that is, ""I started ""StarCraft II"" yesterday"", or I just started ""StarCraft II"" yesterday.",Chinese (Mandarin)
I'm going to practice using following words.,"I'm going to practise using following words. Are you using British English or American English? I am from Singapore so i am using British English. In many English speaking world (UK , Australia , Canada), ""practice"" is noun and ""practise"" is verb. However, this is something neglected in American English where they only use ""practice"" for all purposes. So this is not exactly an error but something extra i want to share with you.",Chinese (Mandarin)
"I sometimes take it too seriously,so I can't make a decision.","I sometimes take it too seriously,_so I can't make a decision. <== or ""I sometimes think about things too much, so I can't make a decision""",Chinese (Mandarin)
South Korea came in the spring.,"South Korea came in the spring. (?) unclear, what is the subject? Spring came in South Korea, or I came, or I will come...?",Chinese (Mandarin)
"So Martin felt angry, he resisted to white American people when he has grown up.","Since he felt pain during his upbringing, Martin resisted the segregation caused by White Americans once he had grown up.",Chinese (Mandarin)
I like outdoors activities because it is very fun.,"I like outdoors activities becausethey arevery fun.to use ""it is"" means that you are talking about one activity",Chinese (Mandarin)
What image do you have of NYC?,Are you asking about what comes to mind when we think of New York City? Or actual pictures?,Chinese (Mandarin)
"On the way to boarding gate, I bought a Clinique's eyeliner at the duty-free shop and a PET bottle of jasmine tea.","On the way to the boarding gate, I bought some Clinique's eyeliner at the duty-free shop and a bottle of jasmine tea. (Even though it was one vial of Clinique's, we refer to it as ""some."" ""I bought a vial of Clinique's eyeliner."" ""I bought one gallon of milk."" ""I bought some milk."" And, we don't ever say PET, we just say, ""I bought a bottle of jasmine tea."" If you say ""PET"" to an American, we would be very, very confused.)",Chinese (Mandarin)
"But he can't lead a full life without Japanese parsons's help, so I want to help his life for his enjoy.",But he must have the help og a Japanese in his daily life here. I want to let him have an enjoyable stay in Japan.,Chinese (Mandarin)
"Although he is a my part time job's boss,Skills which he developed is useful for my next job not part time.","Although he is my part-time job's boss, skills which he helped me develop are useful for my next non-part-time job.",Chinese (Mandarin)
"If I get a camera, I shoot my dog, nature of Japan, and go abroad to shoot many beautiful scenes.","If I get a camera, I will take pictures of my dog, nature of Japan, and go abroad to shoot many beautiful scenes. [""shoot my dog"" just sounded a little violent to me xD]",Chinese (Mandarin)
I'm into watching a video drama in America.,"I'm into watching video dramas in America. This sentence sounds like you like to watch while you are in America. If you are not in America, then maybe you mean ""frm America"" or ""I like watching American video dramas.",Chinese (Mandarin)
"Now, Ayumi Tanimoto won a gold medal in Judo at the Beijing Olympic!!","Ayumi Tanimoto just won a gold medal in Judo at the Beijing Olympics!! When we want to express excitement or strong feelings about something that has very recently happened we place ""just"" before the verb. ""Now"" is usually used when you are comparing the present with the past or future. For example: ""I used to be a weakling. I am a judo master!"" In English we say ""Olympics"" and use verbs for plural nouns with the word even though we consider them one event. For example: ""The Beijing Olympics are the most important event in modern China.""",Chinese (Mandarin)
Are you excited in Olympic?,"Are you excited about the Olympics? Olympics is always preceded by 'the' in English. I guess it's to emphasize their uniqueness. Prepositions are hard to master because they have many different meanings depending on the context. In English we'd say ""about the Olympics"" or ""for the Olympics"".",Chinese (Mandarin)
"Accordin to my friend who is from Okinawa, there is a huge gap betweem Okinawa's people and Hokkaido's people when they feel cold.","According to my friend (who is) from Okinawa, . (Or ""people in Okinawa feel cold much sooner than people in Hokkaido"". I think that your sentence as it was is pretty much the same as the sentence before, so maybe you could be more specific by writing it this way?)",Chinese (Mandarin)
"Tuesday and Wednesday were part time job, besides I had a exam on Thursday so I have to study about inorganic chemistry.","Tuesday and Wednesday I worked at my part time job. Plus, I had an exam on Thursday, so I had to study inorganic chemistry. Always use ""an"" before words that begin with vowels (A, E, I, O, U). Also, if you use ""had an exam"" you must also use past tense for ""had to study."" When you use ""study"" + subject, you don't need the word ""about.""",Chinese (Mandarin)
"Because, if this is too famous, those who use in a strange way would increase.","Becauseif this gets too popular , those who use in a strange way would increase. (or you can say people will start using it in a strange way)",Chinese (Mandarin)
I wanna have a new PC.,"I wanna get a new PC. (if you mean windows then OK! If you mean a computer in general, like Mac/windows/linux/whatever then --> I wanna get a new computer.)",Chinese (Mandarin)
