text,correct,predicted_native_language
About 6 dollars U.,"Since people in the US think in USD, i'll put it in terms you understand. This fruit is now worth more than your house.",Chinese (Mandarin)
"If I buy it in a foreign country, It may be cheaper than Japan.","If I bought a Star fruit overseas, would probably be a bit cheaper.",Chinese (Mandarin)
Do you know that?,"Do you know that? ""Have you heard about it?""is a better phrase.",Chinese (Mandarin)
Today I learned writing documents in business.,"Today I learned documents in business.(If you mean you learned to write them in a Business class, capitalize Business. If you mean documents for business, change it to ""business documents."")",Chinese (Mandarin)
So I must study Japanese too...,See above line.,Chinese (Mandarin)
We don't have to solving difficult problems like daily task at the company.,We don't have to worry about solving difficult problems like we do at work.,Chinese (Mandarin)
He sometimes plays truant from his work!,"He sometimes plays truant from (his) work! ""Play truant"" tends to be used more in the context of a student skipping school. I suggest ""He sometimes skips out on his work.""",Chinese (Mandarin)
"Before the test, I have to ready many materials for student.","Before the test, I have to make ready many materials for the students. You can also use: I have to prepare many materials for the students. Also, ""I have to ready something"", is usually used in the context of preparing a machine or contraption. Eg. I have to ready the car for the trip tomorrow.",Chinese (Mandarin)
My collegue says that the situation in the movies happens really.,"My collegue says that the situations in the movies might really happen. (you can also say ""My colleague says that whatyou see in the movies might really happen"")",Chinese (Mandarin)
"Now, I've made many friends.","Now, I have many friends and I exchange a lot of emails with them.",Chinese (Mandarin)
Than you may beat the Mark Zuckerberg who created Facebook in his dorm room in his 23 years old and now is the youngest billionaire in the world.,"Then you may beat Mark Zuckerberg, who created Facebook in his dorm room while only 23 years old, and is now the youngest billionaire in the world.",Chinese (Mandarin)
There are many actors who acted the James Bond.,many actors James Bond.Many actors have acted as James Bond.,Chinese (Mandarin)
"In contrast with first half, Korean possessed the ball most of all time at latter half and there were the conclusive situations to goal but Japanese defender kept no goal at the end.","In contrast with the first half, the Korean players had the ball most of time during the latter half and at times they got close to making goals, but the Japanese goalee prevented them from doing so at the end.",Chinese (Mandarin)
"In Japan, there are tons of news mentioned recent difficulties for university students to hunt job.","In Japan, there tons of news recent difficulties for university students hunting for jobs. [""News"" is uncountable, so uses the singular verb, like: ""there is tons of sugar in the cupboard"".]",Chinese (Mandarin)
And there are a lot of controversies about what is the main problem.,"And there is a lot of controversy about what is the main problem. [The controversy is about the one subject matter. We would tend to use ""controversies"" (plural) if there were many controversies about many different matters.]",Chinese (Mandarin)
"Writing ""u"" instead of ""you"" ,""cuz"" instead of ""because"",yr instead of ""your"" is bad habit catched from american people,cant help it.","Writing ""u"" instead of ""you"" , ""cuz"" instead of ""because"" and ""yr"" instead of ""your"" is a bad habit which I caught from the Americans. I can't help it.",Chinese (Mandarin)
I make many new friends now at the new school.,I made many new friends so far at my new school.,Chinese (Mandarin)
I found to have written wrong years on very important document.,"I was_found to have written wrong years on very important documents.The sentence could also be ""I found that I had written the wrong years on very important documents."" but for now I'll make the least amount of changes. '_' mean spaces, the site has trouble putting spaces between corrections and words.",Chinese (Mandarin)
But as from intermadiate class study free-talking so even if it will beyond me I want to try it.,"But as for intermediate class study free-talking so even if it will be beyond me, I want to try it.",Chinese (Mandarin)
Arrived at home I (kept my bed?,I arrived at home and I stayed in bed.,Chinese (Mandarin)
I watched one movie to familiar with British English accent.,I watched one movie to familiarize myself (or familiarise if you're learning European English) with the British English accent.,Chinese (Mandarin)
"There were many people who flattered Japan and when Japanese chased the patriots, some traitors helped Japanese.",Not quite 100% sure what you mean in this one.,Chinese (Mandarin)
"They resisted not just the forces also writting like poems, novels..(especially I like resistive poem)","They resisted not only by force, but also by writing poems, novels, etc. (I especially like the ?resistive? poem)",Chinese (Mandarin)
"There were lots of green, pink and purple colours in the mountains.","There were lots of green, pink and purple colours in the mountains.note: In American English spelling there is no ""u"" in color. However there is in British. Just wanted you to know. The same goes for a few other like-spelled words.",Chinese (Mandarin)
"Next week after this long holiday, they are going to Tohoku, the affected area by the earthquake and tsunami, by that camping car to help them clean the damaged things.","Next week, after the long holiday, they are going to Tohoku, the affected area by the earthquake and tsunami, by that camping car to help them clean the damaged things.alt: via the camping. with the ""affected area"" part just switch the two words around. On another note, depending on how you feel about comma's you might just want to recreate the sentence.",Chinese (Mandarin)
I have illustrated by in English.,I have illustrated by in English. I explained the tea ceremony (to them) in English,Chinese (Mandarin)
"I have a new profile picture on my web page in here Lang-8,thats also my profile picture on facebook,my friends was shocked by that picture,because was looks mature in that picture,some were comment ""are you report anchor"".""No"" thats my formal picture.","I have a new profile picture on my web pagehere atLang-8,thats also my profile picture on facebook,my friends was shocked by that picture,because I look mature,in some of the comment said""are you report anchor"".""No"" thats my formal picture.",Chinese (Mandarin)
"I have a question, About A word ""Rubbish"" When Jeremy Clarkson is blaming his disliked car.","I have a question, about the word ""Rubbish"", which is used by Jeremy Clarkson (when he is talking about a car he dislikes)",Chinese (Mandarin)
"By the way, we have holidays called ""Golden Week"" from yesterday April 29th, that is ""Midori no hi"", to May 5th, ""Kodomo no hi"", in Japan.","By the way, we have a holiday called ""Golden Week"" which began yesterday, April 29th, or what is called in Japanese, ""Midori no hi"", to May 5th, ""Kodomo no hi"", in Japan.",Chinese (Mandarin)
"Thanks to study here in lang-8, I could managed to have discussion in English.","Thanks to my studying here on Lang-8, I managed to have discussions in English. Or: Thanks to my studying here on Lang-8, I could manage the discussions in English.",Chinese (Mandarin)
Best wishes for him ...,"Usually, one would use ""Best wishes to him"". For example, on Christmas cards, you can sometimes see the sentence ""Best wishes to you and your family."".",Chinese (Mandarin)
To go for a jog for refreshing myself.,#NAME?,Chinese (Mandarin)
I write my journals almost everyday.,"I write my journals almost everyday, and my posts are always corrected and commented on.",Chinese (Mandarin)
"To tell the truth, I didn't have the non overwork days of my own since April.","To tell the truth, I haven't had a non-overwork day on my own since April.",Chinese (Mandarin)
My family used to displayed simply two Hina dolles which are the Odairi-sama and the Ohinasama for my daughter.,My family used to displaysimply two Hina dolls which are the Odairi-sama and the Ohina-sama for my daughter.,Chinese (Mandarin)
I received a divers' watch won at eBay auction last evening.,Last night I received the divers' watch that I bought on eBay.,Chinese (Mandarin)
It seemed that I was bite by mosquitoes here and there on the body.,It seems that I was bite by mosquitoes on different places on my body.,Chinese (Mandarin)
"We appreciate very much that you send Japan your support, charity, and pray.","We very much appreciate the support, charity and prayers you all have sent, and continue to send to Japan.",Chinese (Mandarin)
"Fuji which is now capped with snow, and the other mountains colored various colors of fall leaves.","Fuji which is now capped with snow, and the other mountains coloured various colours of the fall leaves. In Canada, England, Australia (and other Commonwealth countries), ""colours"" is spelt with a ""u"". However, the way you have it is also correct (American English).",Chinese (Mandarin)
They are lead to invade the turf of some other sweetfish of target and the invaded one attack the decoy to be hooked.,"I had a bit of trouble understanding your sentence, so I tried correcting according to what I understood: The decoy fish are put into the territory of the targeted sweetfish, so that the targeted sweetfish will attack the decoy and be hooked.",Chinese (Mandarin)
I will have short sleep and drive there by 3 am.,"I will have a short sleep and then drive there at 3 am. Usually, when you use ""by"" for a time expression, it means that we have to be somewhere by a certain time. Eg. ""I have to be at the marathon starting site by 3 am.""",Chinese (Mandarin)
One on my behind makes loud noise of his broken computer fan that is rotating at the maximum speed all the time.,"The one behind me has a broken computer fan rotating at maximum speed that constantly makes a loud noise. (""One on my behind"" evokes the image of someone sitting on the backside of your body.)",Chinese (Mandarin)
He said he was glad to be called.,He said he was glad to have received a phone call from me..,Chinese (Mandarin)
I will tell you about a small happening around me.,I will tell you about a smallthing that happened to me (?).,Chinese (Mandarin)
"When one of the member and I talked about our home town, something surprising was made clear.","When one of the members and I talked about our home town, I found out something surprising.",Chinese (Mandarin)
At this week I have been tapering down my training for recovering and conditioning of my whole body.,"All week, I have been gradually decreasingmy training intensity in order to condition my whole body and let it recover.",Chinese (Mandarin)
It is another difficulty for us to go to Singapore.,"It is another difficulty for us to go to Singapore. (Technically correct, but sounds a bit awkward. You could try ""it adds to the difficulty of getting there"" or ""Adding to our problems, a volcano...""",Chinese (Mandarin)
"If added some paid holiday, we have long holidays from today to next next Monday.","If we also takesome paid holidays, we can have a long holiday from today to Monday.",Chinese (Mandarin)
I do think it's getting difficult for me because of lack of news or essays...,I hink it's getting difficult for me because of a lack of news or essays to write about.,Chinese (Mandarin)
We need to make our cars to be taken a car safety inspection every two years in Japan.,We need to have our cars inspected every two years in Japan.>> the pattern is 'have XX done by YY' e.g. have my hair cut by the barber etc.,Chinese (Mandarin)
Fall is coming soon even if it is still very hot.,Fall is coming soon even if it is still very hot. (In British English you can use the word Autumn instead of fall),Chinese (Mandarin)
I asked his favor to lend it to me.,"I accepted his offer, and I was able to walk home with an umbrella.",Chinese (Mandarin)
I already feel something wrong with nose.,My nose already notices the season change.,Chinese (Mandarin)
"However, while the warmer the weather gets, the less the electricity consumption.","However, with the warmer weather, there is less electricity being consumed.",Chinese (Mandarin)
I was about to sleep while running.,"I was about to fall sleep while running. [or ""fall asleep on my feet""]",Chinese (Mandarin)
"It will be held in April 25th, 2010.","It will be held on April 25th, 2010. (If you are just saying the month you can say ""in April"" or ""in July."" If you are saying the month and the say you will want to say ""on April 25th,"" or ""on July 3rd."")",Chinese (Mandarin)
Sounds of fall as well as smells of fall are increasing around us.,The sounds and smells/scents of Fall are increasing (all) around us.,Chinese (Mandarin)
Make your best efforts and 100% concentration even at a training.,"Try your best and give 100% concentration to your efforts, even while training. -- or ""Try your best, and concentrate fully, even while training.""",Chinese (Mandarin)
That's because I don't want to go the restaurant with my usual running gears on.,"That's because I didn'twant to go the restaurant with my usual running gear on. (even though you may have more than one item on, gear means the whole running outfit)",Chinese (Mandarin)
"But I also felt free from the time, then.",But then I also felt being set free from caring about my running time.,Chinese (Mandarin)
I can write with them more smoothly than with ballpoint pens with the viscous oil-based ink.,I can write with them more smoothly than I can with ballpoint pens because of the viscous oil-based ink.comparisons are tricky. You have to compare nouns with nouns and verbs with verbs.,Chinese (Mandarin)
"I declined it, and I was absent my job like boss A, too.","I declined, and went on strike too.",Chinese (Mandarin)
"Because boss B closed our company if even you who were calm were angry at me, boss B said that I forgave your the opinion.",Boss B closed the company and said said he forgave my opinion. (???),Chinese (Mandarin)
But I thought Japan won the game in lucky.,But I thought Japan won the game out of luck. (or you could say:) But I thought Japan just got lucky.,Chinese (Mandarin)
"I worried about Ichiro,the Major Learge Baseball player,is very bad conditions.","I worried about Ichiro, the Major Leauge Baseball player--he is in very bad conditions. (do you mean his health or his baseball skills?)",Chinese (Mandarin)
"Do you know the good books to study English,and interesting.","Do you know any book good for English study - and interesting? ----I would like to say ""Do you have any suggestion on books for English study? """,Chinese (Mandarin)
"As for me,E-mail's bad points is more than it's good points.","As for me, there are more bad points than good points of using e-mail. -> OR ' As for me, the bad points of using e-mail outweigh the good points.'",Chinese (Mandarin)
"Today my English teacher said ""I'll quastion you a lot of Accents."".","Today my English teacher said, ""I'll test you on a lot of accents."" or ""I'll ask you questions in many accents.""",Chinese (Mandarin)
today I go visit her sister sujin.,. [ combined with next sentence ],Chinese (Mandarin)
"Meanwhile, Icould go home and play basketball.","Meanwhile, I could have gone home and played basketball.",Chinese (Mandarin)
Now i felt so full and I am very sleepy now.,"Now I feel so full and I am very sleepy now. (""Felt"" is only used for past tense. For the actions in present, you should use ""feel"")",Chinese (Mandarin)
"My occupation as private teacher started on December last year and I got the information about the vacancy from my friend, who also a private teacher too.","I started doing my part time job as a private teacher December last year and I got the information about the vacancy from my friend, who also a private teacher .",Chinese (Mandarin)
I'm a lovee ^^,I'm in love! ^^ (Or maybe you were going for...) I feel so lovey-dovey! ^^,Chinese (Mandarin)
Salinger in english (I had read it in russian before and loved it very much).,Salinger in English (I had read it in Russian before ( don't forget those capital letters for nationalities ;) ) and loved it very much).,Chinese (Mandarin)
"Before I started Lang-8 community,","Before I joined the Lang-8 community, I was just interested in English and Japanese. (or Before I started using Lang-8, ~)",Chinese (Mandarin)
Now I'm listening Utada's song.,"Now I'm listening Utada's song.Alternatively: Now I'm listening song Utada. You could also say ""a Utada song,"" but that would make ""Utada"" a describing word and would only sound natural if the listener knew of Utada.always specify whether a noun is plural or singular where ambiguous, and use ""a"" or ""the"" in the singular case. The way you wrote it suggests not only that your listening to one song, but that Utada has only one song.",Chinese (Mandarin)
"I'm watching the kannagi which is found on the web, and that, it with English-tickers is useful for studying English.","I found it and am watching it on the web, and because it has subtitles in English, I can study.Immediately repeating a word can sound unnatural in English, so I cut out the second ""English,"" since it can be inferred. The next sentence would sound a bit more natural with two ""English""s since they're farther apart.",Chinese (Mandarin)
"Until tomorrow, we must finish ajustment.",We have until tomorrow to finish any adjustments.,Chinese (Mandarin)
Now I am spend one year prepareing for the entrance examinations because I can't suceed examination.,"Now, I am spending one year preparing for entrance examinations, since I didn't pass examination.",Chinese (Mandarin)
The following take care.,take care. I'll take care from now on.,Chinese (Mandarin)
"I started to see it from last Thursday, but I couldn't finish seeing all of them.","I started watching it last Thursday, but couldn't finish seeing all of the episodes until today.",Chinese (Mandarin)
I notice the colored leaves little by little.,"I notice the colored leaves little by little. (I notice the leaves changing color, little by little.)",Chinese (Mandarin)
"hooked on , addicted to , caught up in, Which is more common to use?","""hooked on"" and ""addicted to"" mean pretty much the same thing. Something you really like and crave for, and can't stop doing. (Just about the same meaning as when it is used to talk about drug or alcohol addictions. , caught up in, Which is more common to use?""caught up in"" I see this as more of a temporal phrase. To be delayed, or hindered; ""I got caught up in a heavy storm on the way here."" In comparison with the previous two, it can carry a little bit of both meanings; ""I got so caught up in his web of lies to the point where I would do anything for him"" (a little bit of dramatic sentence ^^;) In this case, the person was ""hooked"" on the lies that where being told, mainly because they didn't know they were being lied to. Also, this sentence the connotation of wasted time and/or effort. She wasted time doing ""anything for him.""sorry, I didn't mean to make the explanation so long and confusing.",Chinese (Mandarin)
they are living big house with fancy interiors.,that Americans lived in big houses with fancy interiors.,Chinese (Mandarin)
In a university in beijing.,I'm a student at a university in Beijing. You also need to CAPITALIZE the first letter of a place name.,Chinese (Mandarin)
"As a first step,I'm going to Art Museum and eat durian.","As a first step, I'm going to the Art Museum as well as Geylang to eat some durian.",Chinese (Mandarin)
"Well, maybe I was too excited on the beach, so I dived to the sky and fell on the sand beach and heaving ocean by a leaning back pose.","Well, maybe I was too excited on the beach, so I dived to the sky and fell on the sand and heaving ocean by a leaning back pose. This sentence is confusing to me. Try rephrasing?",Chinese (Mandarin)
"As above, I already knew AAA is looking for someone for the branch office in the US, so when the purchasing manager answered me that he did not any of them, I asked him that ""is there any chance AAA is seeking someone for that?"", Just as my expectation, he asked his friend about the job for me and the end of the day, the representative of USA branch office e-mailed me.","As I said, I already knew AAA is looking for someone for the US branch, so when the sales manager answered me that he did not ((didn't what?)) any of them, I asked him that ""is there any chance AAA is seeking someone for that?"" Just as I expected, he asked his friend about the job for me and by/at the end of the day, a representative of the US branch e-mailed me.",Chinese (Mandarin)
"In that moment, the owner rase the flag.","At that moment, the owner raises a flag. (the reader doesn't know about the flag yet, so use 'a')",Chinese (Mandarin)
We have many candies on the Monday evening .,"We had a lot of candy on Monday evening . <<I assumed you were talking about the past. If you're talking about the future, the sentence would be, ""We will have a lot of candy on Monday evening."">>",Chinese (Mandarin)
Beatles - I Wanna Be Your Man.,"Beatles - I Wanna Be Your Man.I like that that song by the Beatles...""I Wanna Be Your Man""",Chinese (Mandarin)
I opened an English reference book.,"I opened (this is correct grammar, but I think ""looked through"" sounds more natural in this context ^^) an English reference book.",Chinese (Mandarin)
I had taken an English class among the young student!,I mixed myself with the young students and attended an English class!,Chinese (Mandarin)
I cannot thank you enough for the meeting.,"I cannot thank you enough for the meeting. (This sentence seems out of place, but it's grammatically sound.)",Chinese (Mandarin)
I wish the situation gets better as soon as possible and the people who are evacuated from Fukushima and so on can go home safely in the near future.,I hope the situation gets better as soon as possible and the people who are evacuated from Fukushima and all of other victims can go home safely in the near future.,Chinese (Mandarin)
"My parents asked me to read more books to open my mind,but as most Chinese know,students that just having finished Gaokao is no willing to engaged in any books.","My parents asked me to read more books to open my mind but as most Chinese will know, students that just having finished their entrance exams are in no mood to read books.",Chinese (Mandarin)
"Because I read the novel ""The Unbearable Lightness of Being"" (Milan Kundera) and the novel has become my favorite novel.","... , because I read the novel ""The Unbearable Lightness of Being"" (Milan Kundera) and the novel has become my favorite novel. ( Make one sentence - ... written by Milan Kundera, because I read ... )",Chinese (Mandarin)
The wild boar enters rice field and it eats the rice plant.,The wild boar enters and eats rice on rice fields.,Chinese (Mandarin)
Now the practice of badminton is once a week for two hours.,Now I have badminton practice once a week for two hours.,Chinese (Mandarin)
I can ajast a cold wheater but hot weather because I can put on more clothes.,"I can adjust to cold weather but not to hot weather, because I can put on more clothes.",Chinese (Mandarin)
I write English speedy.,I write English speedy.you write speedy English? what do you mean about this?^^,Chinese (Mandarin)
Umm its a buddhist school by the way....,"It`s a buddhist school by the way....(Umm is never used in formal writing.) neither are ellipses. -> ... are ellipses. so just delete them and replace with a ""."" period.",Chinese (Mandarin)
"I sometimes pass them, for example Takuya Kimura, member of SMAP that most popular singer group in Japan, and Hideki Takahashi who's popular actor of Japanese costume drama, and so on..","I have also passed by Takuya Kimura, who is a member of SMAP, which is the most popular singing group in Japan, Hideki Takahashi, who's a popular Japanese costume drama actor, and so on..",Chinese (Mandarin)
"The 29th Olympic Games were held in Beijing,China.","The 29th Olympic Games were held in Beijing,China. [Maybe add ""because"" in front of this sentence and attached it to the previous...so it would read, ""I still remember this particular day, August 8th, 2008, because the 29th Olympic Games were held in Beijing, China.]",Chinese (Mandarin)
The story of the guy let us sigh with emotion.,His story made us very sad.,Chinese (Mandarin)
It is always sugar when I order shaoxingjiu.,"It is always only sugar when I order shaoxingjiu in Japan. (""When I order shaoxingjiu in Japan, it's only sugar"")",Chinese (Mandarin)
Witch do you do that using umbrella or not ?,In what situation would you use an umbrella or not?,Chinese (Mandarin)
It schedule to start the class at 13 o'clock every Wednesday.,"I am scheduled to start class at 1 o'clock every Wednesday. (More natural: Every Wednesday, I have class at 1:00.)",Chinese (Mandarin)
2008-2009:taught in the Japanese club of our university.,2008-2009:aught in university Japanese club.,Chinese (Mandarin)
"From last night, my mobile phone has been strange.",My mobile phone has been acting strange/playing up since last night.,Chinese (Mandarin)
But now i wacth movie in English with subtitle.,But now i watch movies in English with subtitles. [O: I'm watching a movie in English with subtitles. (1 movie)],Chinese (Mandarin)
She is a Japanese who started studying English in the late of her teens in order to succeed in Hollywood.,"She is a Japanese person who started studying English in the late of her teens in order to succeed in Hollywood. * OR ""she is Japanese started....""",Chinese (Mandarin)
I continuosly think I don't give up about speaking English anymore.,"(I don't understand the meaning of this sentence, so I'll leave it.)",Chinese (Mandarin)
"But,maybe,I will get muscular pain tomorrow.","But maybe my muscles will be sore tomorrow. [in formal English, avoid starting a sentence with ""and"" or ""but"". In casual English, it is ok to do so.]",Chinese (Mandarin)
"I just watched a movie ""requiem for a dream"" tonight which took place in the one of the institution of the University and I came back home right now.","I just watched a movie called ""Requiem for a Dream"" tonight which took place in one of the institutions of the University and I came back home just now. ""one of the"" always comes before a plural, so you will have to say 'institutions.'",Chinese (Mandarin)
Because we can't pronounce English what we read.,"Because we can't pronounce what we read in English.This sentence is a fragment. It can be from a mix of the sentence before: ""The difference in pronunciation makes English very difficult for us because we can't pronounce what we read in English well.""",Chinese (Mandarin)
"If you learn only one language and once get into problem over it, you don't feel like learning it anymore and probably stop learning it and have always an awareness that it will be hard to deal with.","If you learn only one language and once , you don't feel like learning it any more and probably stop learning it and always that it will be hard to deal with.",Chinese (Mandarin)
My 3 year old son had his hair cut at a barber this morning.,"My 3 year old son had his hair cut at a barber shop this morning. 'Barber' is a person, 'Barber Shop' is the place; if you want to use 'barber', you would say '...had his hair cut by a barber...'",Chinese (Mandarin)
It is very covenience.,"It is very convenient, because if you use MSN chat, we can talk",Chinese (Mandarin)
"(1) Because he was not in Japan for quite many years, it seems that he had interests everything what he saw and heard.","(1) Because he was not in Japan for quite a long time, it seemed like he was interested in everything he saw and heard.",Chinese (Mandarin)
"7 We are often surprised by people from other countries, how ignorant about our country when we are asked about Japan.",7 We are often surprised by people from other countries on their knowledge on Japan and feel that we are very ignorant about our country when we are asked about Japan.,Chinese (Mandarin)
I am a certificate holder conducted by the Red Cross ??,I am a certificate holder conducted by the Red Cross ?? A Red Cross training certificate holder or something like that. I really can't phrase it well. ww,Chinese (Mandarin)
"I searched on the internet, then I found several types of cafes such as people who want to learn English gather somewhere like a community center or an office and speak English and have a coffee together, or some people just go to a bar for chatting and at there, it seems to be set up tables divided by the language levels.","I searched on the internet. There were several types of cafes, for example: chatting over coffee at a community center or office, or chatting at a bar.It seems to be the tables are divided by their language levels.",Chinese (Mandarin)
is there still one seat left !?,"is there really still one seat left !? With ""really"", you sound more incredulous (or in disbelief).",Chinese (Mandarin)
"I Went To Bed For Sleep , I Woke up For Drink Coffee With My Family .","Then, I went to bed. The next morning, I awoke to drink coffee with my family.",Chinese (Mandarin)
"Weather is a very good day, an excursion with friends in Insadong.","Weather is a very good day, an excursion with friends in Insadong. The weather is very good today, so I went with some friends to Insadong.",Chinese (Mandarin)
Went through the crowds 'SSAMZIEGIL'.,"Went through the crowds 'SSAMZIEGIL'. We went through the crowds to enter ""SSAMZIEGIL"".",Chinese (Mandarin)
