text,correct,predicted_native_language
"it was the new previous page, It's easy at the all page you will have all windowns you have opened it at the same time","And with the new preview pane, it's easier than ever to see all the windows that you have open at the same time.",Chinese (Mandarin)
I think that dogs and cats are popular as pets in my country.,"In my country, dogs and cats are popular as pets.",Chinese (Mandarin)
"Everytimes i herad such things, it is misunderstanding, and i explaint to him , it is not true....","Everytime hed things , it misunderstanding, and explain to him: is not ... ""such things"" is a bit formal. ""I would explain"" means ""I used to have the habit of explaining""",Chinese (Mandarin)
"The reason we quarrel each othere today is that he sometimes say sarcastic and trash talk, it is ok sometimes trash talk and say joke, but sometimes it hurts my feeling, so i asked him not to say such thing even if we are freind.","The reason we quarrel today is that he sometimes sarcastic and trash talkt is ok trash talk and joke, but sometimes it hurts my feeling, so asked him not to say such thing even friend. OR: The reason we with each other is... ""sometimes it hurts"" is grammatically correct, but it places the pain in the present. You are talking about the past, so I think it would be better to say ""sometimes it hurt"" or ""sometimes it would hurt""",Chinese (Mandarin)
"As I know, they start to learn English much earlier age even from the pre-school or kindergarten.",Now they start to learn English at a much earlier age--even in preschool or kindergarten.,Chinese (Mandarin)
"In a word, edible seaweeds is good for health.",edible seaweeds are good for health.,Chinese (Mandarin)
"Likewise, since yesterday until this noon, I had been down.","Since yesterday, I have been down.",Chinese (Mandarin)
"so,I can't make up mind the style of dictionary,digital or paper.","I can't make up my mind which dictionary format I want, digital or paper.",Chinese (Mandarin)
I can't see the way to study Writing and Speaking...,What's the best way to study writing and speaking?,Chinese (Mandarin)
It means that you don't admit the score of TOEFL?,Does this mean that do not evaluate TOEFL scores and that you only evaluate SAT scores? (don't is correct but in a formal writing like this do not is better),Chinese (Mandarin)
"this year in Russia was done a year of youth and our teacher of Russian language gave us the job for the summer, to write an essay on the theme ""Year of Youth""","This year in Russia was a year of youth and our Russian teacher gave us the job for the summer, to write an essay on the theme ""Year of Youth""",Chinese (Mandarin)
"I have a meeting of the reading circle what I join in, today.",My book club meets today.,Chinese (Mandarin)
I like the beat of their songs and I also like the voice of vocal.,I like the beat in their songs and also enjoy the vocals.,Chinese (Mandarin)
and in the other country my favorite musician is:,my favorite international musicians are:,Chinese (Mandarin)
This is my first challenge to make a pizza.,It was my first time doing so.,Chinese (Mandarin)
I have still been eager that I wish I could use English like as native.,I am still eagerly wishing that I could use English like a native.,Chinese (Mandarin)
I've been to London UK last year for 2 month to learn English.,"I stayed in London, UK last year for two months in order to study English.",Chinese (Mandarin)
"I'm from Brazil, my country is huge, thus, I think to see more cities in Brazil before to visit other countries.","I'm from Brazil; my country is huge; thus, I wish to visit more cities in Brazil before visiting other countries.",Chinese (Mandarin)
It is very sad to stay alone in the room without my sisters and brother.,"I am very sad, staying alone in my room without my brother or sisters.",Chinese (Mandarin)
I took medicine at the morning and I almost recover my sinus cold at night.,I took them in the morning and almost recover my cold by night.,Chinese (Mandarin)
The 2012's plot is about the end of the world by sun's radition.,The movie was about the end of the world caused by the sun's radiation.,Chinese (Mandarin)
A lot of people is anticipate that if Iphone4 is released the Optimus-Q's price will more cheap.,Many predict that when the iPhone 4 is released the Optimus-Q's purchase price will fall.,Chinese (Mandarin)
"They started hiring together with preparations to launch, not if they've launched them first and then started hiring)",I was impressed that hiring was part of the launch process and not left until post-launch.,Chinese (Mandarin)
"Of course, if you can call ""nice"" this year's abnormal spring.","That is, if you can call this year's abnormal spring ""nice"" . ('Abnormal' is an odd choice of phrase here, but its not wrong per se...)",Chinese (Mandarin)
"I can do small tasks, for example, to write small articles about any subject you'd love to know from Russian part, or maybe I can take pictures of special places/things etc.",I can do small things. I can write small articles about Russian related subjects that you'd love to know about . Or maybe I can take pictures of special places/things etc.,Chinese (Mandarin)
"I got up at 6:00 a.m. It is early for me, but I could got up today!","I got up at 6:00 a.m. It was early for me, !",Chinese (Mandarin)
I could seen a rainbow appeared when on my way home from a school.,I sawa rainbow appeared on my way home from the school.,Chinese (Mandarin)
"About three years,thank you very much for teaching us.",Thank you very much for teaching us for three years.,Chinese (Mandarin)
Now my head is dizzy and my hearing is poor.,Now I am dizzy and I cannot hear well.,Chinese (Mandarin)
That must be a very happy tour this time.,.This time it will be an enjoyable tour.,Chinese (Mandarin)
"can you imagine how a cute old man he is, who is wearing a pink kimono,pink wig and also hold some lovely dolls.","Can you imagine what a cute old man he is, wearing a pink kimono, pink wig and also holding some lovely dolls.",Chinese (Mandarin)
The time will starts to exercise for losing weight!,It'stime to start exercising to lose weight!,Chinese (Mandarin)
"I don't have friends, so I played the guitar in my room and thought someday I wanted to join a band and play heavy metal.","and thought someday I wanted to join a band and play heavy metal.While playing guitar in my room, I often thought that I would someday want to join a heavy metal band.",Chinese (Mandarin)
"In the a preliminary match: Uruguay vs Costa-Rica,","During a preliminary match between Uruguay and Costa Rica, the Costa Rican players started warming up while the Uruguayan players sang their national anthem.",Chinese (Mandarin)
"The toys of train, it is popular in Japan, there are people who like to make correction of it ^^","It is about a train toy that is popular in Japan, there are people who like to correct it ^^ (not quite sure what you mean ... )",Chinese (Mandarin)
"The Day when cherry-blossom viewing in our division, you said that you know the cafeteria where gathering place for foreign student from overseas.",You said that you know where the cafeteria is where foreign students from overseas gather to view cherry-blossoms.,Chinese (Mandarin)
for the first i tryed to write sight looking a picture.,At first I tried to draw a picture by sight.,Chinese (Mandarin)
"when i show thatpicture for my grandmother,then she said "" can you write cattle picture for me, i'd like to use for letter.","When I showed that picture to my grandmother, she said "" can you draw a picture of a cow for me, I'd like to use one for a letter.""",Chinese (Mandarin)
"i have thought writing peter rabit for a long time sometimes, so this time i was pleasure writing it.","I have thought about drawing Peter Rabbit for a long time, so this time I was pleased to draw it.",Chinese (Mandarin)
Every languages are the combinations of each words and some rules in any case.,Languages arethe combinations of words and some rules,Chinese (Mandarin)
Students who want to use this way have to take the GSAT(General Scholastic Ability Test) in each winter vacation.,Students who go this route have to take the GSAT(General Scholastic Ability Test) during winter vacation.,Chinese (Mandarin)
"One may think it is froggy but truely it is not the case as the weather is extremly muggy at the moment that you feel not that easy without an air-conditioner, with a temperature up to 30c and humidity up to 80%.","One may think it is but it is not the case as the weather is muggy at the moment you will not feel that easy without an air-conditioner, with a temperature up to 30c and humidity up to 80%.",Chinese (Mandarin)
"At that place, we can spend time as much as we can to enjoy playing badminton without exception which will not happen in working time.",We can always spend as much time as we want there and enjoy playing badminton without restriction.,Chinese (Mandarin)
This place likes our own home for live together.,It is like our second home.,Chinese (Mandarin)
"As the result, the poor people are very hard to survive.","As a result, it is difficult for poor people to survive.",Chinese (Mandarin)
"- Each second passes, there are 15 million blood cell destroying in the body.",- There are 15 million blood cells* being destroyed in our body every second.,Chinese (Mandarin)
"In personal, I wish I will bring the knowledge to my hometown which is still poor now.","Personally, I wish to bring knowledge to my hometown which is still poor .",Chinese (Mandarin)
"As a matter of course, I have to make a dish.","I suggest: Of course, I also have to cook.",Chinese (Mandarin)
There are many actors who acted the James Bond.,many actors James Bond.Many actors have acted as James Bond.,Chinese (Mandarin)
"Yes, indeed, the only guy appear to be enough of money and capability is the US.",It seems the only nation with enough money and capability is the US.,Chinese (Mandarin)
Therefore the Chilling rain have been falling following yesterday.,The chilling rain has been falling since yesterday.,Chinese (Mandarin)
"Imoni party is a kind of the BBQ making the pot filled with aroid, Chinese cabbage, green onion, carrot, meat, and so on and mainly organized in Tohoku region which is located in northern part of Japan.","An Imoni party is a kind of BBQ made by filling a pot with aroid, Chinese cabbage, green onion, carrot, meat, and so on and is mainly made in Tohoku region which is located in northern part of Japan.",Chinese (Mandarin)
It is to forget a necessary paper at university.,I forget the paper which I need for the passport at university.,Chinese (Mandarin)
"I was studing in China for 2 years,was studing chinese...","I studied in China for 2 years,Where I studied Chinese.",Chinese (Mandarin)
"There were so many people,like polite and nice japanese,korean,who laugh the all time,crazy smoked african fulled of energy,horney pakistani and turkish guys,always drunk german,french,english,american,canadian,new zealand people...","There were so many people; like polite and nice Japanese, Korean, who laugh the all time, crazy smoked african full of",Chinese (Mandarin)
"Every member has her own personality, and her level of dancing and singing skills as a proffesional is beyond descliption!","Each member has her own personality, and their dancing and singing skills, like those of a professional, are beyond description!",Chinese (Mandarin)
"There are all the most import countries in the world, not only on the politics but also on the economy.","are (four?) the most countries in the world, .",Chinese (Mandarin)
My house is a single house which has five rooms and a small garden.,My house has five rooms and a small garden.,Chinese (Mandarin)
I am exciting how someone correct my writing now.,it'll be great if someone correct my post.,Chinese (Mandarin)
"Mmmm, I have walked up the stairs of grown man in a step.",I have walked what a grown man has walked in one step. -I think this is a little clearer.,Chinese (Mandarin)
actually I wasnt ok cause I felt nearly die but I replied I'm ok.,"Actually, I wasn't ok because I felt like I almost died but I replied, ""I'm ok.""",Chinese (Mandarin)
but since when I dont remember her name just remember the kind friend.,"However, I can't remember her name, but I remember she was a kind friend.",Chinese (Mandarin)
But it wasn't real our's and there was lots of unlettered person yet.,There characters weren't really ours and many people were illiterate.,Chinese (Mandarin)
"The other side, there were so many patriots.",There were many patriots who resisted.,Chinese (Mandarin)
"I had stick couplet on two side of the door of parents house, after then I work some firecracker, eating dumplings, spring festival gala play on TV, while my family spent whole day with my parents at their house.","I on two s of the door of parents house, after I some firecrackers, eating dumplings, gala play on TV while my family spent wholeday with my parents at their house.",Chinese (Mandarin)
Those explains Why Cantonese literature is so rich and diverse while Mandarin literature in China so poor and shallow?,"This explains why Cantonese literature is so rich and diverse compared to Mandarin literature in China(, which is rather poor and shallow).",Chinese (Mandarin)
"His occupation is agriculture, so I did various thing about growing vegetables.","He is a farmer, so I did various things necessary for growing vegetables.",Chinese (Mandarin)
There are too many menus I need to memorize.,"Or ""I need to memorize too many dishes (menus)"".",Chinese (Mandarin)
"In the truth, I want to go there once.","Truthfully, I'd like to go there now.",Chinese (Mandarin)
"After the goal of the marathon, we went to a hot spa and enjoyed it.","After reaching the finish line, we went to a hot spa and enjoyed ourselves.",Chinese (Mandarin)
"In spring, we start a new life, like entering schools, getting new jobs, therefore we may have to move to new places.","In spring, we do new things, like entering schools andgetting new jobs, therefore we may have to move to new places.",Chinese (Mandarin)
Each of my family has stuffs of themselves respectively.,"However, everyone in my family has stuff to do for themselves.",Chinese (Mandarin)
I am afraid if I could have done it well but I got it done anyway.,I think that I could have done better but I got it done anyway.,Chinese (Mandarin)
"The exhibitions consisted of three of them, which were new generation lights, functional films, and these manufacturing technologies.","There were three exhibitions: new generation lights, functional films, and manufacturing technologies.",Chinese (Mandarin)
"To tell the truth, I don't like race against another person very much.","By the way, I don't like racing against other people very much.",Chinese (Mandarin)
"At the 1st half, approximately 10km straight uphills, and at the 2nd half, the 10km straight downhills knocked me out.","For the 1st half, the approximately 10km straight uphill, and the 2nd half, 10km straight downhill, knocked me out.",Chinese (Mandarin)
"So we can luckily enjoy watching just outside our house, we don't need to take trains or something.","So we enjoy watching just outside our house, we to take train or thing.",Chinese (Mandarin)
"At this site lang8, to write a entry, make a correction or leave a comment on it, and reply to the comment or leave back another correction on their entries is a kind of great mutual communication.","On this site , writing an entry, making a correction or leaving a comment, replying to a comment or leaving another correction on their entry is a kind of great mutual communication.",Chinese (Mandarin)
"Regardless of the recent depression, no, for the reason of the depression, we should work harder and harder to make the economic recovery.","Even though your sentence seems correct, the sentence structure is something a Japanese native may say. I think you should use this alternative as an example how to properly set up a sentence. Even though the recent recession has hit us hard, we should try and work harder so we can recover our economy this year. (Hopefully this year.)",Chinese (Mandarin)
He missed the station the nearest our home of the last train because he fell to sleep in the train.,"On the last train he missed the station nearest to our home, because he fell asleep.",Chinese (Mandarin)
"Well, it takes only 15 minutes to go to the terminal station.",It takes only fifteen minutes to get to the terminal station.,Chinese (Mandarin)
"That was including the practice run of the ekiden relay race on next Sunday, my part will be a 4.8km downhill, and visiting the temple at somewhat deep in the mountain to thank for the good results of the entrance exams of our son and daughter, on the way of the so called LSD.","That was including the practice run for the ekiden relay race next Sunday; my part will be 4.8km downhill. Also, on the way of my so called LSD, I visited a temple somewhat deep in the mountains to thank for the good results on our son and daughter's entrance exam.",Chinese (Mandarin)
"At the annual meeting, we discussed the activities, including the game results and the budget in the last year and made the plan for the coming year, while talking about old and new staffs, way of managements, game tactics and so on.","At the annual meeting, we discussed last year's activities, including the game results and the budget and made plans for the coming year, while talking about old and new staff, ways of management, game tactics and so on.",Chinese (Mandarin)
But It would make you think if the school life of your kids may be okay.,"However, it may make you wonder about whether or not the school life of your kids is okay. (I'm not quite sure if this is what you meant?)",Chinese (Mandarin)
"Along the usual riverside course, I did an early morning run before leaving for a business trip.",I went on an early morning run along my usual riverside course before leaving for a business trip.,Chinese (Mandarin)
I took the train which my son took to his university.,My son went to his university after getting off our train.,Chinese (Mandarin)
"I sent emails of inquiry to him every week, he replied me he had already shipped the replacement on each of his email, but it had not come to me.","I sent inquiry emails to him every week, in each of his emails he replied that he had already shipped the replacement , but it had not arrived.",Chinese (Mandarin)
That's why many things are interesting and exciting.,It makes things interesting and exciting.,Chinese (Mandarin)
It seems very useful for me as a liaison.,I think it will be very useful.,Chinese (Mandarin)
"We must not have eaten and drunk anything, even water, till 9 pm of the day before the check.","We were not allowed to eat or drink anything, even water, till 9 pm the day before the check.",Chinese (Mandarin)
We have three day holidays this weekend in Japan.,"In Japan, this weekend is a three-day weekend due to the holiday.",Chinese (Mandarin)
It was instead of the usual many lap route in the Hiratsuka Sougo Koen Park.,the usual laps in the Hiratsuka Sougo Koen Park.,Chinese (Mandarin)
My headphone for my iPod is something like out of order.,The headphones for my iPod seem to have something wrong with them.,Chinese (Mandarin)
We are easy to catch cold or to got sick in the weather like that.,We easily catch cold or get sick in the weather like that.,Chinese (Mandarin)
"Cold days got back these days, nevertheless it is March.","Even though it is March, it has been cold recently.",Chinese (Mandarin)
"It is very popular in Japan, we love it very much.",They are very popular in Japan. We love them very much.,Chinese (Mandarin)
"It contains, for example, considering the experimental results for planning what to do next, and making a plan for long and medium-term R&D strategy, as well as writing a letter to Singapore for making the appointment to visit some research institutes there.","Some of what I have to do is, for example, consider experimental results to plan next , mak plan for long and medium-term R&D strategy, as well as writ a letter to Singapore mak appointment to visit some research institutes there.",Chinese (Mandarin)
"To tell the truth, we didn't really expect the advances of Japan Team, because they lost all of test games before the World Cup.","To tell the truth, we didn't really expect our team to advance, because they lost all of their friendly matches before the World Cup (had begun).",Chinese (Mandarin)
"As you see, they were almost naked except only Fundoshi's, that is Japanese traditional men's underware, I don't have my own, unfortunately.","You see, they were almost naked except only Fundoshis-- Japanese traditional men's underwear. I don't have my own, unfortunately.",Chinese (Mandarin)
"You had better see a doctor or something, maybe.",Maybe you should see a doctor or something.,Chinese (Mandarin)
"That said, anyway, it is not so easier said than done.","Anyway, that said, it is easier said than done.",Chinese (Mandarin)
"The feeling of writing is more smooth, so it's more comfortable for me, too.","The writing feels smoother, so it's more comfortable for me, too.",Chinese (Mandarin)
Methods for training of the brain for victory for runners by Prof.,"The methods of successful brain training for runners, by Prof.",Chinese (Mandarin)
"To trim some branches of trees, to weed the garden, to mow the lawn, and to fertilize them with the chemical fertilizer.","I trimmed some branches off the trees, weeded the garden, mowed the lawn and fertilized it with the chemical fertilizer.",Chinese (Mandarin)
Her boy friend is said to be very tender for her.,She said her boyfriend is very tender towards her.,Chinese (Mandarin)
It is now near on the south of Japan on the Pacific Ocean and going north toward Japan very slow.,Now it is near the south of Japan in the Pacific Ocean and heading north toward Japan very slow.,Chinese (Mandarin)
"Most women are sure to wish to lose weight, not at special age, but at all age.","Most women wish to lose weight not at a special age, but at all ages.",Chinese (Mandarin)
"I have to learn ,to keep in my memory, and to dance by myself in front of my colleagues at the party.","I have to learn, memorize and dance by myself in front of my colleagues at the party.",Chinese (Mandarin)
I asked me for my boss B after all because boss A was closed when I decided three people who made it restructure from your fellow workers.,"I asked boss B about me because boss A wasn't there, which three people had to restructure from our fellow workers. (???)",Chinese (Mandarin)
He became a severe look and was standing with a moment silence in front of me.,He gave me a severe look and was standing silently in front of me for a moment .,Chinese (Mandarin)
"It has been over one week that I do not sign in this corner, today I find that there is not any new friend visit here, perhaps I need spend more time on this platform, but how can I finish my works???","It has been over one week I havenot sign in this corner. Today I find that there is not any new friend visit here.Perhaps I need spend more time on this platform, but how can I finish my work???",Chinese (Mandarin)
"Before,The foreigner had been hospitalized in my department.",A foreigner was hospitalized in my department.,Chinese (Mandarin)
In this election I candidate and at 11 to 12 clock I will Introduce myself and I show to students my past executive work in university in Computer Science field.,"I'm a candidate in this election, and at 11 to 12 o'clock I will introduce myself and show (the) students my past executive university work in the field of Computer Science. (About the time: If you are introducing yourself sometime between 11 and 12, you would say ""and around 11 or 12 o'clock..."" If you are introducing from 11 to 12, you would say ""and from 11 to 12 o'clock..."" It wasn't clear from your sentence.)",Chinese (Mandarin)
my eyes still puffy because of my tears....,My eyes are still puffy from crying.,Chinese (Mandarin)
I am worried that I cannot get the good results and I am afraid that I will have no exit if I make worst in this exam.,I am worried that I cannot get good results and I will have no if I do badly in this exam.,Chinese (Mandarin)
I must keep staying at school for making up a missed lesson in order to prepare the HKCEE.,I had to stay at school to make up a missed lesson in order to prepare for the HKCEE.,Chinese (Mandarin)
"Actually,I didn't know and understand that why my school couldn't provide the warm water to all of the students after they had finish their physiologically need.","Actually,I don't understand why my school couldn't provide warm water to all of the students after they had finished their physiologically need.",Chinese (Mandarin)
"And you can understand it in ease, if you do too many similar works, just continue training and training, you will be very tried and you can't work up the enthusiasm.","And you can understand how, if you do too much of the same kind of work, just continue training and training, you will be very tired and you won't be able to work up enthusiasm.",Chinese (Mandarin)
"My occupation as private teacher started on December last year and I got the information about the vacancy from my friend, who also a private teacher too.","I started doing my part time job as a private teacher December last year and I got the information about the vacancy from my friend, who also a private teacher .",Chinese (Mandarin)
"At that time, I didn't like the boy particularly..",I didn't particularly like him at the time...,Chinese (Mandarin)
"the government insists that this project also makes tourist attraction, but it isn't.","The government also says that this will become a tourist attraction, but it will not.",Chinese (Mandarin)
"so am I, I'm using Twitter, Facebook, Nateon and Skype :D","I use Twitter, Facebook, Nateon and Skype, to connect with people around the world,",Chinese (Mandarin)
"And, road signal don't work during erectric off.",the traffic lights don't work during the blackouts..,Chinese (Mandarin)
"After the dinner, We are going to watch the movie with other countries students.","After dinner, going to watch movie with other country students.",Chinese (Mandarin)
"Now a days, I found out three good method of studying english.","Nowadays, I have found out three good methods of studying English.",Chinese (Mandarin)
"I had many things that should be talked about , but I always feel so nervous that I can't speak well in English.","I had many things to talk about, but I always feel so nervous since I can't speak well in English.",Chinese (Mandarin)
My friend seemed very sleepy and she didn't seem to get up soon.,It seems like my friend was very sleepy and didn't want to get up.,Chinese (Mandarin)
"I started to see it from last Thursday, but I couldn't finish seeing all of them.","I started watching it last Thursday, but couldn't finish seeing all of the episodes until today.",Chinese (Mandarin)
"I rent the book because I like him very much and the book seems interesting, good material to learn new expressions.","I borrowed the book because I like him very much and it seem to be a good referencematerials to learn new expressions. (I usually use the word ""borrow"" when you don't have to pay for something to use and then return it. Whereas ""rent"" is more for something that you would pay and return. eg. ""I borrowed my friends pencil."" ""I rented a DVD from the video shop."")",Chinese (Mandarin)
"Let me introduce ""What is a Japanese school rule for my school days?"" for next my diary.",I will talk about what kind of school rules we had at my school in my next entry.,Chinese (Mandarin)
"The band name is kind of porno, so I think it is inappropriate to translate it to English here.(actually, I have no idea how to translate it.) Seems like cynicism, but the band members are very earnest and play very well.","The band's name is kinda [sexually explicit/lewd], so I don't think it would be appropriate to translate it into English here. (Actually, I have no idea how to translate it.) The band seems cynical [I was confused here, so I guessed that 'the band' seems cynical], but the members are very earnest (about what they do) and play very well.",Chinese (Mandarin)
I really want to grow up!!And that times I want to travel all that place which I want to go.,I really want to grow up! When I grow up I can travel to any place that I like.,Chinese (Mandarin)
"But,Where is the place I introduce best?",Where should I I bring them to?,Chinese (Mandarin)
i hope i can enjoy english movie or TV show without captions.,I hope I'll be able to enjoy English movies or TV shows without captions.,Chinese (Mandarin)
I miss you always even if you always stand by me.,"(This part doesn't make sense to me. Are you saying ""Even if you are beside me, I'm still missing you.""?)",Chinese (Mandarin)
"In this morning as a news said, it was a murder case.",This morning the news said it was a murder case.,Chinese (Mandarin)
But it was postponed to tomorrow because of the suddenly heavy rain.,"However, this was postponed until tomorrow because of sudden heavy rain.",Chinese (Mandarin)
"In the last January, she had a terrible sick such as diarrhea nausea no appetite and so on.","Last January, she had a terrible illness (or 'she was very ill') and suffered from diarrhea, nausea, loss of appetite and so on.",Chinese (Mandarin)
"Well, I'm just starting to learn this language, to tell you the true I'd like to learn japanese, but I tough better to ""start from the beggining"".","Well, I'm just starting to learn this language. To tell you the truth I'd like to learn japanese, but I thought it would be better to ""start from the beginning"".",Chinese (Mandarin)
it would be better to stop everything because it'll be time for me to go back to hometwon soooooon~~!,It would be better if it would stop because soon it is time for me to go back to my hometown~~!,Chinese (Mandarin)
"now,the reason why I come here is to improve my English and to help the guys who want to learn Chinese.",The reason I came here is to improve my English and to help people who want to learn Chinese.,Chinese (Mandarin)
"To be frank, any kind of Okonomiyaki can be made using only these ingredients.",These are basically the only ingredients you need.,Chinese (Mandarin)
"But traditionally, we add bacon, which is cut into about 8cm pieces, green onions, which should be thinly sliced diagonally, Tenkasu which is Tempura bits, and Beni Shoga, which is pickled ginger.","Traditionally, you add bacon, which is cut into pieces of about eight centimeters, green onions, which should be sliced diagonally and thinly, tenkasu, which is tempura bits, and beni shoga, which is pickled ginger.",Chinese (Mandarin)
And this phenomenon results from the education mode in China.,This is an effect of the style of education in China.,Chinese (Mandarin)
Those were in a wooden box separated small rooms.,They keep them in wooden boxes separated into small compartments (?).,Chinese (Mandarin)
The most my favorite sightseeing spot in Japan is Hokkaido in winter.,y favorite sightseeing spot in Japan is Hokkaido.,Chinese (Mandarin)
The study of the school is done in a passive standpoint and the ability necessary for the politician are the sense of balance and the talent that invent (develop) the behavioral principle voluntarily.,"Studying is learning from a passive position. The talents necessary for a politician are balanced senses, and the ability to personally take logical action.",Chinese (Mandarin)
"I had belonged seminar of international law for three years during my fresh university, and studied about broad theories.","I belonged to an international law seminar for three years during university, and studied broad theories. (Not sure what you mean by ""my fresh"".)",Chinese (Mandarin)
"On last Sundy,there was blind person obligue next to me in platform of subway.","Last Sunday, there was blind person next to me on the subway platform.",Chinese (Mandarin)
It will be thought that the train of Japan on April~March is very strange.,It's thought that the trains in Japan during April~March are very strange.,Chinese (Mandarin)
"I showed reluctance to go on to a Japanese University,because I don't like Japanese instruction, and I became a citizen of the world.","I am reluctant to go on to a Japanese university because I don't like Japanese instruction, and I am a citizen of the world.",Chinese (Mandarin)
It is best way for us to break up and consentrate to our dream.,We agreed it's best for us to break up and concentrate on our dreams.,Chinese (Mandarin)
(Old school?) : Well im an alumnus of Dharma Budhi Bhakti Senior High School...,I'm an alumnus of Dharma Budhi Bhakti Senior High School.,Chinese (Mandarin)
In a short of time I'll get going to the college for the first day...,Soon (soon is much shorter and less complicated ^.^)I'll be going to college for the first time...,Chinese (Mandarin)
even that nakamura haven't play on full time I think if he play even just for a one round and then he got a free kick he can score from it...,even Nakamura haven't play full time I think if he play even just for a one round and then he get a free kick he can score it...,Chinese (Mandarin)
If I would have a younger brother or sister I can say that it would take me a long time to adapt since I don't really know how to share and be tolerant.,If I had a younger brother or sister it would take me a long time to adapt since I don't really know how to share and be patient.,Chinese (Mandarin)
And it also improves the adaptabitity and allocative efficiency and other relevent benefits.,"In addition to the other relevent benefits, increased investment in human capital also improves adaptability and allocative efficiency.",Chinese (Mandarin)
"In my memory, valentine day is a day that woman gives a chocolate to man, and white day is a day that a man gives a candy to woman.","As I recall, valentine day is a day on which women give chocolates to men, and white day is a day on which men give candies to women.",Chinese (Mandarin)
I was hot by the sun and a fire.,the sun and fire .,Chinese (Mandarin)
Popular in my country is a ARASHI in your country or what is popular celebrities?,"ARASHI is popular in my country. In your country, what are some popular celebrities?",Chinese (Mandarin)
"I am called ""tetuzin 28 go"",means iron man No.28.","My name is ""Tetuzin 28 go"", which means ""iron man No.28"".",Chinese (Mandarin)
"if you want either of them, All you have to do is choose one You can turn your hand in the direction you want.","If you want one over another, all you have to do is choose just as easily as you can turn your hand in the direction you want.",Chinese (Mandarin)
"When someone will get married, we give some money to them who will marry in Japan.","When someone gets married, we give some money to them in Japan.",Chinese (Mandarin)
