native,classified_errors,error_counts
Chinese (Mandarin),"[('Verb Error', 'm', 'VERB', ""'m"", 'AUX'), ('Noun Error', 'marine', 'NOUN', 'the', 'DET'), ('Noun Error', 'and', 'CCONJ', 'industry', 'NOUN'), ('Adjective Error', 'eager', 'ADJ', 'and', 'CCONJ'), ('Adjective Error', 'to', 'PART', 'eager', 'ADJ'), ('Verb Error', 'get', 'VERB', 'to', 'PART'), ('Verb Error', 'into', 'ADP', 'get', 'VERB'), ('Preposition Error', 'a', 'DET', 'into', 'ADP'), ('Adjective Error', 'better', 'ADJ', 'a', 'DET'), ('Noun Error', 'company', 'NOUN', 'better', 'ADJ'), ('Noun Error', 'which', 'PRON', 'company', 'NOUN'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'should', 'AUX', 'which', 'PRON'), ('Verb Error', 'improve', 'VERB', 'I', 'PRON'), ('Pronoun Error', 'my', 'PRON', 'should', 'AUX'), ('Verb Error', 'English', 'PROPN', 'improve', 'VERB'), ('Verb Error', 'speaking', 'VERB', 'my', 'PRON'), ('Other Error', 'right', 'ADV', 'English', 'PROPN'), ('Verb Error', 'away', 'ADV', 'speaking', 'VERB'), ('Other Error', '.', 'PUNCT', 'right', 'ADV'), ('Verb Error', 'Looking', 'VERB', 'away', 'ADV'), ('Preposition Error', 'for', 'ADP', '.', 'PUNCT'), ('Verb Error', 'a', 'DET', 'Looking', 'VERB'), ('Adjective Error', 'English', 'ADJ', 'for', 'ADP'), ('Adjective Error', 'native', 'ADJ', 'an', 'DET'), ('Noun Error', 'speaker', 'NOUN', 'English', 'ADJ'), ('Adjective Error', 'who', 'PRON', 'native', 'ADJ'), ('Noun Error', 'is', 'AUX', 'speaker', 'NOUN'), ('Pronoun Error', 'also', 'ADV', 'who', 'PRON'), ('Preposition Error', 'in', 'ADP', 'is', 'AUX'), ('Noun Error', 'need', 'NOUN', 'also', 'ADV'), ('Verb Error', 'learning', 'VERB', 'need', 'NOUN'), ('Preposition Error', 'Chinese', 'PROPN', 'of', 'ADP'), ('Verb Error', 'to', 'PART', 'learning', 'VERB'), ('Verb Error', 'become', 'VERB', 'Chinese', 'PROPN'), ('Pronoun Error', 'my', 'PRON', 'to', 'PART'), ('Verb Error', 'partner', 'NOUN', 'become', 'VERB'), ('Pronoun Error', '.', 'PUNCT', 'my', 'PRON')]","Counter({'Verb Error': 13, 'Noun Error': 7, 'Adjective Error': 6, 'Pronoun Error': 6, 'Preposition Error': 4, 'Other Error': 2})"
Spanish,"[('Pronoun Error', 'the', 'DET', 'the', 'PRON'), ('Adjective Error', 'same', 'ADJ', 'I', 'PRON'), ('Verb Error', 'goal', 'NOUN', 'love', 'VERB'), ('Verb Error', ',', 'PUNCT', 'talking', 'VERB'), ('Preposition Error', 'I', 'PRON', 'about', 'ADP'), ('Verb Error', 'did', 'VERB', 'movies', 'NOUN'), ('Other Error', 'a', 'DET', ',', 'PUNCT'), ('Preposition Error', 'of', 'ADP', ',', 'PUNCT'), ('Preposition Error', 'during', 'ADP', 'and', 'CCONJ'), ('Noun Error', 'those', 'DET', 'tennis', 'NOUN'), ('Other Error', '6', 'NUM', '.', 'PUNCT'), ('Noun Error', 'months', 'NOUN', 'And', 'CCONJ'), ('Verb Error', 'and', 'CCONJ', 'regarding', 'VERB'), ('Pronoun Error', 'now', 'ADV', 'me', 'PRON'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Verb Error', 'wanted', 'VERB', 'I', 'PRON'), ('Other Error', 'to', 'PART', ""'m"", 'AUX'), ('Preposition Error', 'to', 'PART', 'in', 'ADP'), ('Verb Error', 'start', 'VERB', 'Spain', 'PROPN'), ('Preposition Error', 'over', 'ADP', ',', 'PUNCT'), ('Other Error', '.', 'PUNCT', 'but', 'CCONJ'), ('Verb Error', 'love', 'VERB', ""'m"", 'AUX'), ('Verb Error', 'talking', 'VERB', 'from', 'ADP'), ('Preposition Error', 'about', 'ADP', 'Argentina', 'PROPN'), ('Noun Error', 'movies', 'NOUN', ',', 'PUNCT'), ('Pronoun Error', ',', 'PUNCT', 'I', 'PRON'), ('Verb Error', 'music', 'NOUN', 'emigrated', 'VERB'), ('Other Error', ',', 'PUNCT', 'here', 'ADV'), ('Noun Error', 'travel', 'NOUN', 'with', 'ADP'), ('Pronoun Error', 'and', 'CCONJ', 'my', 'PRON'), ('Preposition Error', '.', 'PUNCT', 'in', 'ADP'), ('Other Error', 'And', 'CCONJ', '2002', 'NUM'), ('Verb Error', 'regarding', 'VERB', 'and', 'CCONJ'), ('Verb Error', ',', 'PUNCT', 'have', 'VERB'), ('Pronoun Error', 'I', 'PRON', '2', 'NUM'), ('Noun Error', ""'m"", 'AUX', 'kids', 'NOUN'), ('Verb Error', 'living', 'VERB', '.', 'PUNCT')]","Counter({'Verb Error': 12, 'Preposition Error': 7, 'Pronoun Error': 6, 'Other Error': 6, 'Noun Error': 5, 'Adjective Error': 1})"
Chinese (Mandarin),"[('Other Error', 'here', 'ADV', ""'m"", 'AUX'), ('Other Error', 'to', 'PART', 'here', 'ADV'), ('Verb Error', 'meet', 'VERB', 'to', 'PART'), ('Verb Error', 'people', 'NOUN', 'meet', 'VERB'), ('Noun Error', '.', 'PUNCT', 'people', 'NOUN'), ('Other Error', 'Meanwhile', 'ADV', '.', 'PUNCT'), ('Other Error', ',', 'PUNCT', 'Meanwhile', 'ADV'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Verb Error', 'get', 'VERB', 'I', 'PRON'), ('Verb Error', 'to', 'PART', 'get', 'VERB'), ('Verb Error', 'practice', 'VERB', 'to', 'PART'), ('Verb Error', 'English', 'PROPN', 'practice', 'VERB'), ('Other Error', '.', 'PUNCT', 'English', 'PROPN'), ('Other Error', 'If', 'SCONJ', '.', 'PUNCT'), ('Pronoun Error', 'you', 'PRON', 'If', 'SCONJ'), ('Pronoun Error', 'ever', 'ADV', 'you', 'PRON'), ('Verb Error', 'need', 'VERB', 'ever', 'ADV'), ('Verb Error', 'help', 'NOUN', 'need', 'VERB'), ('Noun Error', 'with', 'ADP', 'help', 'NOUN'), ('Preposition Error', 'Chinese', 'PROPN', 'with', 'ADP'), ('Other Error', ',', 'PUNCT', 'Chinese', 'PROPN'), ('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Adjective Error', 'glad', 'ADJ', ""'m"", 'AUX'), ('Adjective Error', 'to', 'PART', 'glad', 'ADJ'), ('Verb Error', 'help', 'VERB', 'to', 'PART'), ('Verb Error', '.', 'PUNCT', 'help', 'VERB')]","Counter({'Verb Error': 10, 'Other Error': 7, 'Pronoun Error': 5, 'Noun Error': 2, 'Adjective Error': 2, 'Preposition Error': 1})"
Spanish,"[('Other Error', 'but', 'CCONJ', ',', 'PUNCT'), ('Pronoun Error', 'I', 'PRON', 'but', 'CCONJ'), ('Pronoun Error', 'have', 'AUX', 'I', 'PRON'), ('Verb Error', 'lived', 'VERB', 'have', 'AUX'), ('Verb Error', 'in', 'ADP', 'lived', 'VERB'), ('Preposition Error', 'France', 'PROPN', 'in', 'ADP'), ('Preposition Error', 'for', 'ADP', 'France', 'PROPN'), ('Preposition Error', '20', 'NUM', 'for', 'ADP'), ('Noun Error', 'years', 'NOUN', '20', 'NUM'), ('Noun Error', '.', 'PUNCT', 'years', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Verb Error', 'have', 'VERB', 'I', 'PRON'), ('Verb Error', 'a', 'DET', 'have', 'VERB'), ('Adjective Error', 'high', 'ADJ', 'a', 'DET'), ('Noun Error', 'level', 'NOUN', 'high', 'ADJ'), ('Noun Error', 'of', 'ADP', 'level', 'NOUN'), ('Preposition Error', 'French', 'PROPN', 'of', 'ADP'), ('Other Error', 'in', 'SCONJ', 'French', 'PROPN'), ('Noun Error', 'case', 'NOUN', 'in', 'SCONJ'), ('Noun Error', 'someone', 'PRON', 'case', 'NOUN'), ('Verb Error', 'wants', 'VERB', 'someone', 'PRON'), ('Verb Error', 'to', 'PART', 'wants', 'VERB'), ('Verb Error', 'exchange', 'VERB', 'to', 'PART'), ('Verb Error', 'in', 'ADP', 'exchange', 'VERB'), ('Preposition Error', 'that', 'DET', 'in', 'ADP'), ('Noun Error', 'language', 'NOUN', 'that', 'DET'), ('Noun Error', '.', 'PUNCT', 'language', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', 'would', 'AUX', 'I', 'PRON'), ('Verb Error', 'like', 'VERB', 'would', 'AUX'), ('Verb Error', 'to', 'PART', 'like', 'VERB'), ('Verb Error', 'practice', 'VERB', 'to', 'PART'), ('Verb Error', 'English', 'PROPN', 'practice', 'VERB'), ('Other Error', 'or', 'CCONJ', 'English', 'PROPN'), ('Other Error', 'German', 'PROPN', 'or', 'CCONJ'), ('Other Error', ',', 'PUNCT', 'German', 'PROPN'), ('Other Error', 'if', 'SCONJ', ',', 'PUNCT'), ('Adjective Error', 'possible', 'ADJ', 'if', 'SCONJ'), ('Noun Error', 'face', 'NOUN', 'possible', 'ADJ'), ('Noun Error', 'to', 'PART', 'face', 'NOUN'), ('Noun Error', 'face', 'NOUN', 'to', 'PART'), ('Noun Error', 'in', 'ADP', 'face', 'NOUN'), ('Preposition Error', 'Seine', 'PROPN', 'in', 'ADP'), ('Noun Error', 'et', 'NOUN', 'Seine', 'PROPN'), ('Noun Error', 'Marne', 'PROPN', 'et', 'NOUN'), ('Other Error', 'or', 'CCONJ', 'Marne', 'PROPN'), ('Verb Error', 'find', 'VERB', 'or', 'CCONJ'), ('Verb Error', 'somewhere', 'ADV', 'find', 'VERB'), ('Preposition Error', 'in', 'ADP', 'somewhere', 'ADV'), ('Preposition Error', 'to', 'PART', 'between', 'ADP'), ('Verb Error', 'see', 'VERB', 'to', 'PART'), ('Verb Error', 'us', 'PRON', 'see', 'VERB'), ('Pronoun Error', ',', 'PUNCT', 'us', 'PRON'), ('Other Error', 'or', 'CCONJ', ',', 'PUNCT'), ('Other Error', 'any', 'DET', 'or', 'CCONJ'), ('Verb Error', 'messaging', 'VERB', 'any', 'DET'), ('Verb Error', 'program', 'NOUN', 'messaging', 'VERB'), ('Noun Error', '.', 'PUNCT', 'program', 'NOUN'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Other Error', 'not', 'PART', ""'m"", 'AUX'), ('Adjective Error', 'interested', 'ADJ', 'not', 'PART'), ('Adjective Error', 'in', 'ADP', 'interested', 'ADJ'), ('Verb Error', 'flirting', 'VERB', 'in', 'ADP'), ('Verb Error', ',', 'PUNCT', 'flirting', 'VERB'), ('Pronoun Error', 'what', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'really', 'ADV', 'I', 'PRON'), ('Verb Error', 'want', 'VERB', 'really', 'ADV'), ('Verb Error', 'is', 'AUX', 'want', 'VERB'), ('Other Error', 'to', 'PART', 'is', 'AUX'), ('Verb Error', 'practice', 'VERB', 'to', 'PART'), ('Verb Error', 'languages', 'NOUN', 'practice', 'VERB'), ('Noun Error', ',', 'PUNCT', 'languages', 'NOUN'), ('Other Error', 'if', 'SCONJ', ',', 'PUNCT'), ('Pronoun Error', 'you', 'PRON', 'if', 'SCONJ'), ('Verb Error', 'want', 'VERB', 'you', 'PRON'), ('Verb Error', 'to', 'PART', 'want', 'VERB'), ('Verb Error', 'flirt', 'VERB', 'to', 'PART'), ('Verb Error', 'there', 'PRON', 'flirt', 'VERB'), ('Verb Error', 'are', 'VERB', 'there', 'PRON'), ('Verb Error', 'applications', 'NOUN', 'are', 'VERB'), ('Noun Error', 'for', 'ADP', 'applications', 'NOUN'), ('Preposition Error', 'that', 'PRON', 'for', 'ADP'), ('Adjective Error', 'better', 'ADJ', 'that', 'PRON'), ('Adjective Error', 'than', 'ADP', 'better', 'ADJ'), ('Preposition Error', 'this', 'DET', 'than', 'ADP'), ('Noun Error', 'one', 'NOUN', 'this', 'DET'), ('Noun Error', 'and', 'CCONJ', 'one', 'NOUN'), ('Other Error', 'where', 'SCONJ', 'and', 'CCONJ'), ('Pronoun Error', 'you', 'PRON', 'where', 'SCONJ'), ('Pronoun Error', 'wo', 'AUX', 'you', 'PRON'), ('Other Error', ""n't"", 'PART', 'wo', 'AUX'), ('Verb Error', 'find', 'VERB', ""n't"", 'PART'), ('Verb Error', 'me', 'PRON', 'find', 'VERB'), ('Pronoun Error', 'because', 'SCONJ', 'me', 'PRON'), ('Pronoun Error', 'I', 'PRON', 'because', 'SCONJ'), ('Pronoun Error', ""'m"", 'AUX', 'I', 'PRON'), ('Other Error', 'not', 'PART', ""'m"", 'AUX'), ('Adjective Error', 'intereste', 'ADJ', 'not', 'PART')]","Counter({'Verb Error': 32, 'Noun Error': 19, 'Pronoun Error': 16, 'Other Error': 15, 'Preposition Error': 10, 'Adjective Error': 7})"
Chinese (Mandarin),"[('Noun Error', 'history', 'NOUN', 'and', 'CCONJ'), ('Noun Error', 'are', 'AUX', 'history', 'NOUN'), ('Other Error', 'so', 'ADV', 'are', 'AUX'), ('Adjective Error', 'charming', 'ADJ', 'so', 'ADV'), ('Adjective Error', 'to', 'ADP', 'charming', 'ADJ'), ('Preposition Error', 'me', 'PRON', 'to', 'ADP'), ('Pronoun Error', '.', 'PUNCT', 'me', 'PRON'), ('Pronoun Error', 'I', 'PRON', '.', 'PUNCT'), ('Verb Error', 'look', 'VERB', 'I', 'PRON'), ('Verb Error', 'forward', 'ADV', 'look', 'VERB'), ('Preposition Error', 'to', 'ADP', 'forward', 'ADV'), ('Preposition Error', 'you', 'PRON', 'to', 'ADP'), ('Verb Error', 'sharing', 'VERB', 'you', 'PRON'), ('Verb Error', 'your', 'PRON', 'sharing', 'VERB'), ('Noun Error', 'perspective', 'NOUN', 'your', 'PRON'), ('Noun Error', ',', 'PUNCT', 'perspective', 'NOUN'), ('Pronoun Error', 'your', 'PRON', ',', 'PUNCT'), ('Noun Error', 'life', 'NOUN', 'your', 'PRON'), ('Noun Error', ',', 'PUNCT', 'life', 'NOUN'), ('Pronoun Error', 'your', 'PRON', ',', 'PUNCT'), ('Noun Error', 'world', 'NOUN', 'and', 'CCONJ'), ('Preposition Error', 'with', 'ADP', 'your', 'PRON'), ('Noun Error', 'me', 'PRON', 'world', 'NOUN'), ('Preposition Error', '.', 'PUNCT', 'with', 'ADP')]","Counter({'Noun Error': 8, 'Preposition Error': 5, 'Pronoun Error': 4, 'Verb Error': 4, 'Adjective Error': 2, 'Other Error': 1})"
Russian,"[('Other Error', 'but', 'CCONJ', ',', 'PUNCT'), ('Pronoun Error', 'I', 'PRON', 'but', 'CCONJ'), ('Pronoun Error', 'have', 'AUX', 'I', 'PRON'), ('Other Error', ""n't"", 'PART', 'have', 'AUX'), ('Verb Error', 'got', 'VERB', ""n't"", 'PART'), ('Verb Error', 'much', 'ADJ', 'got', 'VERB'), ('Noun Error', 'practice', 'NOUN', 'conversational', 'ADJ'), ('Noun Error', '.', 'PUNCT', 'practice', 'NOUN'), ('Noun Error', ""I'm"", 'NOUN', '.', 'PUNCT'), ('Verb Error', 'looking', 'VERB', 'I', 'PRON'), ('Preposition Error', 'for', 'ADP', ""'m"", 'AUX'), ('Verb Error', 'a', 'DET', 'looking', 'VERB'), ('Adjective Error', 'native', 'ADJ', 'for', 'ADP'), ('Adjective Error', 'English', 'ADJ', 'a', 'DET'), ('Noun Error', 'speaker', 'NOUN', 'native', 'ADJ'), ('Adjective Error', 'to', 'PART', 'English', 'ADJ'), ('Verb Error', 'talk', 'VERB', 'speaker', 'NOUN'), ('Preposition Error', 'with', 'ADP', 'to', 'PART'), ('Verb Error', 'and', 'CCONJ', 'talk', 'VERB'), ('Preposition Error', 'to', 'PART', 'with', 'ADP'), ('Verb Error', 'improve', 'VERB', 'and', 'CCONJ'), ('Verb Error', 'my', 'PRON', 'improve', 'VERB'), ('Noun Error', 'writing', 'NOUN', 'my', 'PRON'), ('Noun Error', '.', 'PUNCT', 'skills', 'NOUN'), ('Other Error', 'Any', 'DET', '.', 'PUNCT'), ('Adjective Error', 'convenient', 'ADJ', 'Any', 'DET'), ('Adjective Error', 'for', 'ADP', 'convenient', 'ADJ'), ('Preposition Error', 'you', 'PRON', 'for', 'ADP'), ('Noun Error', 'form', 'NOUN', 'you', 'PRON'), ('Noun Error', 'of', 'ADP', 'form', 'NOUN'), ('Preposition Error', 'the', 'DET', 'of', 'ADP'), ('Verb Error', 'studying', 'VERB', 'study', 'NOUN')]","Counter({'Verb Error': 9, 'Noun Error': 8, 'Preposition Error': 5, 'Adjective Error': 5, 'Other Error': 3, 'Pronoun Error': 2})"
Spanish,"[('Other Error', ' ', 'SPACE', 'and', 'CCONJ')]",Counter({'Other Error': 1})
Spanish,"[('Adjective Error', 'uni', 'ADJ', 'Uni', 'PROPN')]",Counter({'Adjective Error': 1})
Russian,"[('Adjective Error', 'Ukrainian', 'ADJ', 'Ukrainian', 'PROPN')]",Counter({'Adjective Error': 1})
Russian,[],Counter()
Chinese (Mandarin),[],Counter()
Chinese (Mandarin),"[('Noun Error', ""Don't"", 'NOUN', 'Do', 'AUX'), ('Verb Error', 'get', 'VERB', ""n't"", 'PART'), ('Verb Error', 'me', 'PRON', 'get', 'VERB'), ('Adjective Error', 'wrong', 'ADJ', 'me', 'PRON'), ('Adjective Error', ',', 'PUNCT', 'wrong', 'ADJ'), ('Pronoun Error', 'i', 'PRON', ',', 'PUNCT'), ('Pronoun Error', 'also', 'ADV', 'I', 'PRON'), ('Other Error', 'would', 'AUX', 'also', 'ADV'), ('Verb Error', 'like', 'VERB', 'would', 'AUX'), ('Verb Error', 'to', 'PART', 'like', 'VERB'), ('Verb Error', 'make', 'VERB', 'to', 'PART'), ('Verb Error', 'friends', 'NOUN', 'make', 'VERB'), ('Noun Error', 'here', 'ADV', 'friends', 'NOUN'), ('Other Error', '.', 'PUNCT', 'here', 'ADV')]","Counter({'Verb Error': 6, 'Noun Error': 2, 'Adjective Error': 2, 'Pronoun Error': 2, 'Other Error': 2})"
Spanish,"[('Pronoun Error', 'I', 'PRON', ',', 'PUNCT'), ('Verb Error', 'want', 'VERB', 'I', 'PRON'), ('Verb Error', 'to', 'PART', 'want', 'VERB'), ('Verb Error', 'practise', 'VERB', 'to', 'PART'), ('Verb Error', 'my', 'PRON', 'practise', 'VERB'), ('Adjective Error', 'English', 'ADJ', 'my', 'PRON'), ('Noun Error', 'skills', 'NOUN', 'English', 'ADJ'), ('Noun Error', 'and', 'CCONJ', 'skills', 'NOUN'), ('Pronoun Error', 'I', 'PRON', 'and', 'CCONJ'), ('Pronoun Error', 'can', 'AUX', 'I', 'PRON'), ('Verb Error', 'help', 'VERB', 'can', 'AUX'), ('Verb Error', 'with', 'ADP', 'help', 'VERB'), ('Preposition Error', 'your', 'PRON', 'with', 'ADP'), ('Pronoun Error', 'Spanish', 'PROPN', 'your', 'PRON'), ('Preposition Error', 'in', 'ADP', 'Spanish', 'PROPN'), ('Noun Error', 'return', 'NOUN', 'in', 'ADP')]","Counter({'Verb Error': 6, 'Pronoun Error': 4, 'Noun Error': 3, 'Preposition Error': 2, 'Adjective Error': 1})"
Spanish,"[('Adjective Error', 'Spanish', 'ADJ', 'Spanish', 'PROPN')]",Counter({'Adjective Error': 1})
