text,correct,sequence,native
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,"('PROPN', 'PUNCT', 'PRON')",Spanish
Good Morning I form thailand my name is jirawut I come to here this first time for patice read wright english language for improve and devellop I hope any one help to me in the next time i will try to write beatiful place in thailand,Good Morning! I am from Thailand. My name is Jirawut. I have decided to practice writing in English here. I hope it will improve my English. I hope someone would help me. Next time I would write about beautiful places in Thailand.,"('PROPN', 'PUNCT', 'PRON')",Spanish
I ate curry that is my favorite food.,"I ate curry, which is my favorite food.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I'm from Brazil, my country is huge, thus, I think to see more cities in Brazil before to visit other countries.","I'm from Brazil; my country is huge; thus, I wish to visit more cities in Brazil before visiting other countries.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I'm from Brazil, my country is huge, thus, I think to see more cities in Brazil before to visit other countries.","I'm from Brazil; my country is huge; thus, I wish to visit more cities in Brazil before visiting other countries.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Have no idea what language should I use for Journal, my French is very poor yet, so everything I can say is something like ""je m'apelle"" or ""j'habite"" etc.","I have no idea what language I should use for my Journal. My French is still very poor , so everything I can only say things like ""je m'apelle"" or ""j'habite"" etc.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Today, It seems my friends Maika, Chika and Maiko(She is a other classroom student) ate lunch with him.","Today, It seems my friends Maika, Chika and Maiko (he is aother classroom student) ate lunch with him.","('PROPN', 'PUNCT', 'PRON')",Spanish
I got e-mail from Waseda University in Japanse and English.,I got an e-mail from Waseda University. It was in Japanese and English.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Please talk to me by skype , my skype ID is moemoekenchang .","Please talk to me on Skype, my skype ID is moemoekenchang .","('PROPN', 'PUNCT', 'PRON')",Spanish
"Costa-Rica, I am very sorry, sincerely.","Costa Rica, I am sincerely sorry.","('PROPN', 'PUNCT', 'PRON')",Spanish
About 6 dollars U.,"Since people in the US think in USD, i'll put it in terms you understand. This fruit is now worth more than your house.","('PROPN', 'PUNCT', 'PRON')",Spanish
"In Japan, we take a hot citron bath on the day.","In Japan, we take a hot yuzu (a citrus fruit) bath on that day. (Here I would use the native Japanese word, yuzu. You can give the English definition in parentheses.)","('PROPN', 'PUNCT', 'PRON')",Spanish
"When my husband and I went to Tahiti, my husband asked me.","When my husband and I went to Tahiti, my husband asked me, (We usually use a comma and not a period before quotations).","('PROPN', 'PUNCT', 'PRON')",Spanish
Because we are very busy on weekdays.,"We are very busy on weekdays. Writing formally in English, one does not usually begin a sentence with ""because.""","('PROPN', 'PUNCT', 'PRON')",Spanish
I love the series of the 007 and James Bond.,I love the and James Bond.I love the 007 series and James Bond.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"In Japan, there are tons of news mentioned recent difficulties for university students to hunt job.","In Japan, there tons of news recent difficulties for university students hunting for jobs. [""News"" is uncountable, so uses the singular verb, like: ""there is tons of sugar in the cupboard"".]","('PROPN', 'PUNCT', 'PRON')",Spanish
"In Japan, there are tons of news mentioned recent difficulties for university students to hunt job.","In Japan, there tons of news recent difficulties for university students hunting for jobs. [""News"" is uncountable, so uses the singular verb, like: ""there is tons of sugar in the cupboard"".]","('PROPN', 'PUNCT', 'PRON')",Spanish
"Writing ""u"" instead of ""you"" ,""cuz"" instead of ""because"",yr instead of ""your"" is bad habit catched from american people,cant help it.","Writing ""u"" instead of ""you"" , ""cuz"" instead of ""because"" and ""yr"" instead of ""your"" is a bad habit which I caught from the Americans. I can't help it.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Every september, I ask my mother","Every September, I ask my mother,","('PROPN', 'PUNCT', 'PRON')",Spanish
I played Cherokee what is jazz standerd.,"I played Cherokee, which is a jazz standard.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Mmmm, I have walked up the stairs of grown man in a step.",I have walked what a grown man has walked in one step. -I think this is a little clearer.,"('PROPN', 'PUNCT', 'PRON')",Spanish
Sorry for my poor english I dont have any volition.,Sorry for my poor English. I dont have any volition.,"('PROPN', 'PUNCT', 'PRON')",Spanish
'the men who is better than flower?'OST is so nice too.,"The men who is better than flower?'OST is very nice too. (Do you mean Boys Over Flowers? Hana Yori Dango, I think.)","('PROPN', 'PUNCT', 'PRON')",Spanish
"I want to work part-time on Wednesday,Saturday and Sunday.","I want to work part-time on Wednesday,Saturday and Sunday /comment:/ You want to work part-time several Wednesdays (and Saturdays and Sundays) so you have to use plural form.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I signed up the Facebook, which is a SNS.","I signed up to Facebook, which is a social networking site. (I haven't seen this abbreviation being used in England - that's not to say it's wrong though, it's just unusual)","('PROPN', 'PUNCT', 'PRON')",Spanish
"I signed up the Facebook, which is a SNS.","I signed up to Facebook, which is a social networking site. (I haven't seen this abbreviation being used in England - that's not to say it's wrong though, it's just unusual)","('PROPN', 'PUNCT', 'PRON')",Spanish
"That was including the practice run of the ekiden relay race on next Sunday, my part will be a 4.8km downhill, and visiting the temple at somewhat deep in the mountain to thank for the good results of the entrance exams of our son and daughter, on the way of the so called LSD.","That was including the practice run for the ekiden relay race next Sunday; my part will be 4.8km downhill. Also, on the way of my so called LSD, I visited a temple somewhat deep in the mountains to thank for the good results on our son and daughter's entrance exam.","('PROPN', 'PUNCT', 'PRON')",Spanish
Tomorrow is the national holiday that is Coming of Age Day in Japan.,"Tomorrow is a national holiday in Japan. We call this holiday, Coming of Age Day. There is not really anything wrong with what you wrote but I made some changes to try to make it flow better and to make it more native-sounding.","('PROPN', 'PUNCT', 'PRON')",Spanish
Tomorrow is the national holiday that is Coming of Age Day in Japan.,"Tomorrow is a national holiday in Japan. We call this holiday, Coming of Age Day. There is not really anything wrong with what you wrote but I made some changes to try to make it flow better and to make it more native-sounding.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Happy new year, all.","Happy New Year, all.","('PROPN', 'PUNCT', 'PRON')",Spanish
I ran even more slowly than my usual easy pace for my lunchtime run.,"( you don't need to repeat this)However, my pace waseven slower than usual.","('PROPN', 'PUNCT', 'PRON')",Spanish
There were some personnel changes in our office this April which is a beginning of the new fiscal year.,"There were some personnel changes in our office during April, which is the beginning of the new fiscal year. Using ""this April"" was not wrong. I only replaced it with ""during"" so that the second part of the sentence would fit in better.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Cold days got back these days, nevertheless it is March.","Even though it is March, it has been cold recently.","('PROPN', 'PUNCT', 'PRON')",Spanish
"It is very popular in Japan, we love it very much.",They are very popular in Japan. We love them very much.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"It is very popular in Japan, we love it very much.",They are very popular in Japan. We love them very much.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"it said it would be cooler from Tuesday on Sunday, from Wednesday on Monday.","On Sunday, it said it would be cooler starting Tuesday, and on Monday starting Wednesday.","('PROPN', 'PUNCT', 'PRON')",Spanish
"While I didn't notice that, buzzing of summer cicadas decreased and singing of fall insects increased.","I hadn't noticed that the buzzing of (the) summer cicadas had decreased and the singing of (the) fall insects had increased.(Or ""I didn't notice that the buzzing of (the) summer cicadas was decreasing and the singing of (the) fall insects was increasing."")","('PROPN', 'PUNCT', 'PRON')",Spanish
"While I didn't notice that, buzzing of summer cicadas decreased and singing of fall insects increased.","I hadn't noticed that the buzzing of (the) summer cicadas had decreased and the singing of (the) fall insects had increased.(Or ""I didn't notice that the buzzing of (the) summer cicadas was decreasing and the singing of (the) fall insects was increasing."")","('PROPN', 'PUNCT', 'PRON')",Spanish
"My daughter will take the entrance examination to the high school of her choice in the week after next, too.","BTW, my daughter will be taking an entrance examination to the high school of her choice in the week after next, too.","('PROPN', 'PUNCT', 'PRON')",Spanish
My friend taught me Lang-8 which is the best way to enjoy studying language.,My friend showed meme Lang-8. It's the best way to have fun while studying a language.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Sometime when I watch the sky during my daily walk to University I get this strange feeling inside of me, it's like I'm getting sick of something.","Sometime when I watch the sky during my daily walk to University . I get this strange feeling inside of me, it's like I'm getting sick of something.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I want to know english, my dream - studing in GB university.",I want to know English. My dream is to studiy in a British university.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Last sunday, I stopped the meal at lunch because my mom !","Last Sunday, I stopped the meal at lunch because of my mom !","('PROPN', 'PUNCT', 'PRON')",Spanish
"We were talkind about different writers and he mentioned Bulgakov, I said Bulgakov is a Russion writer, he was surprised and asked me ""Really"", I answered ""OF COURSE!!","We were talking about different writers and he mentioned Bulgakov, I said Bulgakov is a Russian writer, he was surprised and asked me ""Really"", I answered ""OF COURSE!!","('PROPN', 'PUNCT', 'PRON')",Spanish
Salinger in english (I had read it in russian before and loved it very much).,Salinger in English (I had read it in Russian before ( don't forget those capital letters for nationalities ;) ) and loved it very much).,"('PROPN', 'PUNCT', 'PRON')",Spanish
it was very hard time from wednesday to saturday.,"From Wednesday to Saturday, it was a very hard time.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Recently, I participate English conversation class every Friday.","I participate in an English conversation class every Friday. I participated in an English conversation class, recently.","('PROPN', 'PUNCT', 'PRON')",Spanish
I feel like a long way to talk with people in Spanish.,"I feel a long ways away from talking to people in Spanish. I feel I have a long way to go before I can talk to people in Spanish. (The first example is somewhat informal, and ""a long ways away"" is probably not ""proper"" English, but I have heard this expression before.)","('PROPN', 'PUNCT', 'PRON')",Spanish
I feel like a long way to talk with people in Spanish.,"I feel a long ways away from talking to people in Spanish. I feel I have a long way to go before I can talk to people in Spanish. (The first example is somewhat informal, and ""a long ways away"" is probably not ""proper"" English, but I have heard this expression before.)","('PROPN', 'PUNCT', 'PRON')",Spanish
"This tuesday, I forgot to record it.","This Tuesday, I forgot to record it.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Last sunday,I went to play tennis with some members.","Last Sunday, I went to play tennis with some team members.","('PROPN', 'PUNCT', 'PRON')",Spanish
"My aunt is married with American, she has visited my place in Japan for every year with fabulous gifts and sweets.",My aunt is married to an American. he has visited my place in Japan every year with fabulous gifts and sweets.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Unexpectedly, there was Japanese Drum Show.","Unexpectedly, there was a Japanese Drum Show.This is grammatically correct, but a little awkward. It would probably be better to say, ""We were surprised to see a Japanese Drum Show.""","('PROPN', 'PUNCT', 'PRON')",Spanish
"Unexpectedly, there was Japanese Drum Show.","Unexpectedly, there was a Japanese Drum Show.This is grammatically correct, but a little awkward. It would probably be better to say, ""We were surprised to see a Japanese Drum Show.""","('PROPN', 'PUNCT', 'PRON')",Spanish
In a university in beijing.,I'm a student at a university in Beijing. You also need to CAPITALIZE the first letter of a place name.,"('PROPN', 'PUNCT', 'PRON')",Spanish
In a university in beijing.,I'm a student at a university in Beijing. You also need to CAPITALIZE the first letter of a place name.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"In china,we learn English is recite words and learning grammar.","In China,we learn English by reciting words and learning grammar.","('PROPN', 'PUNCT', 'PRON')",Spanish
"actually i hate english,i learn english about ten years ago from i am a primary school student,but i still can not speak english now!it's awful.","Actually I hate English. I started learning English about ten years ago when I was a primary school student, but I still cannot speak English now! It's awful.","('PROPN', 'PUNCT', 'PRON')",Spanish
"In the last January, she had a terrible sick such as diarrhea nausea no appetite and so on.","Last January, she had a terrible illness (or 'she was very ill') and suffered from diarrhea, nausea, loss of appetite and so on.","('PROPN', 'PUNCT', 'PRON')",Spanish
"When Iwatched WEB site about learning english, i get the information of this site.","When I about learning English, i get the information of this site.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Before the exam Gaokao,I began to talk with my classmates about what kind of computer games we were to play,and where we were going on holiday.","Before the college entrance examinations,I talk with my classmates about what kind of computer games we were to play and where we were going on holiday.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I've been waiting for the game World of Warcraft,which is surrogated by Netease, for almost a month.",I've been waiting for the game World of Warcraft from Netease for almost a month,"('PROPN', 'PUNCT', 'PRON')",Spanish
"I've been waiting for the game World of Warcraft,which is surrogated by Netease, for almost a month.",I've been waiting for the game World of Warcraft from Netease for almost a month,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Hello, my name is Lucia, i from Italy, nice to meet you =)","Hello, my name is Lucia. I am from Italy. Nice to meet you. =)","('PROPN', 'PUNCT', 'PRON')",Spanish
"Hello, my name is Lucia, i from Italy, nice to meet you =)","Hello, my name is Lucia. I am from Italy. Nice to meet you. =)","('PROPN', 'PUNCT', 'PRON')",Spanish
I write English speedy.,I write English speedy.you write speedy English? what do you mean about this?^^,"('PROPN', 'PUNCT', 'PRON')",Spanish
"After graduated from American Univercity,I want to work foreign-offitiated company.","After graduating from an American University, I want to work for a foreign-officiated company.","('PROPN', 'PUNCT', 'PRON')",Spanish
#NAME?,"-""When did she usually play basketball?""- (you say this if she played basketball in the past, but does not play it anymore) ""When does she usually play basketball?""- (You say this if she still currently plays basketball and you are asking when.)","('PROPN', 'PUNCT', 'PRON')",Spanish
#NAME?,"-""When did she usually play basketball?""- (you say this if she played basketball in the past, but does not play it anymore) ""When does she usually play basketball?""- (You say this if she still currently plays basketball and you are asking when.)","('PROPN', 'PUNCT', 'PRON')",Spanish
Umm its getting cold by the way due to rainy season,"Umm, its getting cold by the way due to rainy season","('PROPN', 'PUNCT', 'PRON')",Spanish
"I sometimes pass them, for example Takuya Kimura, member of SMAP that most popular singer group in Japan, and Hideki Takahashi who's popular actor of Japanese costume drama, and so on..","I have also passed by Takuya Kimura, who is a member of SMAP, which is the most popular singing group in Japan, Hideki Takahashi, who's a popular Japanese costume drama actor, and so on..","('PROPN', 'PUNCT', 'PRON')",Spanish
"My name is Masha, I'm 21 years old, live in Russia, Moscow.","My name is Masha, I'm 21 years old, and live in Moscow, Russia.","('PROPN', 'PUNCT', 'PRON')",Spanish
"My name is Masha, I'm 21 years old, live in Russia, Moscow.","My name is Masha, I'm 21 years old, and live in Moscow, Russia.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I'm come from a small family in Taipei,I have parents,brother and 3 pet brids.","I come from a small family in Taipei. I live with my parents, brother and 3 pet birds.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I'm come from a small family in Taipei,I have parents,brother and 3 pet brids.","I come from a small family in Taipei. I live with my parents, brother and 3 pet birds.","('PROPN', 'PUNCT', 'PRON')",Spanish
"The patient with hepatitis B, which is well-known by its infectivity, is discriminated in China.",People with hepatitis B (which is well-known to be highly infective) are discriminated against in China.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"Recentry,I started a part-time job.",I recently started a part-time job.,"('PROPN', 'PUNCT', 'PRON')",Spanish
It is always sugar when I order shaoxingjiu.,"It is always only sugar when I order shaoxingjiu in Japan. (""When I order shaoxingjiu in Japan, it's only sugar"")","('PROPN', 'PUNCT', 'PRON')",Spanish
It schedule to start the class at 13 o'clock every Wednesday.,"I am scheduled to start class at 1 o'clock every Wednesday. (More natural: Every Wednesday, I have class at 1:00.)","('PROPN', 'PUNCT', 'PRON')",Spanish
I try my best to study English!!,"I am trying my best to study English!!(No, you don't ""try"" you do or do not. You never ""try"") This is actually my favorite quote by Yoda. You could ignore it if you want to.","('PROPN', 'PUNCT', 'PRON')",Spanish
So I feel that We need to call number of heaven.,So I felt that we need to call number of heaven.I can't understand this sentence.,"('PROPN', 'PUNCT', 'PRON')",Spanish
Ps: i know is hello :) it's xD only cool like deutsch,"P.S. : I know it is hello :) it's xD only cool like deutsch (I'm not sure what you mean to say, but maybe you mean: It's cool like German!","('PROPN', 'PUNCT', 'PRON')",Spanish
Ps: i know is hello :) it's xD only cool like deutsch,"P.S. : I know it is hello :) it's xD only cool like deutsch (I'm not sure what you mean to say, but maybe you mean: It's cool like German!","('PROPN', 'PUNCT', 'PRON')",Spanish
I have been working at a bakery as a part time worker since Feburary I work there from 6am-12 on weekdays.,"I have been working at a bakery part time since February, I work there from 6am-12 on weekdays.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Sadly, I was very busy when I stay in Hanoi, I can't have enough time to trip near city.","Sadly, I was very busy when I in Hanoi. I can never have enough time when I travel to a city.","('PROPN', 'PUNCT', 'PRON')",Spanish
"But When I have to translate it in Japanese,I always have to read after ""which"" or ""that sentence and go back to the first sentence.","But when I translate it to Japanese, I always have to read after the 'which' or 'that' sentence and go back to the first sentence.","('PROPN', 'PUNCT', 'PRON')",Spanish
I just finished watching this Video now through TED which is one of my favorite web-site.,"I just finished watching this Video through TED, which is one of my favorite web-sites.","('PROPN', 'PUNCT', 'PRON')",Spanish
"In Japan, it is often said that English language is cut out for logical thinking and discussion.","In Japan, it is often said that theEnglish language is particularlycut out for logical thinking and discussion.Ok, you can say ""cut out""... but it sounds a little unnatural to me by itself. I would add an adverb. Usually you will find it in the phrases ""work cut out for"" (he has his work cut out for him) or ""not cut out for"" (He is not cut out for climbing a mountain).","('PROPN', 'PUNCT', 'PRON')",Spanish
"When I return from my trip to kobe, I will go to live to listen to the Japanese drum.","When I return from my trip to Kobe, I will go to listen to the Japanese drum.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Literaly, my body can't move today.","My body literally can't move today. (You don't need 'literally'; it might be better to omit it, or exchange it for a word like ""seriously"" or ""truly"" because online nowadays the trend is to misuse 'literally' to mean 'figuratively'; I had to look at it twice and I may not be the only one. You can keep it - this is just a precaution!)","('PROPN', 'PUNCT', 'PRON')",Spanish
"So, let's keep be easy to write email, and please do it anytime you want.","Anyway, let's keep be easy to write email, and please do it anytime you want. (As this sentence is a closing statement, ""Anyway"" is a better way to start it. Has closing/changing subject connotations.)(In Red: I'm not sure what you're saying here, i think you mean ""let's continue to email"" (note - email can be a verb in informal use), but you could mean ""let's keep easy and keep emailing"")","('PROPN', 'PUNCT', 'PRON')",Spanish
At the beginning I wasn't sure if my English is sufficient enough to communicate on live with other people especially that I had quite a long break in writting and speaking in English.,"At first, I wasn't sure if my English is good enough to communicate on line with other people especially since I've taken a long break in writing and speaking in English.Nothing wrong with this, just tried to make it more natual sounding. There are ""purist"" who will say that replacing ""sufficient"" with ""good"" is incorrect but that is how we speak in everday language in the US.","('PROPN', 'PUNCT', 'PRON')",Spanish
At the beginning I wasn't sure if my English is sufficient enough to communicate on live with other people especially that I had quite a long break in writting and speaking in English.,"At first, I wasn't sure if my English is good enough to communicate on line with other people especially since I've taken a long break in writing and speaking in English.Nothing wrong with this, just tried to make it more natual sounding. There are ""purist"" who will say that replacing ""sufficient"" with ""good"" is incorrect but that is how we speak in everday language in the US.","('PROPN', 'PUNCT', 'PRON')",Spanish
"On August 11-12,I went camping in Oku-tama","On the 11th and 12th of August ,I went camping in Oku-tama","('PROPN', 'PUNCT', 'PRON')",Spanish
Then we suddenly wanted to go to Ikebukuro but I didn't know which train we have to get on.,"Then we suddenly wanted to go to Ikebukuro but I didn't know which train we had to get on. --> Unlike Japanese, we always use past tense in sentences about the past unless the state is still in effect.","('PROPN', 'PUNCT', 'PRON')",Spanish
"When I have to speak english, I cant think up english words easily.","When I have to speak English, I can't think up English words easily.","('PROPN', 'PUNCT', 'PRON')",Spanish
God who has no visible body and love that can be hard to understand!!,"God, who has no visible body, and love, which can be hard to understand!! (I added commas to make this sentence easier to read. The parts between the commas add a description, but the sentence would still makes sense without those parts. ""But I heard that she even knew abstract words, such as God and love."" Note: I am not saying you should remove those parts. I am just showing that the sentence makes sense without them.)","('PROPN', 'PUNCT', 'PRON')",Spanish
God who has no visible body and love that can be hard to understand!!,"God, who has no visible body, and love, which can be hard to understand!! (I added commas to make this sentence easier to read. The parts between the commas add a description, but the sentence would still makes sense without those parts. ""But I heard that she even knew abstract words, such as God and love."" Note: I am not saying you should remove those parts. I am just showing that the sentence makes sense without them.)","('PROPN', 'PUNCT', 'PRON')",Spanish
God who has no visible body and love that can be hard to understand!!,"God, who has no visible body, and love, which can be hard to understand!! (I added commas to make this sentence easier to read. The parts between the commas add a description, but the sentence would still makes sense without those parts. ""But I heard that she even knew abstract words, such as God and love."" Note: I am not saying you should remove those parts. I am just showing that the sentence makes sense without them.)","('PROPN', 'PUNCT', 'PRON')",Spanish
God who has no visible body and love that can be hard to understand!!,"God, who has no visible body, and love, which can be hard to understand!! (I added commas to make this sentence easier to read. The parts between the commas add a description, but the sentence would still makes sense without those parts. ""But I heard that she even knew abstract words, such as God and love."" Note: I am not saying you should remove those parts. I am just showing that the sentence makes sense without them.)","('PROPN', 'PUNCT', 'PRON')",Spanish
God who has no visible body and love that can be hard to understand!!,"God, who has no visible body, and love, which can be hard to understand!! (I added commas to make this sentence easier to read. The parts between the commas add a description, but the sentence would still makes sense without those parts. ""But I heard that she even knew abstract words, such as God and love."" Note: I am not saying you should remove those parts. I am just showing that the sentence makes sense without them.)","('PROPN', 'PUNCT', 'PRON')",Spanish
"Ping, I think he should be father because he take care me very much.",I think Ping should be my father because he takes care me very well.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"recently, It's been raining too much in Korea.","Recently, it's been raining too much in Korea. We would usually say: it's been raining a lot in Korea.","('PROPN', 'PUNCT', 'PRON')",Spanish
"If some people whose like learning chinese, we can help each other.","If some people are learning Chinese, we can help each other.","('PROPN', 'PUNCT', 'PRON')",Spanish
"In march, I will be a high school student.","In March, I will be a high school student.","('PROPN', 'PUNCT', 'PRON')",Spanish
"My father works seoul where is very far from my house, and my mother works at KITA(Korea International Trade Asocciation).","My father works in Seoul, which is very far from my house and my mother works at KITA (Korea International Trade Asocciation).","('PROPN', 'PUNCT', 'PRON')",Spanish
It's been so long since the last entry!!!,"It's been so long since my last entry!!! (so, you know how articles distinguish between a ""known"" and ""unknown"" type of noun? It's the right idea to use ""the"" with ""entry,"" but you can be a little more specific by saying ""my entry."")","('PROPN', 'PUNCT', 'PRON')",Spanish
"Wednesday, I came back from Korea.","On wednesday, I came back from Korea.","('PROPN', 'PUNCT', 'PRON')",Spanish
"I also have some favorite resturant in Manhattan, though there are so many nice resturants to visit there; it is French one.","Even though there are so many nice restaurants in Manhattan, I have a favorite restaurant there. It's a French one.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Since coming here NJ which is a 15-minute bus ride from Manhattan, I'm into the way of cook for vegetarian.","Since moving to NJ, which is a 15-minute bus ride from Manhattan, I'm into cooking the vegetarian way.","('PROPN', 'PUNCT', 'PRON')",Spanish
"BTW,there were so many Japanese,I was suprised by it.",BTW I was surprised by how many Japanese people there were.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"When I speak English, my brain seems to use almost one hundred percent on just making sentences not comprehension, back ground and something that is needed for conversation.","When I speak English, (I seem to use 100% of my brain power / capacity <- more natural) on just making (or structuring) sentences(not understanding conversation (?) <- I am not sure how to correct this).","('PROPN', 'PUNCT', 'PRON')",Spanish
"Because there is so far from Sydney, located 175 kilometers west of Sydney.",The caves are so far from Sydney; they are located 175 kilometers west of Sydney.,"('PROPN', 'PUNCT', 'PRON')",Spanish
I was very pleased to hear you will be visiting Nagoya of my local town and hope the following information would help you significant your staying.,"I was very pleased to hear you will be visiting Nagoya, my home town, and hope the following information will help you significantly during your stay.","('PROPN', 'PUNCT', 'PRON')",Spanish
I was very pleased to hear you will be visiting Nagoya of my local town and hope the following information would help you significant your staying.,"I was very pleased to hear you will be visiting Nagoya, my home town, and hope the following information will help you significantly during your stay.","('PROPN', 'PUNCT', 'PRON')",Spanish
Especially I recommend you to visit Toyota that is largest automobile company all over the world that as you know.,"I especially recommend you visit Toyota, which is the largest automobile company in the whole the world, as you know.","('PROPN', 'PUNCT', 'PRON')",Spanish
Especially I recommend you to visit Toyota that is largest automobile company all over the world that as you know.,"I especially recommend you visit Toyota, which is the largest automobile company in the whole the world, as you know.","('PROPN', 'PUNCT', 'PRON')",Spanish
Jusenn Asukawa who is a professor of Tohoku's institute for enviromental strategies.,"Jusenn Asukawa, who is a professor of Tohoku's institute for enviromental strategies","('PROPN', 'PUNCT', 'PRON')",Spanish
Is Japan already in that style?I don't know.,Is it already popular in Japan ?I don't know.,"('PROPN', 'PUNCT', 'PRON')",Spanish
"In japan, about 2.00 dollars.","In Japan, that is about 2.00 dollars.","('PROPN', 'PUNCT', 'PRON')",Spanish
We learn English for at least three years in junior high school.,"In Japan, we learn English for at least three years in junior high school.","('PROPN', 'PUNCT', 'PRON')",Spanish
"Old Japanese, the animals are setted in the times.","In old Japanese, this is called ""Eto."" So, ""Ushimitu doki"" means ""when the animals are setted in their time.""","('PROPN', 'PUNCT', 'PRON')",Spanish
"Finally marie,she is very warmhearted to help me learn English .","Finally Marie, who is very warmhearted to offer to help me learn English .","('PROPN', 'PUNCT', 'PRON')",Spanish
"On December ,we will take a exam named CET4.",In December we will take an exam named (the) CET4.,"('PROPN', 'PUNCT', 'PRON')",Spanish
I have been to Australia about three years ago to experience homestay.,"I have been to Australia about three years ago to experience homestay. I would rather say something like: ""About three years ago, I visited Australia with a home-stay program.""","('PROPN', 'PUNCT', 'PRON')",Spanish
"He was married this January , so his wife cooked dinner by using the materials I and my friend,Yoshihiro Shiobara,bought at near the super market .","He got married this January. His wife cooked dinner using the materials my friend,Yoshihiro Shiobara, and I bought at the nearby super market .","('PROPN', 'PUNCT', 'PRON')",Spanish
