Unnamed: 0,native,language,text
47,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there,I'm here to meet people. Meanwhile, I get to practice English. If you ever need help with Chinese, I'm glad to help."
52,Spanish,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am Spanish but I have lived in France for 20 years. I have a high level of French in case someone wants to exchange in that language. I would like to practice English or German, if possible face to face in Seine et Marne or find somewhere in between to see us, or any messaging program. I'm not interested in flirting, what I really want is to practice languages, if you want to flirt there are applications for that better than this one and where you won't find me because I'm not intereste"
58,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I am a native Chinese speaker live in Shanghai. I'd like to talk with someone who is friendly and respectful of each other's culture and country. Nature, animal, history are so charming to me. I look forward to you sharing your perspective, your life, your world with me."
60,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I read books and watch movies in English but I haven't got much conversational practice.I'm looking for a native English speaker to talk with and to improve my writing skills. Any convenient for you form of the communication is acceptable. Any possible assistance in you studying of Russian is granted. I like to chat, write to me please."
62,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm Victor from Mexico  I'm here to learn and practice more English. I speak a lot of Spanish because it is my mother tongue. Actually, I just finished a Bachelor's Degree in Computer Engineering at the University of Guadalajara."
80,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking to practice English. In return, I can help you with your Spanish! I'm currently a uni student so any general tips or advice that may be helpful are welcome! Have a lovely day."
85,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I like to learn something new and meet interesting people. I study English and Spanish by myself. I want to improve my English and meet a friend who wants to speak Russian or Ukrainian
94,Russian,"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Ukrainian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Polish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",I would like to improve my Englisch. In exchange i offer Russian.
96,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",To meet new people around the world.
105,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to improve my English. I have learned English for a year before. And i need to practice my English with English native speakers to be in a decent level. I think the best way to learn or improve English is to have conversations with native speakers, it's helpful and constructive.Don't get me wrong, i also would like to make friends here."
107,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Hi I want to practise my English skills and I can help with your Spanish in return
109,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to improve my English and make new friends around the world. I'm willing to help anyone with their Spanish
115,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Is this the real life?Is this just fantasy?Caught in a landside,no escape from reality.Open your eyes,look up to the skies and see,I'm just a poor girl,I need no sympathy and all I need is to practice my poor English. If you are interested, please let me know."
118,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm an engineer, and I need to use English at work, so I want to improve my English. My Chinese is very standard, so, if you want to communicate with an Chinese, I think I'm a good choice."
120,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Language exchange experiance, getting to know other country cultures."
123,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I would like to make some new friends and learn about different cultures... I like to watch movies, have coffee and cake, photography and learning language. Hope to meet some new people and make some good friends here.."
124,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 45, 'proficiency': 'Intermediate'}]","My native language is Taiwan Mandarin./ I'm a Japanese and English learner. If you interest in language exchange, please contact me."
126,Spanish,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I can help you with spanish,please contact me."
136,Russian,"[{'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Also i speak English, and i'll be very glad to practice it too."
141,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi everyone, I'd like to improve my English skills. If you want to improve your Spanish, let me know! I'm sure we can help us. Please I just want to improve my fluently, I don't search any loving relationship."
145,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Glad to see you here. I've decided to re-ignite the English learning after quite a few years since graduated from high school. I'd like to interactive with native speakers or people good at it, that you can help me to improve my skills of oral and writing, meanwhile, I can provide you the Mandarin practice opportunities I have to say that I'm a southerner if you know the differences., but just believe me that you don't need to be too worry about my pronunciation at all."
153,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","May help you with study russian, and hope to have your help with english speeking, listening."
164,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, I'm Alice from taiwan. I love travel and food, I have been several countries, like Australia, New Zealand, Japan, Thailand. I hope I can visit more places, meet new friends. I like learning different cultures, and more than happy to share the Taiwanese culture with you. For example: mid Autumn festival, and we eat moon cake to celebrate, let me tell you more, text me!"
165,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Hello, nice to meet you!My English name is Rebecca. You can call me BeccaI am a college student in English major. I'd like to improve my English writing, speaking and listening skills!I really hope a native speaker can help me. Also, I am always here if you need any help in Chinese!I am friendly and easygoing!"
170,Russian,"[{'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}]",I have different hobbies and learning languages is among them. This profile is not for romance. I like to know more about other cultures and history.
171,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Looking for people who can help me with speaking practice. I also can help them with Russian.Bloody hell. Am I not convincing enough when I say that I know Russian?... If you wanna get in contact with me the best way for you is Discord.
175,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am a Spanish Journalist looking for a native speaker to improve my English skills. I have a lot of patience and nice Spanish level so, come on!"
177,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am professional artist and designer, now I'm semi-beginner digital artist. I like guitar and dream to learn play."
179,Russian,"[{'language': 'Italian', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Greek', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","i would like also to practise british english with some native speaker,i am also interested in greek"
185,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I am Polina from the southern city of Russia, but now I live and study in Moscow. There are a lot of things that ignite and inspire me in life, and I'm here to explore the world further and find interesting acquaintances."
186,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Turkish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Persian', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]",I'm a native Russian and Tajik speaker. Now I'm learning also Persian and English. I want to improve my English and plan to take the IELTS exam so If you can help me then text me
189,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a microbiologist who has just finished my university studies. I am from Barcelona, Spain. My interests include science, movies, video games, hiking and sport climbing. I want to improve my english speaking skills for work but also because I love to travel. My native languages are spanish and catalan."
194,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I want to learn English soon because I have to bussines around the world, let me know your free time to practice"
195,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese, other', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I want to find new friends???
206,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I would like to contact people who would exchange their language for Spanish.
225,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm currently not looking for language partners.
231,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an English Student, and I would like to improve my English Level"
236,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an architect, from Colombia, currently I am looking for language exchange with native person."
237,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi!I'm interested in improving my speaking and writing skills. And also, I'm always open to help with your Russian practice."
241,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello or Hola or I am Yuan from China, a 20-year-old college student, nice to meet you all.I major in English and I still want to practice and improve my Spanish and Japanese here. If you want to learn Chinese, I can try my best to help you. I'm fluent in Google translate hahaIf you want to find a long time friend, dont be shy to text me.If you want to communicate with me in any other way instantly, you can ask me"
243,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",Nice to meet you I would like to find language exchange partners to be friends and practice English and French. I would like to practice English speaking. We can talk about our daily life!
253,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I have studied english, lived with different host families in Seattle, Indiana, Toronto, Dublin, and even worked in the United States during 2016 summer, but it was years ago so... I have forgotten a lot of things that I want to improve. I love sports, my favourite is Rythmic Gymnastics. I also love travelling, meet new people and explore new countries and places."
255,Spanish,"[{'language': 'Arabic', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","If you are interested in practising Spanish language, I would like to share with you this common effort to learn a new idiom."
258,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hello, I'm Peter,Looking for someone to practice my languages and make more friends around the world. I'm a beginner in Japanese, so I only know some basic Japanese. As a native Chinese Mandarin speaker, I'm willing to help you with my language. Please feel free to send me a message  Hope to hear from you soon!"
259,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I was born in Madrid and love to speak in English, but I need to improve it, specially my speaking skills. If you need a friend to help you with your Spanish, that's me! I'll be happy to help you  Music is my obsession. I work to be able to travel. My biggest hobby is playing drums."
262,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I need some help to improve my english and french. Want to level up in speaking skills
264,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Sign Language - International', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Mandarin)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Chinese (Cantonese)', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi Hi!I'm Arii, thank you for being interesting in being my penpal, I'm not very good at describing myself but I promise you that I'll do my best to get along great.I'm very interested in learning new languages since I have free time now, I also like to meet people from different cultures to share stories and interests.I'm an introvert but don't worry, I do my best to look like an interesting person? HahaFeel free to write me if you need a language partner or a friend."
267,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I want to practice language and meet new people"
270,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I like eating a pizza, burgers and sushi.I'm a girl.I hate arrogant girls and boys.I like to sleep, watch comedy serials and old films , eat and read about Hollywood actresses and learn history.I've been learning English since 6-7 years old. People, who wrote me and don't reply my messages- even don't write me.I want to talk but not to wait for.live:innashuliga2001"
272,Spanish,"[{'language': 'Japanese', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","-- Hello, I'm Ivan and I just moved to Tokyo to learn Japanese. I would be happy to help people who is learning spanish or catalan or those who just want to practice their writing/speaking."
274,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm russian speaker and I'm looking for english speakers to exchange the experience in languages. I use telegram, whatsapp, discord, apps for communication"
285,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am outgoing, friendly, I love talking, meeting new people and above all travelling.I am currently living in Ireland to improve my English."
287,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Thai', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Japanese', 'level': 45, 'proficiency': 'Intermediate'}]","I'm April, so far I've learnt English,Japanese,Italian and Korean and recently looking for friends to practice with. would like to exchange different aspects of culture, music, drama, movie and soul food."
295,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am a researcher at a university, and want to improve my speaking for further development. I plan to work in Europe."
296,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am very interested in finding a person to help me improve my English. My level is intermediate. I would like to discuss different topics in order to increase my vocabulary. My hobbies are traveling, hiking, movies and yoga. In exchange I can help you with your Spanish. I am a native speaker. I used to work as a Spanish teacher many years ago. Hope to hear from you!"
298,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm Lyson, currently wanting to promote my expressive ability of English. All the app for communication I can install is Okay for me. I will be glad that if you are willing to practice with me. I can also give a hand if you want to learn Chinese."
318,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Thank you for getting in touch. I'm a Chinese native speaker,and seriously looking for a language partner to learn English. I teach Chinese in a secondary school, so I'm also happy to offer help with Chinese learning."
322,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I can teach you Chinese!
326,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Portuguese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Just looking for someone to practice English, Spanish or Portuguese. If you are in the same mood let's have a conversation and talk about everything."
332,Russian,"[{'language': 'Polish', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to overcome the language barrier and improve my English and Polish. You are welcome!.
333,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would like to improve my English and can help others to learn Russian.
335,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'm from Russia and I'm looking for someone who can help me with English. I can help with the Russian.
337,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am a graphic designer and digital illustrator living in Spain. I've been learning English on my own and would like to practice conversation to improve it.Greetings.
338,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello I am trying to learn english, if someone wants to study with me would be excellent, I can help you with spanish so send message if you are interested."
357,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi there, I'm Yung from Taiwan. I'm here to practice my English and make some friends. A 9 - 5 worker and cool person."
362,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Russian', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm Chinese,live in ChinaI don't like being suspected,I like to be sincere If you haven't been to China, don't think you know it well"
363,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to meet people to practice English, in exchange I can help with Spanish."
366,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",be Good together
371,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Bahasa (Indonesia)', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, Im spanish native who recently returned after living abroad for more than 1 year.I would like to continue improving my english, and in exchange I can help you with spanish language  culture.Just for your reference, I love running, hiking, gym... all kinds of sport, natural environments and healthy life!."
373,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Italian', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'French', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi,Thank you for reading my profile. I am from China, living in Tokyo now. After my university in Tokyo, I started my career in this city. I was lucky that my company transfered me to work in Italy for several years,which gave me a good experience.Now I am back in Tokyo, I would like to imporve my langauage skill and hlep you Chinese in the same time.I will use my experience to help you to master Chinese in short time. I am only looking for English speaking partner now."
375,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Catalan', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","I'm student in the Official School of Languages in Alicante, Spain, and I would llike to practice the languages that I currently learn: English, French, German and Catalan."
376,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'German', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I use technical english every day, but evening I prefer live conversation with different people.My Skpe ID is Sachagym. See you later online!"
379,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",i want to use language exchange and practice English for my life and for my work. I hope to find here people such like me and i'm glad to see.
382,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",practice my English
385,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","hello, I am edier and I am learning english, I want to meet people and their cultures to improve my level in the language, I can help you to learn spanish."
387,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",I am a native Russian and Tatar speaker. I'd like to learn English and Spanish. I can teach you Russian in exchange. I'm interested in sports and history.
390,Chinese (Mandarin),"[{'language': 'German', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to practice German with you. Currently I am learning by myself, looking forward to communicating with you."
391,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Czech', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]",Hoping to improve my spoken and written English and willing to help anyone with their Spanish.
392,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Not looking to flirt, just friends and that's itA little bit about myself:I study at the National University of Lomas de Zamora This is in Buenos Aires I do martial arts to keep myself in shape, I play guitar in my free time, also teach personal defense for women when friends ask me to  I don't have an academy just for educational purposes and just started Salsa lessons."
393,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am want to meet an English speakers a single or a couple to practice English and Spanish/Basque exchanging our knowledges in those languages. Don't be hesitate to get in touch with me. Please send me a message if you are interested in.."
394,Chinese (Mandarin),"[{'language': 'Japanese', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I can speak a lot of Japanese and English and teach Chinese very well..
397,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","Hi, I'm programmer, who like art and creativity. I'd like to chat about daily life, culture and creativity hobbies. I'm curious about japanese culture and daily life. Feel free to contact me if you want to practice your russian skills, collaborate in creativity or share daily life content."
403,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'Spanish', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","student living in Beijing and want to have a partner who will help me with English speaking, and I will help you with Chinese in return. Also I want to learn Spanish  ONLY WOMEN!!"
406,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am learning English and I need some practice. I am looking for conversation partners who can help me improve my English, and at the same time, I would like to find new friends.. I will be glad to help you improve your Russian or Ukrainian. I am interested in different cultures and history."
407,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I''d like to improve English
412,Russian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'd like to enhance my writing and speaking in English. Besides, I'd like to speak in Korean confidently. We can practice these languages together or I can help you with Russian! So don't be shy to send a message, I'm sure we can find something in common and achieve our language goals!"
416,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I am Patricia.I am interested in improving my English skills and why not, helping you out with your Spanish skills. I am very patient and always happy to help."
418,Chinese (Mandarin),"[{'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",currently I am learning japanese. I want to practice japanese in daily conversation. I am also want to improve my english
424,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello I'm HYUNGMIN from South Korea, I've been learning English for over 1 yearI have been working on being Korean teacher now, that's why you will learn Korean more efficiently if you study with me and I can also speak Mandarin. someone who wants to learn Mandarin rather than Korean can feel free to chat me"
425,Spanish,"[{'language': 'French', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'd like to learn more English and become confident using it when I am in mi job. I'm really looking forward to making lots of friends from around the world and improving my English a lot and I'll help you with Spanish too. I need lots of help, but I'm willing to provide great conversation in return."
433,Chinese (Mandarin),"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",A friendly and easygoing guy. I'm really looking forward to making some friends here. Do you want to improve your CHINESE? I'm pretty sure I can help you. I can teach you correctly and patiently. I'm also learning ENGLISH now. SHYNESS won't let us become better. So just leave a message so that I can see you are interested. I will reply to you as soon as possible!
435,Spanish,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to improve my english skills to grow professionally. I want to practice listening and speaking. I love to teach others and I will be pleasured.
